GENE_ID,GO_Term,GO_Ontology,GO_Link
Rv0640,ribosomal large subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000027
Rv0703,ribosomal large subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000027
Rv0716,ribosomal large subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000027
Rv1643,ribosomal large subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000027
Rv0683,ribosomal small subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000028
Rv0705,ribosomal small subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000028
Rv2842c,ribosomal small subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000028
Rv3459c,ribosomal small subunit assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000028
Rv1380,urea cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000050
Rv1383,urea cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000050
Rv1384,urea cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000050
Rv1656,urea cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000050
Rv1658,urea cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000050
Rv1739c,sulfate assimilation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000103
Rv2131c,sulfate assimilation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000103
Rv2391,sulfate assimilation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000103
Rv2400c,sulfate assimilation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000103
Rv1599,histidine biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000105
Rv1601,histidine biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000105
Rv1603,histidine biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000105
Rv2121c,histidine biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000105
Rv3137,histidine biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000105
Rv0981,phosphorelay signal transduction system ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000160
Rv0982,phosphorelay signal transduction system ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000160
Rv1626,phosphorelay signal transduction system ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000160
Rv3220c,phosphorelay signal transduction system ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000160
Rv0013,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv1603,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv1609,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv1611,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv1612,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv2192c,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv2386c,tryptophan biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000162
Rv1003,enzyme-directed rRNA 2'-O-methylation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000453
Rv3579c,enzyme-directed rRNA 2'-O-methylation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000453
Rv1540,enzyme-directed rRNA pseudouridine synthesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000455
Rv1711,enzyme-directed rRNA pseudouridine synthesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000455
Rv3300c,enzyme-directed rRNA pseudouridine synthesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000455
Rv3442c,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA5.8S rRNA,biological_process ,http://amigo.geneontology.org/amigo/term/GO:0000462
Rv2594c,recombinational repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000725
Rv2737c,recombinational repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000725
Rv1746,septin ring assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000921
Rv2150c,septin ring assembly ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0000921
Rv0182c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0221,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0440,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0465c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0503c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0560c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0569,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0573c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0685,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0754,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0895,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1129c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1161,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1425,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1736c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1737c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1760,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1955,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv1956,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2005c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2007c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2009,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2010,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2031c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2032,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2069,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2185c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2246,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2285,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2484c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2503c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2623,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2626c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2629,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2710,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2780,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv2984,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3087,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3088,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3130c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3133c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3134c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3233c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3234c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3371,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3480c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3571,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3734c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3740c,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3841,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3866,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv3913,response to hypoxia ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0001666
Rv0828c,tRNA wobble adenosine to inosine editing ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002100
Rv3752c,tRNA wobble adenosine to inosine editing ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002100
Rv0704,cytoplasmic translation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002181
Rv0707,cytoplasmic translation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002181
Rv0719,cytoplasmic translation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002181
Rv1301,tRNA threonylcarbamoyladenosine modification ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002949
Rv3419c,tRNA threonylcarbamoyladenosine modification ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002949
Rv3421c,tRNA threonylcarbamoyladenosine modification ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0002949
Rv0126,glycogen biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005978
Rv1326c,glycogen biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005978
Rv3032,glycogen biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005978
Rv3068c,glycogen biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005978
Rv0126,trehalose metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005991
Rv0295c,trehalose metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005991
Rv1182,trehalose metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005991
Rv0126,trehalose biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005992
Rv0127,trehalose biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005992
Rv1562c,trehalose biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005992
Rv1563c,trehalose biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005992
Rv3372,trehalose biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005992
Rv3490,trehalose biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0005992
Rv0334,glucose metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006006
Rv3068c,glucose metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006006
Rv1604,inositol metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006020
Rv2701c,inositol metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006020
Rv0363c,gluconeogenesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006094
Rv0489,gluconeogenesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006094
Rv1099c,gluconeogenesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006094
Rv1438,gluconeogenesis ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006094
Rv0363c,glycolytic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006096
Rv0489,glycolytic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006096
Rv0754,glycolytic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006096
Rv0946c,glycolytic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006096
Rv1438,glycolytic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006096
Rv1617,glycolytic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006096
Rv0066c,glyoxylate cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006097
Rv0467,glyoxylate cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006097
Rv1915,glyoxylate cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006097
Rv3339c,glyoxylate cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006097
Rv0066c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv0234c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
