index,siglvl,prior_prob,num_sample,num_pos,instance_str,__col_key__,index
Rv0170[0]+Rv1813c[-1],6.399999999995298e-05,0.04,3,3,,0,Rv0170[0]+Rv1813c[-1]
Rv1466[0]+Rv1813c[-1],6.399999999995298e-05,0.04,3,3,,0,Rv1466[0]+Rv1813c[-1]
Rv1466[0]+Rv3130c[-1],0.0006022143999999674,0.04,5,3,,0,Rv1466[0]+Rv3130c[-1]
Rv1813c[-1],6.399999999995298e-05,0.04,3,3,,0,Rv1813c[-1]
Rv1813c[-1]+Rv3612c[0],6.399999999995298e-05,0.04,3,3,,0,Rv1813c[-1]+Rv3612c[0]
Rv2626c[-1],6.399999999995298e-05,0.04,3,3,,0,Rv2626c[-1]
Rv3127[-1],0.0006022143999999674,0.04,5,3,,0,Rv3127[-1]
Rv0010c[0]+Rv1006[-1]+Rv2239c[0],-0.0002657099198677404,0.24,30,0,,1,Rv0010c[0]+Rv1006[-1]+Rv2239c[0]
Rv0032[-1]+Rv1200[0]+Rv3515c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0032[-1]+Rv1200[0]+Rv3515c[-1]
Rv0032[-1]+Rv2756c[0]+Rv3515c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0032[-1]+Rv2756c[0]+Rv3515c[-1]
Rv0032[0]+Rv0110[0]+Rv2330c[0]+Rv2382c[-1],2.0149298249894088e-06,0.24,14,12,,1,Rv0032[0]+Rv0110[0]+Rv2330c[0]+Rv2382c[-1]
Rv0032[0]+Rv0432[0]+Rv0451c[0]+Rv0569[0],7.628667739068007e-06,0.24,17,13,,1,Rv0032[0]+Rv0432[0]+Rv0451c[0]+Rv0569[0]
Rv0032[0]+Rv0574c[-1]+Rv0653c[0],7.793332243666296e-05,0.24,9,8,,1,Rv0032[0]+Rv0574c[-1]+Rv0653c[0]
Rv0032[0]+Rv0574c[-1]+Rv0872c[0],0.0002898649939967468,0.24,8,7,,1,Rv0032[0]+Rv0574c[-1]+Rv0872c[0]
Rv0032[0]+Rv0601c[-1]+Rv3549c[0],0.00015202418397664008,0.24,18,12,,1,Rv0032[0]+Rv0601c[-1]+Rv3549c[0]
Rv0032[0]+Rv1067c[-1],0.00028072650031907287,0.24,12,9,,1,Rv0032[0]+Rv1067c[-1]
Rv0032[0]+Rv1067c[-1]+Rv2132[0],0.00028072650031907287,0.24,12,9,,1,Rv0032[0]+Rv1067c[-1]+Rv2132[0]
Rv0032[0]+Rv1268c[-1],0.0006294629487756387,0.24,20,12,,1,Rv0032[0]+Rv1268c[-1]
Rv0032[0]+Rv1268c[-1]+Rv2993c[0],0.0006294629487756387,0.24,20,12,,1,Rv0032[0]+Rv1268c[-1]+Rv2993c[0]
Rv0032[0]+Rv1268c[-1]+Rv3344c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0032[0]+Rv1268c[-1]+Rv3344c[-1]
Rv0032[0]+Rv1501[0]+Rv3333c[-1]+Rvnt09[0],0.000886664581110308,0.24,11,8,,1,Rv0032[0]+Rv1501[0]+Rv3333c[-1]+Rvnt09[0]
Rv0032[0]+Rv1620c[-1]+Rv1884c[1]+Rvnt04[0],0.0007962623999999696,0.24,5,5,,1,Rv0032[0]+Rv1620c[-1]+Rv1884c[1]+Rvnt04[0]
Rv0032[0]+Rv1734c[-1]+Rv3529c[-1]+Rvnt15[0],4.586471423995153e-05,0.24,7,7,,1,Rv0032[0]+Rv1734c[-1]+Rv3529c[-1]+Rvnt15[0]
Rv0032[0]+Rv1793[0]+Rv2386c[-1]+Rv2530A[0],5.452690763019241e-06,0.24,11,10,,1,Rv0032[0]+Rv1793[0]+Rv2386c[-1]+Rv2530A[0]
Rv0032[0]+Rv2003c[-1]+Rv2104c[0]+Rvnt09[0],0.0007962623999999696,0.24,5,5,,1,Rv0032[0]+Rv2003c[-1]+Rv2104c[0]+Rvnt09[0]
Rv0032[0]+Rv2003c[-1]+Rvnt09[0],0.0007962623999999696,0.24,5,5,,1,Rv0032[0]+Rv2003c[-1]+Rvnt09[0]
Rv0032[0]+Rv3126c[-1]+Rv3895c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0032[0]+Rv3126c[-1]+Rv3895c[-1]
Rv0032[0]+Rv3344c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0032[0]+Rv3344c[-1]
Rv0032[0]+Rv3370c[-1]+Rv3793[0]+Rvnt15[0],0.000886664581110308,0.24,11,8,,1,Rv0032[0]+Rv3370c[-1]+Rv3793[0]+Rvnt15[0]
Rv0034[-1]+Rv2590[-1]+Rv3599c[-1]+Rvnt15[0],4.586471423995153e-05,0.24,7,7,,1,Rv0034[-1]+Rv2590[-1]+Rv3599c[-1]+Rvnt15[0]
Rv0040c[0]+Rv0848[0]+Rv3370c[-1],2.5594676828055718e-05,0.24,12,10,,1,Rv0040c[0]+Rv0848[0]+Rv3370c[-1]
