GENE_ID,Start,End,Strand,Length
Rv0001,1,1524,+,1523
Rv0002,2052,3260,+,1208
Rv0003,3280,4437,+,1157
Rv0004,4434,4997,+,563
Rv0005,5123,7267,+,2144
Rv0006,7302,9818,+,2516
Rv0007,9914,10828,+,914
Rv0008c,11874,12311,-,437
Rv0009,12468,13016,+,548
Rv0010c,13133,13558,-,425
Rv0011c,13714,13995,-,281
Rv0012,14089,14877,+,788
Rv0013,14914,15612,+,698
Rv0014c,15590,17470,-,1880
Rv0015c,17467,18762,-,1295
Rv0016c,18759,20234,-,1475
Rv0017c,20231,21640,-,1409
Rv0018c,21637,23181,-,1544
Rv0019c,23270,23737,-,467
Rv0020c,23861,25444,-,1583
Rv0021c,25913,26881,-,968
Rv0022c,27023,27442,-,419
Rv0023,27595,28365,+,770
Rv0024,28362,29207,+,845
Rv0025,29245,29607,+,362
Rv0026,29722,31068,+,1346
Rv0027,31189,31506,+,317
Rv0028,31514,31819,+,305
Rv0029,32057,33154,+,1097
Rv0030,33224,33553,+,329
Rv0031,33582,33794,+,212
Rv0032,34295,36610,+,2315
Rv0033,36607,36870,+,263
Rv0034,36867,37262,+,395
Rv0035,37259,38947,+,1688
Rv0036c,39056,39829,-,773
Rv0037c,39877,41202,-,1325
Rv0038,41304,41912,+,608
Rv0039c,42004,42351,-,347
Rv0040c,42433,43365,-,932
Rv0041,43562,46471,+,2909
Rv0042c,46581,47207,-,626
Rv0043c,47366,48100,-,734
Rv0044c,48233,49027,-,794
Rv0045c,49043,49939,-,896
Rv0046c,50021,51124,-,1103
Rv0047c,51185,51727,-,542
Rv0048c,51828,52697,-,869
Rv0049,52831,53244,+,413
Rv0050,53663,55699,+,2036
Rv0051,55696,57378,+,1682
Rv0052,57410,57973,+,563
Rv0053,58192,58482,+,290
Rv0054,58586,59080,+,494
Rv0055,59122,59376,+,254
Rv0056,59409,59867,+,458
Rv0057,59896,60417,+,521
Rv0058,60396,63020,+,2624
Rv0059,63200,63892,+,692
Rv0060,63909,64967,+,1058
Rv0061c,64991,65416,+,425
Rv0062,65552,66694,+,1142
Rv0063,66923,68362,+,1439
Rv0064,68620,71559,+,2939
Rv0065,71821,72222,+,401
Rv0066c,72274,74511,-,2237
Rv0067c,74629,75198,-,569
Rv0068,75301,76212,+,911
Rv0069c,76237,77622,-,1385
Rv0070c,77619,78896,-,1277
Rv0071,79486,80193,+,707
Rv0072,80624,81673,+,1049
Rv0073,81676,82668,+,992
Rv0074,82748,83983,+,1235
Rv0075,83996,85168,+,1172
