feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1828--Rv1332--Rv0981,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0023,0.0,0.9999999999999998,0.0,0.0,-0.057494517592901966,0.0,0.0,-0.029772681466947365,-0.028801042302398376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018125411164241552,0.0,-0.013560023231051689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009523377634390276,0.0,0.0,0.0,0.0,-0.010665491157310285,-0.08816828712370843,0.0,-0.018125411164241528,-0.057061635982652174,0.0,0.0,0.0,-0.07510577764645857,0.0,0.0,0.0,-0.006711409395973176,0.0,-0.09693282805305123,0.0,-0.010665491157310287,-0.012662576310200275,-0.05879959795047641,0.0,0.0,-0.011703313150272036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027307730683967937,-0.06055624445199404,0.0,0.0,0.0,-0.010665491157310266,-0.04096159602595193,0.0,0.0,-0.1024564914731301,0.0,0.0,0.0,0.0,0.0,-0.008233590595890666,0.0,0.0,0.0,0.0,0.0,0.0,-0.009523377634390293,0.0,0.0,0.0
Rv0042c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0047c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0054,0.0,-0.057494517592901966,0.0,0.0,1.0,0.0,0.0,0.07618470051168838,0.0024922161916062953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15527465388809886,0.0,0.015840603018881044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0815837584387009,0.0,0.0,0.0,0.0,-0.09136788307815662,0.609450972068631,0.0,-0.15527465388809886,0.38785871848359205,0.0,0.0,0.0,0.4808833436757488,0.0,0.0,0.0,-0.05749451759290247,0.0,0.4493467651439721,0.0,-0.03599340848533437,-0.10847627874930255,0.4689990249658171,0.0,0.0,-0.10025857522822004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380442472330653,0.2375824425090131,0.0,0.0,0.0,0.185504489885954,0.32254905262816136,0.0,0.0,0.517558119999762,0.0,0.0,0.0,0.0,0.0,-0.07053456158586006,0.0,0.0,0.0,0.0,0.0,0.0,-0.08158375843870093,0.0,0.0,0.0
Rv0067c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0081,0.0,-0.029772681466947365,0.0,0.0,0.07618470051168838,0.0,0.0,1.0,-0.028207891253119156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0804066718645115,0.0,-0.06015401959903345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042246936830924585,0.0,0.0,0.0,0.0,-0.04731350036635564,0.337680161861073,0.0,-0.0804066718645115,0.4774837532350893,0.0,0.0,0.0,0.2296468109738361,0.0,0.0,0.0,0.2254217311068865,0.0,0.3071475584169761,0.0,-0.047313500366355954,-0.056172828804141164,0.26522654312822314,0.0,0.0,0.09641805302093025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22497545704883898,0.491653366822467,0.0,0.0,0.0,-0.047313500366355905,0.07787611974767507,0.0,0.0,0.2905885321551859,0.0,0.0,0.0,0.0,0.0,-0.03652527445096529,0.0,0.0,0.0,0.0,0.0,0.0,-0.042246936830924654,0.0,0.0,0.0
Rv0117,0.0,-0.02880104230239838,0.0,0.0,0.002492216191606295,0.0,0.0,-0.028207891253119156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3262827677958894,0.0,0.007935119673021143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33066086756162866,0.0,0.0,0.0,0.0,-0.04576941203763474,0.28393131700256174,0.0,0.42729910457480275,0.2548665196518253,0.0,0.0,0.0,0.212375207798954,0.0,0.0,0.0,0.2330266149921343,0.0,-0.09183824022076333,0.0,0.37031615194086454,0.43965687690218536,0.12998816455154902,0.0,0.0,0.40635033369252066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13139168093178852,0.00757763659169666,0.0,0.0,0.0,-0.04576941203763479,0.3568882144228313,0.0,0.0,0.15005377143909734,0.0,0.0,0.0,0.0,0.0,-0.03533326266687883,0.0,0.0,0.0,0.0,0.0,0.0,-0.04086819711435861,0.0,0.0,0.0
Rv0135c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
