feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv0981--Rv1828--Rv1332,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,0.9999999999999999,0.19442398845107417,0.0,0.0,0.0,0.0,0.7294955398698885,0.0,0.4146656641346771,0.5840549313368686,0.0,0.7008376533884741,0.0,0.45221269898012967,0.0,0.5585229907486291,0.38201699145179074,0.0,-0.06654201713412657,0.0,0.7934920476158697,0.9152610946668366,0.0,0.0,0.0,0.9537089301847894,-0.15044515564140679,0.0,0.5814305338740303,0.7294955398698884,0.4131609099374682,0.0,0.7525926281572504,0.6099021858695888,0.6326109838074466,0.27096071571744995,0.0,0.5729348110208458,-0.05231055381796193,0.28560816295843694,0.4944132324730427,0.6553086520330949,0.47047564398548103,0.0,0.7294955398698885,0.7961873565671491,0.6496329115591116,0.9343630898888299,0.9472266248058946,0.0,0.6099021858695888,0.0,0.0,0.0,0.0,0.2536286367508937,0.5585229907486292,-0.11776030079682896,0.0,0.5849677812924996,0.38866588933566515,0.0,0.6609863586449654,0.1829905471188479,0.0,0.0,0.0,0.7237468644557484,-0.04124145209568243,0.19442398845107417,0.5470066075257303,0.5871365639519854,0.43955825326276204,0.0,0.6895701341643491,0.0,0.0,0.8593963529729847,0.9866035476385174,0.0,0.8859327623966197,0.8112457445926355,0.33333333333333226,0.2709607157174497,0.0,0.1829905471188479,0.0,0.0,0.0,0.0,0.7169269748849046,0.0,0.0,0.0,0.42103310074786415,0.0,0.14392925652945704,0.0,0.0,0.1829905471188479
Rv0023,0.19442398845107414,0.9999999999999999,0.0,0.0,0.0,0.0,0.26651840597373816,0.0,-0.06596259733209058,0.31583723359350957,0.0,0.27741658501231425,0.0,-0.07193536082504301,0.0,0.34810382324722805,0.5089406827486885,0.0,-0.029109069834292376,0.0,0.2450232349967973,0.21242461805048723,0.0,0.0,0.0,0.20386092894548286,-0.0358979079308868,0.0,-0.0924905809661125,-0.11604389925172304,-0.09611547479941202,0.0,0.25833894882431635,0.31877896645651027,0.30733577732228007,0.7175357060018047,0.0,-0.10333981774996821,-0.010170426511372642,-0.056424708469733804,-0.07864837576396125,0.2966907087948163,-0.07484052368679081,0.0,-0.11604389925172304,0.16783902684507052,-0.10333981774996823,0.18427081968304898,0.20525604259795244,0.0,-0.09701968544328564,0.0,0.0,0.0,0.0,-0.04034576548024145,-0.08884658250243065,-0.022895427362117603,0.0,-0.1096699202558967,0.5002342469090769,0.0,0.29414221021088255,-0.029109069834292352,0.0,0.0,0.0,0.26863534475866724,-0.030927835051546355,0.9999999999999999,0.35543261411504656,0.3311392960138886,0.31011748893138796,0.0,-0.15067929138693678,0.0,0.0,-0.136707763586166,0.1970639462187596,0.0,0.19054287961914085,0.2396610271881344,0.5832719653532201,0.717535706001804,0.0,-0.029109069834292352,0.0,0.0,0.0,0.0,0.17586311452816458,0.0,0.0,0.0,0.4617783924962829,0.0,-0.022895427362117617,0.0,0.0,-0.029109069834292352
Rv0042c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0047c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0067c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0078,0.7294955398698885,0.2665184059737381,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.5684279635330418,0.4855861137895473,0.0,0.6560488332167312,0.0,0.6198978256409695,0.0,0.6575317807086343,0.5236728267316436,0.0,-0.06421160280068575,0.0,0.5366691689295588,0.7232267605146909,0.0,0.0,0.0,0.7649037528971661,-0.13469204049803665,0.0,0.35700650865606226,0.7791682002208318,0.1735107355026182,0.0,0.641963265236148,0.8360601985015151,0.7326199405877439,0.37143574005370456,0.0,0.5751078478411819,-0.03816031569832663,0.4114559330770631,0.6777467516267849,0.7660544793824884,0.6449328587661994,0.0,0.7791682002208318,0.6297464756021701,0.8905234865109346,0.6913999767100768,0.7701383394067624,0.0,0.836060198501515,0.0,0.0,0.0,0.0,0.3476767476825566,0.7656290686139716,-0.08590561420502267,0.0,0.6866796114798525,0.5096124674007529,0.0,0.7579169218289251,0.2508453268288469,0.0,0.0,0.0,0.6914773363692658,-0.11604389925172326,0.2665184059737381,0.7498422918710275,0.804852849486516,0.5552346471706958,0.0,0.6380559207827228,0.0,0.0,0.6393409471433243,0.7394008886507356,0.0,0.7149332854629041,0.823216224579076,0.4569367667316876,0.3714357400537043,0.0,0.2508453268288469,0.0,0.0,0.0,0.0,0.6598535432689533,0.0,0.0,0.0,0.5771565112282349,0.0,0.1972997073499973,0.0,0.0,0.2508453268288469
Rv0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0117,0.4146656641346771,-0.06596259733209058,0.0,0.0,0.0,0.0,0.5684279635330418,0.0,1.0,0.26815795771229156,0.0,0.5916714978566217,0.0,0.5698157697515197,0.0,0.5661226819362642,0.3301491737686737,0.0,0.0008389669173988383,0.0,0.37278462151600117,0.45305723858569397,0.0,0.0,0.0,0.4347926825581186,-0.07656272228440882,0.0,0.3932957612049628,0.5684279635330418,0.22860103668710774,0.0,0.46381355004391195,0.5840172872401294,0.490867464793328,0.1272980468524282,0.0,0.6383076607671935,-0.021691390540177834,0.5417717278337931,0.7298979394083263,0.5403351704280576,0.6844304905593346,0.0,0.48021982228906746,0.3579655066686522,0.6383076607671935,0.39301108074810076,0.43776816790770606,0.0,0.5360815317895031,0.0,0.0,0.0,0.0,0.5651330896604826,0.6416840661484308,-0.04883115333861659,0.0,0.4434222520143406,0.3865185676649369,0.0,0.5352791216294893,-0.06208355188751303,0.0,0.0,0.0,0.5065789024217652,-0.0659625973320905,-0.06596259733209058,0.6560474274878979,0.5349494921717023,0.4960420725802887,0.0,0.43776816790770606,0.0,0.0,0.48250805661460616,0.4202961413702584,0.0,0.40638807151766604,0.5111467972542647,0.07029958433732862,-0.09192935874876797,0.0,-0.06208355188751303,0.0,0.0,0.0,0.0,0.3750792058304329,0.0,0.0,0.0,0.4972133545703364,0.0,-0.048831153338616345,0.0,0.0,-0.06208355188751303
Rv0135c,0.5840549313368686,0.3158372335935096,0.0,0.0,0.0,0.0,0.4855861137895473,0.0,0.26815795771229156,1.0,0.0,0.37541295586208456,0.0,0.01842677140831385,0.0,0.381200380975372,0.6205776906804462,0.0,-0.043486200036420584,0.0,0.6599012523240555,0.6406450973317634,0.0,0.0,0.0,0.6137491495601206,-0.11365951861485799,0.0,0.6018659999181536,0.4685260559213116,0.4224694642836416,0.0,0.5144849794686244,0.5272167233104658,0.6456088378229218,0.1688088509582197,0.0,0.21144573413826165,-0.03220148047668833,0.22574038003572397,0.27707361664351216,0.6175510775603131,0.3071907710371156,0.0,0.3832257665801331,0.5000057713973443,0.40894670290595503,0.5520319136321332,0.618133881621519,0.0,0.32325245755143456,0.0,0.0,0.0,0.0,0.41201380359324274,0.20583131833548368,-0.07249122309494588,0.0,0.42129385452100954,0.07995625080921644,0.0,0.6108027450535037,0.2972638748758299,0.0,0.0,0.0,0.8163225924385147,-0.09792333443292238,0.3158372335935096,0.3953350183012667,0.5562195305240755,0.3056488927478909,0.0,0.47528003583036027,0.0,0.0,0.5382611459649171,0.5923681429626854,0.0,0.5718237794982335,0.7259272375414096,0.31449111687369824,0.4401693615407564,0.0,0.2972638748758299,0.0,0.0,0.0,0.0,0.5254457542569997,0.0,0.0,0.0,0.18879202447655558,0.0,0.23380971955975471,0.0,0.0,0.2972638748758299
