,0
Rv2642,0.5
Rv0022c,0.85
Rv1675c,0.8233333333333334
Rv3167c,0.8566666666666667
Rv1189,0.5566666666666666
Rv2488c,0.75
Rv1395,0.56
Rv0324,0.69
Rv3082c,0.7166666666666667
Rv1049,0.8033333333333333
Rv1460,0.64
Rv1674c,0.7433333333333333
Rv0767c,0.8733333333333333
Rv3249c,0.5
Rv2034,0.5
Rv0081,0.5
Rv0232,0.5
Rv0117,0.61
Rv3855,0.5
Rv0047c,0.5
Rv0067c,0.5
Rv2359,0.5
Rv1990c,0.5
Rv0474,0.5
Rv2250c,0.5966666666666667
Rv0330c,0.6066666666666667
Rv3830c,0.6133333333333333
Rv1186c,0.7333333333333333
Rv2506,0.5266666666666666
Rv3066,0.7066666666666667
Rv0623,0.5
Rv1773c,0.5
Rv0078,0.7566666666666667
Rv0494,0.8266666666666667
Rv1719,0.8766666666666667
Rv3164c,0.8633333333333333
Rv2011c,0.55
Rv0602c,0.8933333333333333
Rv2760c,0.7866666666666666
Rv1657,0.8433333333333334
Rv1473A,0.5
Rv3183,0.84
Rv3833,0.5
Rv3405c,0.5
Rv2827c,0.53
Rv3911,0.5266666666666666
Rv2017,0.69
Rv0674,0.5
Rv1556,0.7566666666666667
Rv3124,0.81
Rv3862c,0.5
Rv0880,0.5
Rv0195,0.76
Rv2009,0.5
Rv0827c,0.46
Rv0894,0.79
Rv0302,0.5
Rv0653c,0.5
Rv3219,0.8366666666666667
Rv0135c,0.71
Rv3416,0.5
Rv1219c,0.5
Rv1176c,0.72
Rv2021c,0.48333333333333334
Rv0967,0.6833333333333333
Rv3095,0.5
Rv0158,0.5
Rv2779c,0.47
Rv0023,0.53
Rv0042c,0.5
Rv3173c,0.5
Rv1846c,0.7333333333333333
Rv2069,0.7133333333333334
Rv0238,0.63
Rv3050c,0.6833333333333333
Rv3223c,0.5833333333333334
Rv1404,0.6533333333333333
Rv0445c,0.47333333333333333
Rv0981--Rv1828--Rv1332,0.5
Rv1379,0.49666666666666665
Rv3676,0.5
Rv2595,0.5
Rv1423,0.7466666666666667
Rv1956,0.5
Rv3291c,0.5
Rv3160c,0.5
Rv3849,0.5166666666666667
Rv3557c,0.5
Rv2745c,0.5
Rv3414c,0.5
Rv1359,0.71
Rv0891c,0.7033333333333334
Rv3597c,0.5
Rv3133c,0.5
Rv0353,0.5
Rv0054,0.5
Rv1994c,0.5
Rv3417c,0.8
Rv3246c,0.5566666666666666
Rv3260c,0.5266666666666666
