,feature_set,case,num_zero
0,Rv3095+Rv3246c,"(-1, -1)",-10.0
1,Rv3095+Rv3246c,"(-1, 0)",-10.0
2,Rv3095+Rv3246c,"(-1, 1)",-10.0
3,Rv3095+Rv3246c,"(0, -1)",0.0
4,Rv3095+Rv3246c,"(0, 0)",-4.698380618545705
5,Rv3095+Rv3246c,"(0, 1)",2.8899445642575934
6,Rv3095+Rv3246c,"(1, -1)",0.0
7,Rv3095+Rv3246c,"(1, 0)",0.0
8,Rv3095+Rv3246c,"(1, 1)",0.0
9,Rv2009+Rv3830c,"(-1, -1)",-4.418539921951662
10,Rv2009+Rv3830c,"(-1, 0)",-10.0
11,Rv2009+Rv3830c,"(-1, 1)",-10.0
12,Rv2009+Rv3830c,"(0, -1)",3.1830114750441125
13,Rv2009+Rv3830c,"(0, 0)",-1.7092699609758308
14,Rv2009+Rv3830c,"(0, 1)",-10.0
15,Rv2009+Rv3830c,"(1, -1)",0.0
16,Rv2009+Rv3830c,"(1, 0)",0.0
17,Rv2009+Rv3830c,"(1, 1)",0.0
18,Rv0054+Rv3066+Rv3133c,"(-1, -1, -1)",0.0
19,Rv0054+Rv3066+Rv3133c,"(-1, -1, 0)",0.0
20,Rv0054+Rv3066+Rv3133c,"(-1, -1, 1)",0.0
21,Rv0054+Rv3066+Rv3133c,"(-1, 0, -1)",0.0
22,Rv0054+Rv3066+Rv3133c,"(-1, 0, 0)",0.0
23,Rv0054+Rv3066+Rv3133c,"(-1, 0, 1)",0.0
24,Rv0054+Rv3066+Rv3133c,"(-1, 1, -1)",0.0
25,Rv0054+Rv3066+Rv3133c,"(-1, 1, 0)",0.0
26,Rv0054+Rv3066+Rv3133c,"(-1, 1, 1)",0.0
27,Rv0054+Rv3066+Rv3133c,"(0, -1, -1)",0.0
28,Rv0054+Rv3066+Rv3133c,"(0, -1, 0)",10.0
29,Rv0054+Rv3066+Rv3133c,"(0, -1, 1)",-4.418539921951662
30,Rv0054+Rv3066+Rv3133c,"(0, 0, -1)",0.0
31,Rv0054+Rv3066+Rv3133c,"(0, 0, 0)",-0.505149978319906
32,Rv0054+Rv3066+Rv3133c,"(0, 0, 1)",-10.0
33,Rv0054+Rv3066+Rv3133c,"(0, 1, -1)",0.0
34,Rv0054+Rv3066+Rv3133c,"(0, 1, 0)",0.0
35,Rv0054+Rv3066+Rv3133c,"(0, 1, 1)",-10.0
36,Rv0054+Rv3066+Rv3133c,"(1, -1, -1)",0.0
37,Rv0054+Rv3066+Rv3133c,"(1, -1, 0)",10.0
38,Rv0054+Rv3066+Rv3133c,"(1, -1, 1)",1.2041199826559248
39,Rv0054+Rv3066+Rv3133c,"(1, 0, -1)",0.0
40,Rv0054+Rv3066+Rv3133c,"(1, 0, 0)",0.0
41,Rv0054+Rv3066+Rv3133c,"(1, 0, 1)",0.0
42,Rv0054+Rv3066+Rv3133c,"(1, 1, -1)",0.0
43,Rv0054+Rv3066+Rv3133c,"(1, 1, 0)",0.0
44,Rv0054+Rv3066+Rv3133c,"(1, 1, 1)",0.0
45,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, -1, -1)",0.0
46,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, -1, 0)",0.0
47,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, -1, 1)",0.0
48,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, 0, -1)",-10.0
49,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, 0, 0)",-10.0
50,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, 0, 1)",0.0
51,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, 1, -1)",0.0
52,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, 1, 0)",0.0
53,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, -1, -1, 1, 1)",0.0
