,0
Rv3095+Rv3246c,0.9583333333333334
Rv2009+Rv3830c,0.95
Rv0054+Rv3066+Rv3133c,0.9366666666666666
Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,0.935
Rv1460,0.915
Rv0081+Rv0330c+Rv2034+Rv3911,0.86
Rv1675c+Rv2011c+Rv2021c+Rv3124,0.845
Rv0047c+Rv1657+Rv3173c,0.8416666666666667
Rv0023+Rv0474+Rv0602c+Rv2506+Rv3260c+Rv3849,0.84
Rv1773c+Rv3414c,0.8233333333333334
Rv0232+Rv1189,0.8216666666666667
Rv0302+Rv1674c+Rv1956,0.7816666666666666
Rv0042c+Rv1219c+Rv1719+Rv1994c+Rv3557c+Rv3862c,0.7783333333333333
Rv0967+Rv3164c,0.7733333333333333
Rv0067c+Rv0494+Rv0827c+Rv1990c+Rv2069+Rv3249c,0.71
Rv0117+Rv1049,0.67
Rv3183,0.585
Rv0353+Rv2642,0.5233333333333333
Rv0135c+Rv0674+Rv1473A+Rv2359,0.5233333333333333
Rv1186c+Rv1556,0.5216666666666666
Rv0022c,0.5
Rv2779c,0.5
Rv3597c,0.5
Rv0195,0.5
Rv0894,0.5
Rv3219,0.5
Rv0880,0.5
Rv2488c,0.5
Rv1395,0.5
Rv3417c,0.5
Rv0238,0.5
Rv3223c,0.5
Rv1846c,0.5
Rv2760c,0.5
Rv0445c,0.5
Rv0767c,0.5
Rv2250c,0.5
Rv0891c,0.5
Rv1359,0.5
Rv3160c,0.5
Rv3291c,0.5
Rv0324,0.5
Rv3855,0.5
Rv3167c,0.5
Rv2827c,0.5
Rv0623,0.5
Rv0078,0.5
Rv3405c,0.5
Rv3833,0.5
Rv3050c,0.5
Rv1404,0.5
Rv0981--Rv1332--Rv1828,0.5
Rv1379,0.5
Rv3676,0.5
Rv2595,0.5
Rv1423,0.49
Rv2017,0.49
Rv3416,0.48833333333333334
