feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1828--Rv0981--Rv1332,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,0.0,0.008333333333333304,0.0016666666666667052,0.020000000000000018,0.0,0.0,-0.07499999999999996,-0.09499999999999997,0.0,-0.1233333333333333,0.00666666666666671,-0.016666666666666607,0.00666666666666671,-0.18999999999999995,0.0,-0.17499999999999993,0.011666666666666714,0.011666666666666714,-0.16999999999999993,-0.04833333333333334,-0.03833333333333333,-0.008333333333333304,0.015000000000000013,-0.033333333333333326,0.0,-0.008333333333333415,-0.18499999999999994,0.0,-0.06666666666666665,-0.020000000000000018,-0.15500000000000003,-0.036666666666666625,-0.11166666666666669,-0.15833333333333333,0.011666666666666714,0.008333333333333304,-0.04499999999999993,-0.016666666666666607,0.011666666666666714,-0.17833333333333334,-0.08666666666666667,0.0050000000000000044,0.0,-0.06333333333333335,0.023333333333333317,-0.09166666666666667,0.011666666666666714,-0.008333333333333304,0.0,0.0,-0.09166666666666667,-0.039999999999999925,0.0,-0.015000000000000013,-0.125,0.00666666666666671,-0.15833333333333333,-0.016666666666666607,-0.03166666666666662,-0.1333333333333333,0.011666666666666714,-0.043333333333333335,-0.08499999999999996,0.011666666666666714,0.0,-0.07833333333333325,0.0,-0.05666666666666664,-0.06666666666666665,0.0,-0.13,-0.16499999999999992,-0.16166666666666663,0.011666666666666714,-0.02833333333333332,0.033333333333333326,-0.05666666666666664,-0.008333333333333304,0.0,0.0,0.01666666666666672,-0.00666666666666671,-0.21833333333333327,0.011666666666666714,0.008333333333333304,0.018333333333333313,0.0,-0.11166666666666669,0.0,-0.0016666666666665941,0.01666666666666672,0.0,0.0016666666666667052,0.0,0.011666666666666714,0.0,0.00666666666666671,-0.046666666666666634,0.0,0.0
Rv0023,0.008333333333333304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333323,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,0.0,0.2633333333333333,0.0,0.14,0.0,0.0,0.0,0.0,0.2683333333333333,0.0,0.008333333333333304,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29666666666666675,0.0,0.0,-0.016666666666666663,0.31000000000000005,0.0,0.0,0.013333333333333308,0.0,0.0,0.040000000000000036,-0.008333333333333304,0.036666666666666625,0.0,0.0,0.0,0.0,0.0,0.07000000000000006,0.0,0.0,0.013333333333333308,0.0,0.0,0.30833333333333335,0.013333333333333308,-0.018333333333333313,-0.0033333333333332993,-0.02833333333333332,0.0033333333333334103,0.0,-0.02999999999999997,0.0,0.0,0.09499999999999997,0.0,0.0,0.0,-0.025000000000000022,-0.013333333333333308,0.0016666666666667052,0.0,0.0,0.0,0.0,0.0,0.03500000000000003,0.0,0.0,-0.015000000000000013,0.0,0.29166666666666674,-0.011666666666666603,-0.008333333333333304,0.0,0.0,0.013333333333333308,0.0,0.0,0.0,0.2466666666666667,0.0,-0.008333333333333304,0.0,0.0,0.01333333333333342
Rv0042c,0.0016666666666667052,0.0,0.0,-0.006666666666666654,0.0,0.0,-0.056666666666666754,0.0,-0.0016666666666667052,0.0,-0.025000000000000022,0.0,-0.006666666666666654,0.0,0.0,0.0,0.2733333333333333,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.05500000000000005,0.135,0.0,0.0,0.0,0.0,0.0,0.0,-0.05999999999999994,0.0,0.0,0.0,-0.016666666666666663,0.0050000000000000044,0.0,0.0,-0.046666666666666634,0.0,0.0,-0.0050000000000000044,0.0,0.021666666666666612,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,-0.013333333333333308,0.0,-0.040000000000000036,0.18333333333333335,-0.0016666666666666496,0.1233333333333334,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,0.0,-0.06000000000000005,0.0,-0.039999999999999925,0.0,0.0,0.0,0.0,0.0,-0.05499999999999994,0.0,0.0,0.0,-0.006666666666666654,-0.04499999999999993,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666599,0.0,0.0,0.0
Rv0047c,0.020000000000000018,0.0,-0.006666666666666654,0.0,0.2716666666666666,0.27,0.0016666666666665941,0.18666666666666665,0.039999999999999925,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.03166666666666662,0.2483333333333333,0.28500000000000003,0.15500000000000003,-0.03999999999999998,0.0,0.0,0.030000000000000027,0.30500000000000005,-0.018333333333333313,0.0,0.16000000000000003,-0.030000000000000027,0.0,0.0,-0.026666666666666616,0.0,0.0,0.0,0.2633333333333333,0.0,0.0,-0.026666666666666672,0.28166666666666673,0.0,0.0,0.01666666666666672,-0.030000000000000027,0.0,0.05166666666666664,-0.008333333333333304,0.04833333333333334,0.0,0.04833333333333334,0.0,0.0,0.0,0.06999999999999995,0.05833333333333335,0.19166666666666665,-0.030000000000000027,0.0,-0.003333333333333355,0.33333333333333337,0.023333333333333317,0.24166666666666659,-0.0050000000000000044,-0.03833333333333333,0.29000000000000004,0.0,0.01666666666666672,-0.010000000000000009,0.0,0.09499999999999997,-0.033333333333333326,0.0,-0.020000000000000018,-0.053333333333333344,-0.021666666666666667,0.0,0.345,0.0,0.0,0.0,0.0,0.04500000000000004,0.0,0.0,0.2799999999999999,0.0,0.29833333333333334,0.0,-0.06833333333333336,-0.020000000000000018,0.0033333333333332993,0.043333333333333335,0.0,-0.033333333333333326,0.0,0.09499999999999997,-0.026666666666666672,0.006666666666666599,-0.021666666666666667,-0.018333333333333313,0.0
Rv0054,0.0,0.0,0.0,0.2716666666666666,0.0,0.0,0.0,0.0,0.039999999999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.008333333333333415,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.00666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29500000000000004,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,-0.023333333333333317,0.0,-0.03500000000000003,0.0,0.0,0.0,0.0,0.0,-0.018333333333333313,0.0,0.0,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026666666666666672,0.03500000000000003,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.006666666666666599,0.0,0.0,0.0
Rv0067c,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.039999999999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,-0.02833333333333332,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.15333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.28166666666666673,0.0,0.0,0.0,0.0,0.0,0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,-0.013333333333333308,-0.011666666666666659,0.0050000000000000044,-0.026666666666666727,0.0,-0.03500000000000003,0.0,-0.00833333333333336,0.04833333333333334,0.0,0.0,-0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018333333333333313,0.28500000000000003,0.0,0.0,0.0,0.03500000000000003,0.021666666666666612,0.0,0.0,0.0,0.0016666666666667052,0.0,0.006666666666666599,0.0,-0.011666666666666659,0.0
Rv0078,-0.07499999999999996,0.0,-0.056666666666666754,0.0016666666666665941,0.0,0.0,0.0,0.0,0.0,-0.07333333333333336,-0.021666666666666723,-0.010000000000000009,-0.0016666666666667052,0.0,0.0,0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,0.07999999999999996,0.0,-0.06333333333333335,0.0,0.0,-0.023333333333333317,-0.03500000000000003,0.0,0.0,-0.09166666666666667,-0.023333333333333317,0.0,0.0,-0.046666666666666745,-0.05499999999999994,-0.0033333333333334103,-0.04500000000000004,0.0,0.0,0.0,-0.02833333333333332,-0.043333333333333335,0.0,-0.020000000000000018,0.0,0.0,0.0,-0.02833333333333332,0.0,-0.10833333333333339,0.0,-0.050000000000000044,-0.05500000000000005,0.0,-0.0016666666666667052,0.0,0.0,0.043333333333333335,0.0,0.0,-0.07666666666666666,-0.0050000000000000044,0.05166666666666664,-0.03833333333333333,-0.11166666666666658,0.0,-0.05833333333333335,0.0,-0.03833333333333333,-0.010000000000000009,-0.10166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999991,-0.04500000000000004,0.0,0.0,0.0,0.0,-0.023333333333333317,0.0,0.0,0.0,0.0
Rv0081,-0.09499999999999997,0.0,0.0,0.18666666666666665,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.023333333333333317,0.0,0.0,0.0,0.0,0.15499999999999992,0.0,-0.031666666666666676,-0.0016666666666666496,0.0,-0.043333333333333335,0.0,0.0,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,-0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,-0.10166666666666668,-0.0033333333333332993,-0.09333333333333338,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,0.12,0.0,0.04833333333333334,0.0,0.0,0.0,0.0,0.0,-0.02833333333333332,0.0,0.0,0.0,0.0,0.0,-0.12166666666666659,0.0,0.0,0.0,-0.1216666666666667,-0.010000000000000009,-0.11499999999999999,0.0,0.0,0.0,-0.020000000000000018,0.125,0.0,0.0,-0.026666666666666672,0.0,-0.07333333333333336,0.0,0.0,0.0,0.0,0.0,0.006666666666666599,0.0,0.0,0.0
Rv0117,0.0,0.05333333333333323,-0.0016666666666667052,0.039999999999999925,0.039999999999999925,0.039999999999999925,0.0,-0.030000000000000027,0.039999999999999925,0.0,0.04499999999999993,0.0,0.039999999999999925,-0.03166666666666673,0.039999999999999925,0.0,-0.056666666666666754,0.039999999999999925,-0.053333333333333344,0.03166666666666662,-0.006666666666666599,-0.011666666666666603,0.039999999999999925,0.0,0.039999999999999925,0.0,-0.025000000000000022,0.039999999999999925,0.0,0.0,0.0050000000000000044,0.0,0.0,0.0,-0.08666666666666667,0.016666666666666607,0.0,-0.15666666666666673,-0.10000000000000009,0.0,0.0,-0.030000000000000027,0.039999999999999925,0.0,-0.18499999999999994,0.0,-0.07000000000000006,0.0,0.039999999999999925,0.0,0.0,-0.0033333333333334103,-0.030000000000000027,0.039999999999999925,-0.08000000000000007,0.039999999999999925,0.0,0.0016666666666665941,-0.08666666666666667,0.0,0.04999999999999993,-0.0033333333333334103,-0.036666666666666625,0.06666666666666665,0.039999999999999925,-0.14000000000000007,0.039999999999999925,0.0,-0.030000000000000027,0.05333333333333323,0.0,0.0,0.0,0.04499999999999993,0.0,0.039999999999999925,0.0033333333333332993,0.0,0.0,0.029999999999999916,0.0,0.0,-0.06000000000000005,0.07999999999999996,0.039999999999999925,0.06666666666666665,0.039999999999999925,-0.07333333333333336,0.036666666666666625,0.07499999999999996,0.016666666666666607,0.039999999999999925,0.039999999999999925,0.039999999999999925,-0.036666666666666736,0.039999999999999925,0.06666666666666665,0.039999999999999925,0.0,0.06666666666666665
Rv0135c,-0.1233333333333333,0.0,0.0,0.0,0.0,0.0,-0.07333333333333336,0.0,0.0,0.0,-0.026666666666666727,0.06000000000000005,0.0,0.0050000000000000044,0.0,0.10666666666666669,0.011666666666666603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17166666666666675,0.0,0.0,-0.010000000000000009,0.0,-0.0016666666666667052,0.06666666666666665,-0.10999999999999999,-0.013333333333333308,0.0,0.0,-0.05166666666666664,-0.01666666666666672,0.05166666666666664,0.0033333333333332993,-0.0016666666666667052,0.0,0.0,-0.15333333333333332,-0.1283333333333333,0.06833333333333336,-0.030000000000000027,0.0,0.0,0.0,0.08333333333333326,0.0,0.0,0.0,0.0,0.0,-0.008333333333333304,0.0,0.0,-0.0016666666666667052,0.06999999999999995,0.0,0.06333333333333335,0.0,0.0,0.0,0.0,-0.0016666666666667052,0.0,0.0,-0.010000000000000009,0.010000000000000009,-0.01666666666666672,0.0,-0.16666666666666663,0.0,0.0,0.0,-0.15833333333333333,0.0,-0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11166666666666669,0.0,0.0,0.0,0.0033333333333332993,0.0,0.0,0.0,0.0,0.0
