,feature_set,case,num_zero
0,Rv0302+Rv2009+Rv3830c,"(-1, -1, -1)",2.6797593634672925
1,Rv0302+Rv2009+Rv3830c,"(-1, -1, 0)",-10.0
2,Rv0302+Rv2009+Rv3830c,"(-1, -1, 1)",0.0
3,Rv0302+Rv2009+Rv3830c,"(-1, 0, -1)",-1.4539974558725246
4,Rv0302+Rv2009+Rv3830c,"(-1, 0, 0)",0.0
5,Rv0302+Rv2009+Rv3830c,"(-1, 0, 1)",0.0
6,Rv0302+Rv2009+Rv3830c,"(-1, 1, -1)",0.0
7,Rv0302+Rv2009+Rv3830c,"(-1, 1, 0)",0.0
8,Rv0302+Rv2009+Rv3830c,"(-1, 1, 1)",0.0
9,Rv0302+Rv2009+Rv3830c,"(0, -1, -1)",-10.0
10,Rv0302+Rv2009+Rv3830c,"(0, -1, 0)",-10.0
11,Rv0302+Rv2009+Rv3830c,"(0, -1, 1)",-10.0
12,Rv0302+Rv2009+Rv3830c,"(0, 0, -1)",-10.0
13,Rv0302+Rv2009+Rv3830c,"(0, 0, 0)",-10.0
14,Rv0302+Rv2009+Rv3830c,"(0, 0, 1)",-10.0
15,Rv0302+Rv2009+Rv3830c,"(0, 1, -1)",0.0
16,Rv0302+Rv2009+Rv3830c,"(0, 1, 0)",0.0
17,Rv0302+Rv2009+Rv3830c,"(0, 1, 1)",0.0
18,Rv0302+Rv2009+Rv3830c,"(1, -1, -1)",0.0
19,Rv0302+Rv2009+Rv3830c,"(1, -1, 0)",0.0
20,Rv0302+Rv2009+Rv3830c,"(1, -1, 1)",0.0
21,Rv0302+Rv2009+Rv3830c,"(1, 0, -1)",0.0
22,Rv0302+Rv2009+Rv3830c,"(1, 0, 0)",0.0
23,Rv0302+Rv2009+Rv3830c,"(1, 0, 1)",0.0
24,Rv0302+Rv2009+Rv3830c,"(1, 1, -1)",0.0
25,Rv0302+Rv2009+Rv3830c,"(1, 1, 0)",0.0
26,Rv0302+Rv2009+Rv3830c,"(1, 1, 1)",0.0
27,Rv2034+Rv3597c,"(-1, -1)",0.0
28,Rv2034+Rv3597c,"(-1, 0)",-10.0
29,Rv2034+Rv3597c,"(-1, 1)",-10.0
30,Rv2034+Rv3597c,"(0, -1)",0.0
31,Rv2034+Rv3597c,"(0, 0)",-3.3113299523037933
32,Rv2034+Rv3597c,"(0, 1)",1.4155967150753364
33,Rv2034+Rv3597c,"(1, -1)",0.0
34,Rv2034+Rv3597c,"(1, 0)",-10.0
35,Rv2034+Rv3597c,"(1, 1)",10.0
36,Rv0602c+Rv1956+Rv3249c,"(-1, -1, -1)",0.0
37,Rv0602c+Rv1956+Rv3249c,"(-1, -1, 0)",0.0
38,Rv0602c+Rv1956+Rv3249c,"(-1, -1, 1)",0.0
39,Rv0602c+Rv1956+Rv3249c,"(-1, 0, -1)",-3.8622374211843744
40,Rv0602c+Rv1956+Rv3249c,"(-1, 0, 0)",1.2391317704378255
41,Rv0602c+Rv1956+Rv3249c,"(-1, 0, 1)",0.0
42,Rv0602c+Rv1956+Rv3249c,"(-1, 1, -1)",-10.0
43,Rv0602c+Rv1956+Rv3249c,"(-1, 1, 0)",-10.0
44,Rv0602c+Rv1956+Rv3249c,"(-1, 1, 1)",0.0
45,Rv0602c+Rv1956+Rv3249c,"(0, -1, -1)",0.0
46,Rv0602c+Rv1956+Rv3249c,"(0, -1, 0)",0.0
47,Rv0602c+Rv1956+Rv3249c,"(0, -1, 1)",0.0
48,Rv0602c+Rv1956+Rv3249c,"(0, 0, -1)",-10.0
49,Rv0602c+Rv1956+Rv3249c,"(0, 0, 0)",-10.0
50,Rv0602c+Rv1956+Rv3249c,"(0, 0, 1)",0.0
51,Rv0602c+Rv1956+Rv3249c,"(0, 1, -1)",0.0
52,Rv0602c+Rv1956+Rv3249c,"(0, 1, 0)",-10.0
53,Rv0602c+Rv1956+Rv3249c,"(0, 1, 1)",0.0
54,Rv0602c+Rv1956+Rv3249c,"(1, -1, -1)",0.0
55,Rv0602c+Rv1956+Rv3249c,"(1, -1, 0)",0.0
56,Rv0602c+Rv1956+Rv3249c,"(1, -1, 1)",0.0
57,Rv0602c+Rv1956+Rv3249c,"(1, 0, -1)",-10.0
58,Rv0602c+Rv1956+Rv3249c,"(1, 0, 0)",0.0
59,Rv0602c+Rv1956+Rv3249c,"(1, 0, 1)",0.0
60,Rv0602c+Rv1956+Rv3249c,"(1, 1, -1)",-10.0
61,Rv0602c+Rv1956+Rv3249c,"(1, 1, 0)",0.0
62,Rv0602c+Rv1956+Rv3249c,"(1, 1, 1)",0.0
63,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, -1, -1)",0.0
64,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, -1, 0)",0.0
65,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, -1, 1)",0.0
66,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, 0, -1)",0.0
67,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, 0, 0)",0.0
68,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, 0, 1)",0.0
69,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, 1, -1)",0.0
70,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, 1, 0)",0.0
71,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, -1, 1, 1)",0.0
72,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, -1, -1)",0.0
73,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, -1, 0)",0.0
74,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, -1, 1)",0.0
75,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, 0, -1)",0.0
76,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, 0, 0)",0.0
77,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, 0, 1)",0.0
