feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1332--Rv0981--Rv1828,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45833333333333337,0.0,0.0,0.0,0.0,0.0
Rv0023,0.0,0.0,0.45999999999999996,-0.003333333333333355,0.0,0.3716666666666667,0.2766666666666666,-0.010000000000000009,0.0,0.0,0.4716666666666667,0.3416666666666667,0.3883333333333333,0.0,0.32999999999999996,0.41833333333333333,-0.010000000000000009,0.13666666666666671,0.44999999999999996,0.41333333333333333,0.44499999999999995,0.44833333333333336,0.3766666666666667,0.31166666666666665,0.0,0.10166666666666668,0.45499999999999996,0.4633333333333334,0.0,0.021666666666666723,0.0,0.2866666666666666,0.040000000000000036,-0.011666666666666659,0.43500000000000005,0.3383333333333334,0.0,0.42333333333333334,-0.015000000000000013,-0.018333333333333313,0.0,0.03500000000000003,0.0,0.3666666666666667,0.0,0.3916666666666667,-0.020000000000000018,0.4066666666666666,0.41000000000000003,0.13666666666666671,0.0,0.006666666666666599,0.3866666666666667,-0.0050000000000000044,0.0,0.44333333333333336,0.0,0.18999999999999995,0.2583333333333333,0.43166666666666664,0.44333333333333336,0.0,0.0,0.4666666666666667,0.0,0.03166666666666662,0.0,0.3966666666666666,0.43166666666666664,0.0,0.0,0.275,0.18000000000000005,-0.011666666666666659,0.3966666666666666,0.0,0.4716666666666667,0.20166666666666666,0.0,0.0,0.44833333333333336,0.0,0.0,0.42666666666666664,0.31166666666666665,0.32999999999999996,0.4733333333333334,0.14500000000000002,0.31499999999999995,0.09999999999999998,0.06000000000000005,0.44499999999999995,0.44499999999999995,0.0,0.4683333333333334,0.0,0.2583333333333333,0.46499999999999997,0.010000000000000009,0.3633333333333333
Rv0042c,0.0,0.45999999999999996,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666666666672,0.01666666666666672,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036666666666666625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021666666666666612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996,0.0,0.0,0.0,0.0,-0.021666666666666667,0.0,0.0,0.0,0.0,0.0
Rv0047c,0.0,-0.003333333333333355,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.0050000000000000044,0.030000000000000027,0.0,0.11499999999999999,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.030000000000000027,0.0,0.0,0.0,0.0,0.030000000000000027,0.030000000000000027,0.3683333333333333,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.030000000000000027,0.0,-0.0016666666666666496,0.0,0.030000000000000027,0.0,0.0,0.0,0.0,0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.023333333333333317,0.0,0.0,0.0,-0.05166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,0.0,0.0,0.0,0.030000000000000027,0.030000000000000027,0.29666666666666663,0.008333333333333304,0.0,-0.021666666666666723,0.0,0.0,0.0,0.030000000000000027,0.0,0.026666666666666616,0.030000000000000027,0.0,0.020000000000000018,0.0,0.0
Rv0054,0.0,0.0,0.0,0.0,0.0,0.30333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039999999999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0067c,-0.0050000000000000044,0.3716666666666667,0.35,0.30000000000000004,0.30333333333333334,0.0,-0.006666666666666654,0.19333333333333336,0.3566666666666667,-0.00833333333333336,0.3616666666666667,0.2616666666666667,0.29333333333333333,-0.0050000000000000044,0.020000000000000018,-0.0050000000000000044,0.03166666666666662,0.10666666666666669,0.33999999999999997,-0.00833333333333336,0.0,0.3433333333333334,0.2533333333333333,-0.0050000000000000044,0.3383333333333334,-0.013333333333333308,0.010000000000000009,0.3783333333333333,-0.0050000000000000044,-0.09666666666666668,-0.0033333333333332993,-0.00833333333333336,0.03833333333333333,0.05833333333333335,0.3766666666666667,0.03166666666666662,-0.0050000000000000044,-0.0050000000000000044,-0.010000000000000009,-0.0050000000000000044,-0.0050000000000000044,0.02833333333333332,0.36,0.2683333333333333,0.015000000000000013,-0.0050000000000000044,0.135,-0.0050000000000000044,-0.0050000000000000044,-0.021666666666666667,-0.0050000000000000044,-0.07833333333333337,0.036666666666666625,0.28,0.3516666666666667,0.3516666666666667,-0.0050000000000000044,0.18166666666666664,0.125,0.33999999999999997,0.0,-0.0050000000000000044,-0.0050000000000000044,0.3516666666666667,-0.04499999999999993,0.31499999999999995,0.0,0.31999999999999995,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,0.1383333333333333,0.31999999999999995,-0.0050000000000000044,0.3516666666666667,0.35,0.17500000000000004,-0.0050000000000000044,0.0,-0.00833333333333336,-0.0050000000000000044,-0.0050000000000000044,0.3733333333333333,-0.0050000000000000044,0.305,0.35,0.20666666666666667,-0.021666666666666723,0.235,-0.00833333333333336,-0.0050000000000000044,0.3616666666666667,-0.0050000000000000044,0.3833333333333333,0.35,0.09499999999999997,0.345,0.0,0.2583333333333333
Rv0078,0.0,0.2766666666666666,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023333333333333317,0.28833333333333333,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,-0.021666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,-0.006666666666666654,0.0,0.0,0.0,0.15000000000000002,0.0,0.0,-0.016666666666666663,0.0,0.30333333333333334,0.0,-0.006666666666666654,0.2666666666666667,0.0,0.0
Rv0081,0.0,-0.010000000000000009,0.0,0.0,0.0,0.19333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018333333333333313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0117,0.0,0.0,0.0,0.0,0.0,0.3566666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021666666666666723,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0
Rv0135c,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,-0.040000000000000036,0.0
