feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1332--Rv1828--Rv0981,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0023,0.0,1.0,0.0,0.0,-0.057928444636349045,0.0,0.0,-0.029045620761528102,-0.027054171519441422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013989334318264404,0.0,-0.015601890707101246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011195553276528148,0.0,0.0,0.0,0.0,0.0,-0.008233590595890699,-0.09118187335127172,0.0,-0.017082166388387984,-0.053844226409079515,0.0,0.0,0.0,-0.07237186919968831,0.0,0.0,-0.008233590595890673,0.0,-0.09400136785390337,0.0,-0.011703313150272072,-0.005807381109988319,-0.0581458129221485,0.0,0.0,-0.01219156592231887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028060150606180605,-0.058799597950476415,0.0,0.0,0.0,-0.012191565922318869,-0.042873729876776345,0.0,0.0,-0.10209850123996764,0.0,0.0,0.0,0.0,0.0,-0.005807381109988318,0.0,0.0,0.0,0.0,0.0,0.0,-0.004737740523795429,0.0,0.0,0.0
Rv0042c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0047c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0054,0.0,-0.057928444636349045,0.0,0.0,0.9999999999999999,0.0,0.0,0.16464049865518854,-0.055410031808788174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12074667640468936,0.0,0.038475770298644185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09663260723474587,0.0,0.0,0.0,0.0,0.0,-0.07106690545187028,0.5926367403899817,0.0,-0.1474419561548974,0.390285387350959,0.0,0.0,0.0,0.501157960050321,0.0,0.0,-0.03553345272593483,0.0,0.46635217005671187,0.0,-0.07576144084141581,-0.050125470711708704,0.4419506652654351,0.0,0.0,-0.10522952928265603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3575283899416372,0.23883257361061253,0.0,0.0,0.0,0.21045905856531158,0.36145167243963094,0.0,0.0,0.523919270425929,0.0,0.0,0.0,0.0,0.0,-0.05012547071170874,0.0,0.0,0.0,0.0,0.0,0.0,-0.0408930410054766,0.0,0.0,0.0
Rv0067c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0081,0.0,-0.029045620761528102,0.0,0.0,0.16464049865518854,0.0,0.0,0.9999999999999998,0.007315959776208716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06054300599786639,0.0,-0.06752182349554982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04845208740814259,0.0,0.0,0.0,0.0,0.0,-0.03563331274313484,0.31854599707150044,0.0,-0.0739281568786639,0.48179134712325017,0.0,0.0,0.0,0.1880402355709261,0.0,0.0,0.28347098047896757,0.0,0.30899146921639276,0.0,-0.05064956931701489,-0.025133169411419066,0.15197259870169968,0.0,0.0,0.0926223408551646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24106478176339474,0.49397651980531226,0.0,0.0,0.0,-0.05276262844005792,0.08494928653191636,0.0,0.0,0.28448625992325416,0.0,0.0,0.0,0.0,0.0,-0.02513316941141907,0.0,0.0,0.0,0.0,0.0,0.0,-0.02050398156358216,0.0,0.0,0.0
Rv0117,0.0,-0.027054171519441422,0.0,0.0,-0.05541003180878817,0.0,0.0,0.007315959776208716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3484160234190941,0.0,-0.03243599991089994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138198528268692,0.0,0.0,0.0,0.0,0.0,-0.03319019285811074,0.251670590154805,0.0,0.43533168260340277,0.14879881395857106,0.0,0.0,0.0,0.17077010723403702,0.0,0.0,0.3043371921396241,0.0,-0.02860922306732623,0.0,0.43258811831890176,0.21465751061033364,0.239963586442722,0.0,0.0,0.45063534522052706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19728495433803983,-0.0007089493125394834,0.0,0.0,0.0,-0.049145074617395625,0.2767821827718144,0.0,0.0,0.047109871743555534,0.0,0.0,0.0,0.0,0.0,-0.023409968809629682,0.0,0.0,0.0,0.0,0.0,0.0,-0.019098171067060108,0.0,0.0,0.0
Rv0135c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
