feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1828--Rv0981--Rv1332,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,1.0,0.13026164406863747,0.0,0.0,0.0,0.0,0.7132495874710171,0.0,0.4707264281832702,0.5292658970853147,0.0,0.7219478388932015,0.0,0.4105194642280841,0.0,0.5338748653763573,0.33785945137860257,0.0,-0.12055358374305261,0.0,0.7161471034128196,0.8803658780306629,0.0,0.0,0.0,0.9181078740552221,-0.1308017922276654,0.0,0.6210629597397416,0.7481595620720051,0.40291624264333004,0.7190464962553458,0.5725614030984777,0.5690177070976675,0.27463991627235373,0.0,0.5854437801542437,-0.11618273053713024,0.28437346787068823,0.5309219950235209,0.632573097323143,0.4645567456455796,0.0,0.7103538752378921,0.7413942978853819,0.6699614655015859,0.9197885646564624,0.9022725080358683,0.0,0.0,0.6008856823173959,0.0,0.0,0.0,0.0,0.23848613916491332,0.5690177070976675,-0.10374130934807635,0.0,0.5338066151324005,0.3559717295649067,0.0,0.6354493159924902,0.1854752575711336,0.0,0.0,0.0,0.6872442176896647,-0.010851332770613906,0.13026164406863747,0.5544340569573445,0.5338748653763575,0.4017331832793182,0.0,0.7361701358317558,0.0,0.0,0.8556752037762536,0.960088403364382,0.0,0.8614772662968834,0.7893811782127363,0.3378594513786024,0.22873192986408408,0.0,0.1854752575711336,0.0,0.0,-0.051609777975736564,0.0,0.6767171906354338,0.0,0.0,0.0,0.4006185505190148,0.0,0.16007900458545007,0.0,0.0,0.1854752575711336
Rv0023,0.13026164406863747,0.9999999999999999,0.0,0.0,0.0,0.0,0.18263122244557983,0.0,-0.04883377600447575,0.22212617520708997,0.0,0.1804308248478694,0.0,-0.04258782673189213,0.0,0.2439928389901058,0.3855498004780299,0.0,-0.02267940002811943,0.0,0.18189230040570173,0.14796307685166868,0.0,0.0,0.0,0.14188054339767273,-0.02372894989381256,0.0,-0.06442988463099233,-0.07761505257063328,-0.06263607679944924,0.18115886072321433,0.21269906691610138,0.2289237091285801,0.4742997516044252,0.0,-0.0730927619821535,-0.015134153492150079,-0.04819372505975381,-0.0550785429254327,0.20592346500327718,-0.048193725059753785,0.0,-0.07369304111765934,0.11318795347347163,-0.06950267964389072,0.125951140434429,0.14437062296423123,0.0,0.0,-0.06233666745211909,0.0,0.0,0.0,0.0,-0.024740864338335583,-0.0590306419765521,-0.013513513513513556,0.0,-0.06592234406540033,0.36593255376726685,0.0,0.20499139866912186,-0.01924144607210112,0.0,0.0,0.0,0.18954200081383382,-0.019850631321418535,0.9999999999999999,0.23494524269215114,0.24399283899010588,0.2137048369798623,0.0,-0.09757501996353642,0.0,0.0,-0.0887688660164305,0.1356767185315116,0.0,0.13429648272720873,0.1650174182814532,0.3855498004780299,0.5694947974514997,0.0,-0.01924144607210112,0.0,0.0,-0.0067227745291368185,0.0,0.12765464140476107,0.0,0.0,0.0,0.3251513039021263,0.0,-0.016606805534831386,0.0,0.0,-0.01924144607210112
Rv0042c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0047c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0067c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0078,0.7132495874710171,0.18263122244557983,0.0,0.0,0.0,0.0,1.0,0.0,0.6599743434164973,0.46396009707717917,0.0,0.6808666952367048,0.0,0.575562147443605,0.0,0.6063793257029763,0.4736903565224044,0.0,-0.08502803892391421,0.0,0.4932336002147451,0.7571579693181616,0.0,0.0,0.0,0.776869045159846,-0.12992822134168858,0.0,0.45422764900183815,0.833831241795536,0.19450089893317402,0.6681500508025551,0.8149223676516121,0.6884156735753204,0.3850544340952927,0.0,0.6367330131697168,-0.08286728462686446,0.34972104190559267,0.7443705602494919,0.7837539002150717,0.651324240218307,0.0,0.7762594067355255,0.6197623383219656,0.93930859164894,0.6896473601164212,0.7905035132054191,0.0,0.0,0.842462011717345,0.0,0.0,0.0,0.0,0.33436561808681586,0.7977820346384547,-0.07399344609621863,0.0,0.633685740051663,0.4990843819862293,0.0,0.7880271317921793,0.26004257251487106,0.0,0.0,0.0,0.6911045112002607,-0.10869242978063955,0.18263122244557983,0.7773352648169254,0.7485105841691799,0.495221075268974,0.0,0.6985503799148066,0.0,0.0,0.7191349829079933,0.7428999089788206,0.0,0.7353424071134699,0.8488520445125685,0.4736903565224044,0.3206898873578101,0.0,0.26004257251487106,0.0,0.0,-0.036810652850664725,0.0,0.6989749052509291,0.0,0.0,0.0,0.5616807321816972,0.0,0.2244361684849281,0.0,0.0,0.26004257251487106
Rv0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0117,0.47072642818327015,-0.04883377600447575,0.0,0.0,0.0,0.0,0.6599743434164973,0.0,1.0,0.2232554932551867,0.0,0.6520227678843517,0.0,0.5686337516026557,0.0,0.5210964211452968,0.21110016546037427,0.0,-0.032285907658645654,0.0,0.3487106264934224,0.5346940856411487,0.0,0.0,0.0,0.5127136379999687,-0.08574929257125433,0.0,0.4607066391716814,0.6291791912404465,0.1648707324157974,0.5006175128943342,0.6022602585123825,0.480401318286287,0.38155665928622096,0.0,0.6681068642117972,-0.05469028176232285,0.4459490995350418,0.7056776959675363,0.5805970438751973,0.6174679839715951,0.0,0.5078364888757261,0.4090272423083119,0.7026171689305276,0.45514956368175635,0.5217120370961794,0.0,0.0,0.5704496689393158,0.0,0.0,0.0,0.0,0.36908650261335657,0.6538313970900013,-0.048833776004475755,0.0,0.4144436873090705,0.5135811097228992,0.0,0.5776104933362631,-0.06953280259405166,0.0,0.0,0.0,0.5278496955514987,-0.07173421497882147,-0.04883377600447575,0.6728759512813389,0.5210964211452969,0.43867323368369987,0.0,0.5004741584754473,0.0,0.0,0.5501227873682301,0.49029487965247187,0.0,0.48530712232101847,0.5963233494483078,0.2786522184076943,-0.08574929257125433,0.0,-0.06953280259405166,0.0,0.0,-0.024294086445850155,0.0,0.4613055041575898,0.0,0.0,0.0,0.5860271099413512,0.0,-0.06001200360120035,0.0,0.0,-0.06953280259405166
Rv0135c,0.5292658970853147,0.22212617520709,0.0,0.0,0.0,0.0,0.4639600970771791,0.0,0.2232554932551867,1.0,0.0,0.3667600688255758,0.0,0.00923158494806732,0.0,0.3148482027203939,0.5761283624882773,0.0,-0.058929577729224414,0.0,0.5774731583751341,0.60766437958569,0.0,0.0,0.0,0.5808105552620834,-0.1068264461479601,0.0,0.4562594047435306,0.46757544862215833,0.4272267418370429,0.3871434715521691,0.379148513047343,0.5482375228973833,0.01210730152233204,0.0,0.22912635160708417,-0.06813313864536835,0.11559263323809413,0.23433064425137493,0.47217560950297083,0.31054052659599074,0.0,0.323149540109572,0.4527491750106264,0.43319281252956715,0.5100459296387336,0.5918137706891063,0.0,0.0,0.2745969189402355,0.0,0.0,0.0,0.0,0.40667392394260754,0.19651333077185165,-0.06083710531149584,0.0,0.3934044817068926,0.002460392499853099,0.0,0.46904100787019826,0.3162781327872479,0.0,0.0,0.0,0.7895873662725404,-0.08936646616686082,0.22212617520709,0.2922151759601947,0.4715670691815163,0.23722376754869376,0.0,0.49991289768061586,0.0,0.0,0.5591828882375414,0.5533328963367118,0.0,0.5472062604295406,0.6825817047550014,0.1944891924323487,0.3900407452379011,0.0,0.3162781327872479,0.0,0.0,-0.03026556650907576,0.0,0.5176486160107008,0.0,0.0,0.0,0.14563908147199756,0.0,0.27297165849364136,0.0,0.0,0.3162781327872479
