,0
Rv0494+Rv0602c+Rv3833,0.9233333333333332
Rv0195+Rv0302+Rv0767c+Rv1049+Rv3849+Rv3911,0.9166666666666666
Rv1719+Rv1773c,0.9166666666666666
Rv0023+Rv0042c+Rv0330c+Rv1990c,0.9116666666666666
Rv0067c+Rv3246c+Rv3249c,0.9066666666666666
Rv2488c+Rv3133c,0.9033333333333332
Rv1674c+Rv3416+Rv3417c,0.9
Rv1219c+Rv1657+Rv1675c+Rv2021c,0.8966666666666666
Rv0078+Rv0081+Rv0117+Rv0653c+Rv0967+Rv1176c+Rv1186c+Rv1404+Rv2827c+Rv3066+Rv3095+Rv3223c,0.8966666666666666
Rv0232+Rv2760c+Rv3167c,0.875
Rv1395+Rv1956,0.8716666666666667
Rv0022c+Rv0047c,0.8683333333333333
Rv0324+Rv3260c,0.8666666666666667
Rv3164c,0.8583333333333333
Rv3219,0.8466666666666667
Rv0135c+Rv0353+Rv1846c+Rv2250c,0.845
Rv3183,0.8433333333333334
Rv0894+Rv3082c,0.84
Rv0623+Rv1189+Rv1994c+Rv2069+Rv2745c,0.84
Rv0158+Rv1473A+Rv2506,0.83
Rv3124,0.8133333333333334
Rv1556+Rv3173c+Rv3830c,0.7983333333333333
Rv2011c+Rv2642+Rv3405c,0.7633333333333333
Rv1423,0.7466666666666667
Rv1359,0.7266666666666667
Rv0891c,0.715
Rv0827c+Rv3160c,0.675
Rv2017,0.6716666666666666
Rv3050c,0.6716666666666666
Rv1460,0.6183333333333333
Rv0238,0.59
Rv0445c+Rv0474+Rv2779c,0.55
Rv3557c,0.5
Rv3862c,0.5
Rv2595,0.5
Rv0981--Rv1332--Rv1828,0.5
Rv3676,0.5
Rv3291c,0.5
Rv0674,0.5
Rv2009,0.5
Rv3597c,0.5
Rv3855,0.5
Rv2359,0.5
Rv0054,0.5
Rv2034,0.5
Rv0880,0.5
Rv3414c,0.4983333333333334
Rv1379,0.4883333333333333
