feature1,Rv0053,Rv0054,Rv0055,Rv0156,Rv0252,Rv0278c,Rv0307c,Rv0335c,Rv0341,Rv0388c,Rv0430,Rv0493c,Rv0512,Rv0514,Rv0571c,Rv0572c,Rv0573c,Rv0574c,Rv0622,Rv0642c,Rv0685,Rv0708,Rv0732,Rv0733,Rv0839,Rv0840c,Rv0847,Rv0886,Rv0952,Rv0971c,Rv1005c,Rv1067c,Rv1168c,Rv1187,Rv1217c,Rv1348,Rv1349,Rv1460,Rv1518,Rv1620c,Rv1621c,Rv1652,Rv1697,Rv1734c,Rv1739c,Rv1773c,Rv1801,Rv1803c,Rv1808,Rv1815,Rv1870c,Rv1884c,Rv1997,Rv2004c,Rv2005c,Rv2006,Rv2009,Rv2010,Rv2029c,Rv2032,Rv2123,Rv2160A,Rv2160c,Rv2371,Rv2379c,Rv2381c,Rv2382c,Rv2383c,Rv2384,Rv2385,Rv2386c,Rv2557,Rv2558,Rv2623,Rv2624c,Rv2627c,Rv2628,Rv2633c,Rv2652c,Rv2664,Rv2730,Rv2971,Rv3065,Rv3092c,Rv3128c,Rv3133c,Rv3180c,Rv3246c,Rv3289c,Rv3320c,Rv3371,Rv3391,Rv3402c,Rv3433c,Rv3530c,Rv3636,Rv3662c,Rv3848,Rv3922c,Rv3923c
Rv0053,1.0,0.2962765179420227,0.32113388269799725,0.29101090169441124,0.34453959747416996,0.32756713081452643,0.25142702625618096,0.27320232554766055,0.2585926761260352,0.33817635531888063,0.24547802552738365,0.4156761638760158,0.3188549522198795,0.20132586527170565,0.27475853335619127,0.29616665970377165,0.37490501296985,0.2646343341282895,0.3896854207952934,0.33066321344202737,0.322516077711416,0.35334671143060103,0.28262355129747846,0.34868121883915576,0.33411180872902535,0.25139424011291484,0.24715835045555262,0.2739043531476642,0.2823407386932917,0.33663974762872506,0.3828022183173869,0.27247045405961384,0.1837130115770743,0.3494586632166927,0.4111636741638684,0.24852379443501474,0.28226985591636494,0.3812174188172937,0.3521703728703801,0.3712896498561318,0.4149119783100288,0.40876800539297564,0.33988501877752897,0.18320282974412197,0.2853681144143626,0.3093108880453403,0.35489821291396423,0.35764990052991885,0.28423480503758475,0.29041498701342905,0.33587628494808397,0.3186546876945314,0.2700185102164037,0.3107313524892385,0.29964152938084615,0.210462464212212,0.25691622413545034,0.2833711931285613,0.20251332757856613,0.18765037456961559,0.39023750822744524,0.3099279026489799,0.33111281545748,0.2564503020214061,0.26489771268498863,0.27612491770621334,0.319695246652714,0.3598175189793832,0.37296431284441167,0.2937774579339036,0.2903307815719497,0.24718255340338818,0.36276443699437366,0.19665315296750974,0.269863948944575,0.2698152096226261,0.24045622873252495,0.23860653349515057,0.29397509579560327,0.304315765549192,0.2849218233167265,0.24243803226055075,0.2812202025231469,0.35005562170411564,0.2839552779550668,0.1615279998114949,0.32870827847101286,0.3241887519041036,0.34162931313317924,0.40542766976381095,0.37274875422210096,0.31267131922623354,0.2889690090634426,0.2953444107550774,0.3606204148626425,0.35155517583170426,0.3878857733007206,0.34617673462138066,0.4071877772854669,0.4107212736601878
Rv0054,0.2962765179420227,1.0,0.27010846104461866,0.12489844067526655,0.2536971175176596,0.2622320848545451,0.2551494027282941,0.20479512049639081,0.20493014556889866,0.28989021029608697,0.21608963308780083,0.27232039905191546,0.25954076662478287,0.2546450872311919,0.1645342301690712,0.24315003003520863,0.30532162523181633,0.2549279227563243,0.26699577991890217,0.32763237306127707,0.1802788968689169,0.2341929044062258,0.19564957855905715,0.23712167804311324,0.1914163738298167,0.1566426781440127,0.24063076167748826,0.14759005745199935,0.21268832802247586,0.23556582471881393,0.26619141210951786,0.2209715852495996,0.18661737812384893,0.25654732553054177,0.26770936301082365,0.2564032876148855,0.2508654942883689,0.27507696294855455,0.2803472819185312,0.2798154808024447,0.28171307124795475,0.31149313319553606,0.2841795206421119,0.11888696943960077,0.221272390430364,0.28567443853594865,0.2723203990519154,0.2894049098639502,0.14900209206376538,0.3063940349560624,0.25954076662478304,0.31983073321013433,0.17602934825629446,0.2798154808024447,0.24519100642345057,0.16813675046254478,0.18664061068479806,0.23422782819475546,0.12230463859606923,0.12670833778577767,0.3141452272091773,0.26506825765456243,0.21792245039284466,0.14692393394974018,0.1931572668680633,0.2527426020820968,0.28213683727155614,0.2790295756545179,0.27808594730909536,0.18298086058589838,0.2143256609674365,0.20268613278810746,0.2764224222005658,0.1269014957585489,0.20186238577276236,0.20971193991116743,0.20121159704287175,0.13635223391612414,0.2250992492761614,0.2798508683471782,0.2081875592303545,0.18918722269169702,0.15642290417047744,0.2471177067216069,0.21233105559670287,0.06359536789476632,0.19076979758419152,0.2575016466076722,0.2445777502803368,0.28933857180182804,0.27011514572661094,0.17423521929040606,0.24988613719310046,0.277555497369637,0.2555500290761298,0.2013722639615707,0.2632740784161473,0.2546450872311918,0.31253331886352087,0.3146239359636266
Rv0055,0.32113388269799725,0.27010846104461866,1.0,0.15144806424198407,0.3008890931275766,0.35369442206759416,0.2729892323777374,0.2269084471991403,0.24421645192654887,0.32107690065484923,0.2063898387732732,0.2929703195731084,0.30276286133410435,0.2245451522863934,0.28884289908623534,0.2687685403632554,0.328228452165992,0.3111712274552638,0.35027051784505114,0.288588133696421,0.26878958515627005,0.27319374433643423,0.3452963054552861,0.36621370703323236,0.3049457603526142,0.3144686535693931,0.207618543466319,0.2837379334598486,0.15560103242215212,0.34677357930184677,0.2909070728816365,0.31025457941326434,0.13426178730266378,0.3042075089907516,0.28752592244715214,0.16028577822848028,0.2693777877872983,0.325794094448399,0.36579780226538894,0.32641398388023596,0.3286275856985327,0.3633670098098564,0.30846955402575327,0.19853405731289941,0.2820246486564702,0.19702849757507448,0.3176707239051915,0.33760036904422497,0.2637356856237199,0.18765826188452087,0.2743021325259163,0.34922879786472416,0.3192748375784642,0.29828697105126256,0.27115337887774243,0.23559583341467688,0.20931925596818943,0.24971836427347183,0.20262683710925958,0.25809026148470476,0.31890714614954896,0.3272522692908858,0.2722019800060872,0.26297248609605695,0.2642347137870936,0.28485543773484556,0.3060815712662965,0.29079293159461944,0.329301467138438,0.31650529139118555,0.2957058917511603,0.35184177470232625,0.3871410986708466,0.20814107434276702,0.28080450842449606,0.2734476227467808,0.21959408425196458,0.2890057447905468,0.24135847116939677,0.3019218481478379,0.2936161145879508,0.2583797647465432,0.3154048795130763,0.29323110864488633,0.2877368465708983,0.2102017574023751,0.22831977227858,0.27719171142953253,0.2747511953077598,0.3179868593596695,0.3200115902777458,0.3094055035888421,0.21799073946362138,0.20944178740134864,0.2099471494067225,0.3880459076824388,0.31204147837206153,0.2773503146959862,0.2633517146698645,0.2657949876484174
Rv0156,0.29101090169441124,0.12489844067526655,0.15144806424198407,0.9999999999999999,0.35083645875205904,0.17868417891498403,0.18001443080203336,0.16856611624890705,0.29009684295214294,0.23648598410656824,0.31137068954781344,0.31157965543454236,0.2985345587765167,0.2039510088829229,0.2648104561437918,0.2816429632801853,0.3231287949347542,0.19562674776757688,0.26879664448288465,0.21757797327317577,0.1917555375952166,0.2976403608928217,0.21105304159651123,0.28064638210863013,0.22100374654297125,0.15214953196767012,0.25807900736718226,0.23418828329932953,0.3626818988684021,0.22418087958049787,0.33229323607919503,0.21666120628429658,0.12641514367875054,0.3200147003663985,0.30562790567368314,0.24110087444276798,0.26447622811015614,0.34359965436149426,0.24146326526413378,0.25932275993861253,0.3236688438761927,0.27978141857923966,0.35859236661311206,0.2980958571094449,0.2653648847340693,0.1457420905770051,0.2805137370566524,0.30269097971696574,0.2549861453498832,0.2364685808140298,0.32985545672470395,0.1794066020101991,0.2713189755337056,0.30747287451607386,0.28424419270473894,0.24605092634002937,0.350836458752059,0.32643961183085,0.3026996895728688,0.24168229800675387,0.36245925279132524,0.2828120813900075,0.32563206677803813,0.2651687498948599,0.23384037179673112,0.24677691803567814,0.3047446253149174,0.3209780367306093,0.3166586861078181,0.24158088818762552,0.29954396696078756,0.2355573338744773,0.28845426872169694,0.3089149045366632,0.3184118175714741,0.2788313733329805,0.2452565317639212,0.2243906799284656,0.16838208019470952,0.18128447648853574,0.17024313165197824,0.1802101038969715,0.21967179883182328,0.3425729175823477,0.3026996895728688,0.26321252559178027,0.27610096530680683,0.30403358061768365,0.2949988110680903,0.38222376061394975,0.3509847936280463,0.22131842511310637,0.29766098291686516,0.21109605914195317,0.2052375092949421,0.17463569367873139,0.3285797705290494,0.3175919256095829,0.287937150406816,0.29059901323017384
Rv0252,0.34453959747416996,0.2536971175176596,0.3008890931275766,0.35083645875205904,1.0,0.27444669330943,0.3282787702043676,0.2947508878229706,0.3248931657996435,0.3430444098314557,0.322571481142123,0.4082426477377035,0.3809695515324028,0.28799351579770915,0.30570166901152596,0.3354182319702478,0.39485413018498433,0.318497372407518,0.34854412368870735,0.321413214822161,0.30007993284698775,0.3363270327689641,0.31265831669092026,0.3638545427146663,0.3338825730093835,0.30553179981449174,0.3638040802639551,0.27159680031051364,0.36313081936785646,0.34497960028275143,0.41774342391786123,0.36538200406014204,0.27587217915070816,0.46104958727694156,0.3417100259201387,0.27944713156772244,0.30121637878265534,0.43061371891040906,0.35607604517764263,0.35436857698281304,0.3917775375956491,0.36574228753992516,0.4505572319743799,0.2637896950831507,0.32580509675259123,0.2324738520410915,0.4014423815344103,0.4127804432355831,0.3992512662992163,0.30900411469656475,0.35697326904235954,0.30394589500269487,0.3231984635115901,0.34759288717434633,0.3391430322025571,0.2523029531044719,0.3269230769230783,0.3518713249549337,0.27006580106323,0.2677791818970846,0.4103694651363364,0.388032200597794,0.4039543741453667,0.371896084049936,0.2842761230000706,0.31879860412449385,0.35933679528441637,0.38235294117647095,0.3956901887287256,0.34297526079178847,0.3410952978389667,0.303394018206069,0.3855874605058641,0.27851489289376563,0.3532954792709797,0.3449796002827515,0.27479601973527634,0.31235134189701275,0.28797734376018236,0.3076540399290527,0.3098402190170032,0.24388200515446895,0.38937604509077905,0.42011477414205434,0.33157382829821297,0.247660538067939,0.4113918290065433,0.3645321116955129,0.354848977664053,0.443106535977248,0.46202860365654264,0.34414251459358075,0.3398878485718405,0.21601763635209673,0.29743513950073563,0.26156115557221005,0.43605972894422573,0.43385595607216665,0.35081640332778663,0.3546126446441113
Rv0278c,0.32756713081452643,0.2622320848545451,0.35369442206759416,0.17868417891498403,0.27444669330943,1.0,0.3631571916146544,0.2585263341366485,0.2259818383761186,0.409536223850285,0.16385701889885307,0.3265294116130386,0.31809306486561717,0.2014490445694109,0.32484215826844104,0.24225279328845623,0.31038675251942954,0.2856243751192498,0.3400294667042825,0.3090035253962454,0.2920908158585943,0.26321505290416364,0.3483476299556438,0.23665043487927429,0.19560259144275924,0.2717806987676961,0.2040785796304827,0.30230936355827887,0.18666799485902005,0.39765373027826983,0.32631168915687014,0.3883653435112108,0.13173874368862773,0.31239818632367394,0.3469905880576584,0.16960272361892664,0.2669074325744396,0.3390752132815124,0.3557262251201973,0.33066225147515116,0.3334159056077442,0.33263826721980894,0.2816663409072516,0.164334041797174,0.22832992685523587,0.1846340777719848,0.3502531787175009,0.3479086828518063,0.30622897747570854,0.20587168822115667,0.2805068748750508,0.3064228824953224,0.2921331085973008,0.26312502690914796,0.24518497614783685,0.18879271726301664,0.17634947754147448,0.2080186988945843,0.16918906519920443,0.22061174468185044,0.3241183485525843,0.32158599699117474,0.2781583426630352,0.3171660754372838,0.2148118123034421,0.26726288991420727,0.27873213150875564,0.30398861346023937,0.3098195436999534,0.31251175268473075,0.2647793044275405,0.3288936661890365,0.37493871106484217,0.17571844560718786,0.24736227604428906,0.2232638114561341,0.1808137706988707,0.18809951687682683,0.3145567344002873,0.3292726660117647,0.3244602187381938,0.26167787352199273,0.23246425885262545,0.28854450266060927,0.2509338826354054,0.21649655413572705,0.2546676387298565,0.2631250269091481,0.34350342471580614,0.31587447872264085,0.2983306237639332,0.27907606128706636,0.22158304722285807,0.23769672392331714,0.30693056221339005,0.3313014072183823,0.29178560051403857,0.30964591308604644,0.3140070728090088,0.3169879970780245
Rv0307c,0.25142702625618096,0.2551494027282941,0.2729892323777374,0.18001443080203336,0.3282787702043676,0.3631571916146544,1.0,0.2589680730833454,0.23981991749104817,0.38268268327503363,0.2256006802045125,0.3162935890111171,0.31218882438462114,0.2615706545253755,0.2630339506572948,0.2125184677468417,0.3145651537551066,0.22528072318915005,0.270478003821015,0.249389158274148,0.3215857612306853,0.2132215670609542,0.3054258832102999,0.2234580005337279,0.195972511049985,0.3317715957000526,0.31721145026044706,0.19382848784199783,0.2166802502671262,0.3369304959390777,0.36230276929857236,0.3810321957104165,0.25465547657774007,0.3661565638118417,0.2962005721445387,0.22896143116877224,0.2732987976397287,0.34738239003729954,0.3326037205885494,0.3063208457164487,0.2818170094707036,0.30615744025840774,0.31596544147596606,0.10856287103555538,0.19774159363931487,0.2290490328840039,0.3299269333650444,0.35348092259065933,0.3566359440833014,0.2854555157387398,0.25720785366195786,0.36692078305823567,0.23240380719090542,0.23500446256738647,0.21532939716440647,0.11627410428234786,0.18540096348329527,0.21891495667627212,0.11312240088695255,0.16547577994011714,0.32963375326767563,0.2858003061804251,0.2859712119761182,0.36728459467232805,0.21625571136975041,0.22870085161763246,0.28280433556296725,0.29085839225360915,0.3312406131037391,0.2975083089464753,0.20690628191087318,0.2667850604146136,0.3438994900376403,0.11924677061722337,0.1906087716837609,0.21214142336904923,0.17056035589017393,0.19437004046558404,0.24108754737443433,0.30151701250791757,0.27515269674462894,0.25023731503733565,0.28088831845409046,0.3158462411337665,0.1747788192356321,0.15730595276576279,0.3042276285045093,0.2553805720385471,0.33085967619242707,0.32301633014047865,0.33383173046093406,0.25618553437340835,0.28162321325592743,0.13171355498721254,0.33403106330195237,0.27129765089925034,0.3142799556846118,0.3635806595401463,0.3345516573071671,0.3374025602820377
Rv0335c,0.27320232554766055,0.20479512049639081,0.2269084471991403,0.16856611624890705,0.2947508878229706,0.2585263341366485,0.2589680730833454,1.0,0.22034922037126592,0.3546982920722622,0.13822832325075804,0.33010724869853475,0.3152309294027812,0.17075834869694295,0.19901919059336448,0.2178720344310227,0.34655921387793975,0.24289046474967294,0.28561846361073556,0.275269299570486,0.261443579556362,0.21537926192683046,0.2378914212430831,0.26823810319643937,0.24417781648158648,0.25008439795039356,0.20771940118496138,0.13071830651110183,0.18739938757162528,0.3192388422212532,0.34625467171895175,0.289486126055863,0.1971740982552994,0.3225113109408659,0.29968737201026846,0.15071422410138743,0.28052167529670435,0.3318266592439923,0.3044085588275892,0.22235883125719008,0.28600105116831237,0.31156171993877924,0.2740648177668181,0.09680494364545103,0.20363697573830727,0.23982524107943792,0.3538771438523863,0.36785983184203563,0.26475109866559743,0.1975316430942283,0.2707245171857575,0.2753628040149278,0.16890747639431608,0.2392759669280048,0.22076053488448574,0.12319598169086464,0.1693490152727607,0.2015904637217577,0.10146397111955774,0.10237501403257986,0.3158013124726735,0.21177868482375875,0.27073827673934897,0.2957176307741746,0.25674925412195515,0.21179359094949626,0.2644566338541861,0.2780306381496085,0.32933986516433666,0.2443217660063517,0.1956576000439967,0.13814216564928777,0.2995756802605401,0.10771963739467591,0.17904561394109564,0.19827261192199236,0.17421322420315652,0.23722750343473478,0.3260913661437873,0.384714476291035,0.28383674960391375,0.1686585800307057,0.29792437954798145,0.3159449037795234,0.18336773165106926,0.09420806126161427,0.3136763678987753,0.2764936654037972,0.24863040557249952,0.30820244319993395,0.2911341630480824,0.31079445213655305,0.19388088436579357,0.19781457599577312,0.2823628680197021,0.2718243963604112,0.2712535677673012,0.3299814890353285,0.26599398271693586,0.2689268808823369
Rv0341,0.2585926761260352,0.20493014556889866,0.24421645192654887,0.29009684295214294,0.3248931657996435,0.2259818383761186,0.23981991749104817,0.22034922037126592,1.0,0.26191233793806895,0.3336856570056548,0.26651325748433874,0.37533669287782734,0.33061290852163483,0.2527761492659407,0.3424267445639732,0.307069529551909,0.2633565580744561,0.2746570866454113,0.25832185461877044,0.2376569623973696,0.3369519435723338,0.2585284064187488,0.3204703305726976,0.2760781496064848,0.2614213197969538,0.38374292469057897,0.20740036634112072,0.24829263564548676,0.2501946021486052,0.32872013796943067,0.24900133830873253,0.2677371688449576,0.33143758006616914,0.28044309801315914,0.22562650181310304,0.24033702063060883,0.37337405848186733,0.25865259567430876,0.23462501254197174,0.3026712333336904,0.3207571564239228,0.3339247786906598,0.3055564711642361,0.3288559601023302,0.27429323170144443,0.28425557446580985,0.32388957132813073,0.3017775451924628,0.34735571645280405,0.37891428097795277,0.2691715148760713,0.26724375865951805,0.3725149385386092,0.33992341180650376,0.2571954131375264,0.3886440050190506,0.40131483756590475,0.2881595260313149,0.3087102338988377,0.33932301877480275,0.3292327531845348,0.38136415874748714,0.2537059410634903,0.20802612989791786,0.24316026091666704,0.2766992729384873,0.3161569396843929,0.32385989167465973,0.2813597017004948,0.2820421497836252,0.2508680174381362,0.3228055458526049,0.29828027330599804,0.2921301381570659,0.3520234306802705,0.3152241575429024,0.3639576423163413,0.2401027614156594,0.22396822036863204,0.24651184197281228,0.18700384599643605,0.26337789118103994,0.3629912996237114,0.26676242414375395,0.2741038106206523,0.28178062039565804,0.262910125566923,0.24841552376506332,0.3663923858874168,0.3516813881090636,0.2460410641514051,0.28104374379793035,0.15461372918926955,0.2223420498696301,0.22372376044173456,0.33266903188889546,0.32353264492763906,0.2879470981986467,0.28552402478390737
Rv0388c,0.33817635531888063,0.28989021029608697,0.32107690065484923,0.23648598410656824,0.3430444098314557,0.409536223850285,0.38268268327503363,0.3546982920722622,0.26191233793806895,1.0,0.21481347066099712,0.3674503558174463,0.3744196986443555,0.22011061195566547,0.2939369716927174,0.2875205054720004,0.3890442800605702,0.25371261039256354,0.3577948145131931,0.32449307745021605,0.27097733373845073,0.2718010220087089,0.31665158917578995,0.2891005467385205,0.25603168693785494,0.2822998124761691,0.25466101228542265,0.21599375777888383,0.25134351428069124,0.3649179775537795,0.3860547143775398,0.36330320214040923,0.19805853469816745,0.3710385711374317,0.360172408732135,0.2356273608381151,0.32511682804998915,0.3831611097308814,0.408531413686619,0.34565785630028545,0.34866296522721985,0.37862562117295767,0.32725302124604205,0.1789397019127969,0.2751588053606022,0.23688495176132127,0.391045198870793,0.40765554021310973,0.31998644798112924,0.25480657813498,0.3200459790578457,0.36545092640007726,0.2597378589671237,0.3053557354724246,0.290702353278491,0.19805853469816748,0.21856605255361483,0.2476109263099804,0.18421922079763434,0.1838249413504162,0.3734456328877422,0.33211752556609947,0.322836130614672,0.3415699867895684,0.26488346417740133,0.2765250544203284,0.32406720052815996,0.35672581486559624,0.3711484814882599,0.3180603011727368,0.2823902312020883,0.29818643035806414,0.3733184523717092,0.19131953233416468,0.26349572905282265,0.2715260144969352,0.22112354301797257,0.23514702286279685,0.33911539819777126,0.3739205851912877,0.3297965835720704,0.20234148827942422,0.30024989861639545,0.36307549938480577,0.26551980553777144,0.18372152024015628,0.31987435139045395,0.33222381602433176,0.362205163388796,0.36195293353323754,0.3419938445762099,0.32074990671470266,0.28087526793710704,0.20057327682557952,0.33679912284586455,0.30573029300346916,0.33460118445794124,0.3680728291437982,0.333557487873623,0.33679912284586455
