feature1,Rv0053,Rv0054,Rv0055,Rv0156,Rv0252,Rv0278c,Rv0307c,Rv0335c,Rv0341,Rv0388c,Rv0430,Rv0493c,Rv0512,Rv0514,Rv0571c,Rv0572c,Rv0573c,Rv0574c,Rv0622,Rv0642c,Rv0685,Rv0708,Rv0732,Rv0733,Rv0839,Rv0840c,Rv0847,Rv0886,Rv0952,Rv0971c,Rv1005c,Rv1067c,Rv1168c,Rv1187,Rv1217c,Rv1348,Rv1349,Rv1460,Rv1518,Rv1620c,Rv1621c,Rv1652,Rv1697,Rv1734c,Rv1739c,Rv1773c,Rv1801,Rv1803c,Rv1808,Rv1815,Rv1870c,Rv1884c,Rv1997,Rv2004c,Rv2005c,Rv2006,Rv2009,Rv2010,Rv2029c,Rv2032,Rv2123,Rv2160A,Rv2160c,Rv2371,Rv2379c,Rv2381c,Rv2382c,Rv2383c,Rv2384,Rv2385,Rv2386c,Rv2557,Rv2558,Rv2623,Rv2624c,Rv2627c,Rv2628,Rv2633c,Rv2652c,Rv2664,Rv2730,Rv2971,Rv3065,Rv3092c,Rv3128c,Rv3133c,Rv3180c,Rv3246c,Rv3289c,Rv3320c,Rv3371,Rv3391,Rv3402c,Rv3433c,Rv3530c,Rv3636,Rv3662c,Rv3848,Rv3922c,Rv3923c
Rv0053,0.0,-0.03666666666666668,-0.02250000000000002,-0.025000000000000022,0.022499999999999964,-0.041666666666666685,-0.015833333333333366,-0.025000000000000022,0.02749999999999997,0.0050000000000000044,-0.029166666666666674,0.006666666666666654,-0.003333333333333355,0.009166666666666656,-0.025833333333333375,-0.016666666666666663,0.0025000000000000022,-0.040000000000000036,0.0008333333333333526,-0.03583333333333333,-0.04750000000000004,0.0016666666666666496,-0.03583333333333333,0.0,-0.0050000000000000044,-0.040000000000000036,0.011666666666666659,-0.023333333333333373,-0.010833333333333361,-0.007500000000000007,0.007500000000000007,0.011666666666666659,-0.03333333333333338,0.020000000000000018,0.009999999999999953,-0.03083333333333338,0.03916666666666663,-0.009166666666666656,-0.0008333333333333526,-0.0050000000000000044,-0.010833333333333306,0.016666666666666663,-0.00833333333333336,-0.013333333333333364,-0.011666666666666659,-0.03500000000000003,0.021666666666666667,0.013333333333333308,-0.003333333333333355,-0.026666666666666672,-0.007500000000000007,-0.018333333333333368,0.043333333333333335,-0.004166666666666652,-0.02416666666666667,-0.012500000000000011,0.004166666666666707,0.006666666666666654,-0.02416666666666667,-0.012500000000000011,0.0,-0.00833333333333336,0.015833333333333366,0.0025000000000000022,0.018333333333333313,0.016666666666666663,0.01666666666666672,0.0,0.0050000000000000044,-0.0016666666666667052,0.0,-0.018333333333333368,0.0,-0.02416666666666667,0.008333333333333304,-0.011666666666666714,0.009166666666666656,-0.006666666666666654,-0.02083333333333337,-0.030000000000000027,-0.02416666666666667,-0.03583333333333333,0.0,0.02416666666666667,-0.012500000000000011,-0.04416666666666669,0.004166666666666652,0.02583333333333332,-0.01416666666666666,0.0,0.008333333333333304,0.0,0.0,-0.03083333333333338,-0.029166666666666674,-0.007500000000000007,-0.010833333333333306,0.021666666666666667,-0.009166666666666656,-0.012500000000000011
Rv0054,-0.03666666666666668,0.0,-0.008333333333333304,0.04916666666666669,-0.04416666666666669,-0.01416666666666666,-0.008333333333333304,-0.0016666666666666496,-0.03916666666666668,-0.03833333333333333,-0.0050000000000000044,-0.04083333333333333,-0.06916666666666665,-0.02833333333333332,0.05083333333333334,-0.10333333333333333,-0.0708333333333333,0.02833333333333332,-0.04999999999999999,-0.013333333333333308,-0.0016666666666666496,-0.044999999999999984,0.04250000000000004,-0.07916666666666666,0.03833333333333333,0.04999999999999999,-0.03583333333333333,-0.03166666666666662,-0.021666666666666667,-0.02416666666666667,-0.05499999999999999,-0.02999999999999997,-0.0025000000000000022,-0.046666666666666634,-0.03666666666666668,0.03666666666666668,-0.041666666666666685,-0.08416666666666667,-0.030833333333333324,-0.017500000000000016,-0.049166666666666636,-0.049166666666666636,-0.08583333333333337,0.04666666666666669,-0.05249999999999999,-0.015000000000000013,-0.04083333333333333,-0.055833333333333346,-0.013333333333333308,-0.06666666666666671,-0.06916666666666665,-0.028333333333333377,0.04916666666666669,-0.02999999999999997,-0.065,-0.041666666666666685,-0.06916666666666665,-0.06666666666666665,-0.00833333333333336,-0.03250000000000003,0.0,-0.02416666666666667,-0.043333333333333335,-0.01416666666666666,-0.04250000000000004,-0.05249999999999999,-0.08249999999999996,0.0,-0.065,0.03583333333333333,0.031666666666666676,0.043333333333333335,0.0,-0.010000000000000009,0.020833333333333315,-0.0591666666666667,-0.05083333333333334,-0.04583333333333334,-0.009166666666666656,-0.010000000000000009,-0.01416666666666666,-0.01583333333333331,-0.024999999999999967,-0.03833333333333333,-0.016666666666666663,0.06666666666666665,-0.034999999999999976,-0.04749999999999999,-0.012500000000000011,0.0,-0.05833333333333335,-0.034999999999999976,-0.0050000000000000044,-0.0016666666666666496,-0.013333333333333308,-0.012500000000000011,-0.05249999999999999,-0.044999999999999984,-0.03833333333333333,-0.03999999999999998
Rv0055,-0.02250000000000002,-0.008333333333333304,0.0,-0.013333333333333308,-0.03083333333333338,-0.005833333333333357,-0.02583333333333332,-0.03749999999999998,-0.025833333333333375,-0.03666666666666668,0.0,-0.026666666666666672,-0.07916666666666666,-0.033333333333333326,0.024999999999999967,0.0,-0.0675,-0.009166666666666656,-0.041666666666666685,-0.04833333333333334,-0.05499999999999999,-0.03666666666666668,-0.0016666666666666496,0.0,0.0,-0.034999999999999976,-0.04083333333333333,-0.05249999999999999,-0.07916666666666666,-0.023333333333333317,-0.06166666666666665,-0.022499999999999964,-0.048333333333333284,-0.033333333333333326,-0.02250000000000002,-0.010833333333333361,-0.021666666666666667,0.0,-0.02250000000000002,-0.009166666666666712,-0.06916666666666665,-0.05499999999999999,0.0,-0.003333333333333355,-0.04583333333333334,-0.05083333333333334,-0.03250000000000003,-0.0641666666666667,-0.02583333333333332,-0.003333333333333355,-0.05416666666666664,-0.00833333333333336,0.0016666666666667052,-0.030833333333333324,-0.004166666666666652,-0.053333333333333344,-0.06916666666666665,-0.06916666666666665,-0.053333333333333344,-0.004166666666666652,0.0,-0.04666666666666669,-0.04249999999999998,-0.027500000000000024,-0.05083333333333334,-0.05666666666666664,0.0,0.0,-0.0025000000000000022,0.0,0.0,0.0,0.0,-0.05833333333333335,-0.004166666666666707,-0.05250000000000005,-0.04250000000000004,-0.05249999999999999,-0.03833333333333333,-0.029166666666666674,-0.044999999999999984,-0.05499999999999999,-0.030833333333333324,-0.025000000000000022,-0.030833333333333324,-0.043333333333333335,-0.044999999999999984,-0.02749999999999997,-0.018333333333333368,0.0,-0.0025000000000000022,-0.03249999999999997,0.0,0.0,-0.03583333333333333,-0.004166666666666707,-0.06333333333333335,-0.02583333333333332,-0.04583333333333334,-0.06666666666666665
Rv0156,-0.025000000000000022,0.04916666666666669,-0.013333333333333308,0.0,-0.02083333333333337,0.0,-0.0058333333333333015,0.0,-0.015833333333333366,-0.015000000000000013,-0.0016666666666666496,-0.015833333333333366,-0.03833333333333333,-0.03249999999999997,0.030833333333333324,-0.065,-0.04583333333333334,0.04249999999999998,-0.031666666666666676,-0.05166666666666664,-0.0033333333333332993,-0.021666666666666667,-0.06416666666666665,-0.055833333333333346,-0.003333333333333355,-0.012500000000000011,-0.030833333333333324,-0.0058333333333333015,-0.017500000000000016,-0.0008333333333333526,-0.023333333333333317,-0.006666666666666654,0.0,-0.016666666666666663,-0.011666666666666714,-0.013333333333333308,0.0016666666666666496,-0.05083333333333334,-0.02833333333333332,-0.013333333333333308,-0.019166666666666665,-0.02583333333333332,-0.0016666666666667052,-0.05083333333333334,-0.06416666666666665,0.0,-0.015833333333333366,-0.016666666666666663,-0.0058333333333333015,-0.003333333333333355,-0.04583333333333334,-0.0708333333333333,0.021666666666666667,-0.04416666666666663,-0.06416666666666665,-0.04666666666666669,-0.030833333333333324,-0.043333333333333335,-0.05083333333333334,-0.06583333333333335,0.0,-0.03916666666666668,-0.02749999999999997,0.0,-0.040000000000000036,0.009166666666666656,0.009166666666666712,0.0,-0.03916666666666668,-0.01416666666666666,-0.004166666666666652,-0.020000000000000018,0.0,-0.053333333333333344,-0.04916666666666669,-0.04916666666666669,-0.03916666666666668,-0.0566666666666667,0.0,-0.004166666666666652,0.0,-0.0033333333333332993,-0.03833333333333333,-0.015000000000000013,-0.03916666666666668,-0.049166666666666636,-0.034999999999999976,-0.015000000000000013,-0.0025000000000000022,0.0,-0.04833333333333334,-0.04416666666666663,0.0,0.0,-0.004166666666666652,0.0,-0.020833333333333315,-0.015000000000000013,-0.033333333333333326,-0.033333333333333326
Rv0252,0.022499999999999964,-0.04416666666666669,-0.03083333333333338,-0.02083333333333337,0.0,-0.0008333333333333526,-0.02416666666666667,-0.020000000000000018,0.020833333333333315,0.014999999999999958,-0.01749999999999996,0.020833333333333315,-0.003333333333333355,-0.004166666666666707,-0.031666666666666676,-0.010000000000000009,0.01416666666666666,-0.015000000000000013,0.027500000000000024,-0.02250000000000002,-0.03083333333333338,0.020000000000000018,-0.03083333333333338,-0.0050000000000000044,-0.012500000000000011,-0.03333333333333338,-0.009166666666666712,-0.029166666666666674,-0.020000000000000018,0.0,0.015000000000000013,-0.025000000000000022,-0.0591666666666667,0.00833333333333336,0.034999999999999976,-0.01916666666666672,0.04749999999999999,0.0008333333333333526,0.007499999999999951,0.007499999999999951,0.02416666666666667,0.019166666666666665,0.0,-0.023333333333333373,-0.011666666666666659,-0.030000000000000027,0.022499999999999964,0.01583333333333331,-0.03250000000000003,-0.020000000000000018,0.0025000000000000022,-0.023333333333333373,-0.025000000000000022,-0.004166666666666652,-0.011666666666666659,-0.007500000000000007,0.0025000000000000022,0.0050000000000000044,-0.02250000000000002,-0.021666666666666667,0.0,-0.017500000000000016,0.007499999999999951,-0.03250000000000003,0.019999999999999962,0.023333333333333317,0.023333333333333373,0.0,0.01583333333333331,0.0025000000000000022,0.0,-0.025833333333333375,0.0,-0.02250000000000002,-0.007500000000000007,-0.019166666666666665,0.021666666666666612,-0.00833333333333336,-0.009166666666666712,-0.020000000000000018,-0.01916666666666672,-0.027500000000000024,-0.01666666666666672,0.016666666666666663,-0.007500000000000007,-0.04250000000000004,-0.00666666666666671,0.031666666666666676,-0.00833333333333336,0.0,0.0,0.0024999999999999467,0.0,-0.003333333333333355,0.004166666666666652,0.0,0.011666666666666659,0.015833333333333366,0.016666666666666663,0.016666666666666663
Rv0278c,-0.041666666666666685,-0.01416666666666666,-0.005833333333333357,0.0,-0.0008333333333333526,0.0,-0.015000000000000013,-0.030000000000000027,-0.0016666666666667052,-0.02250000000000002,-0.019999999999999962,-0.011666666666666659,-0.020000000000000018,-0.004166666666666652,0.0,-0.018333333333333368,0.0,0.0,-0.04083333333333333,-0.0008333333333333526,-0.012500000000000011,-0.01416666666666666,-0.0008333333333333526,0.0,0.0,-0.0050000000000000044,-0.016666666666666663,-0.0008333333333333526,-0.03833333333333333,0.0058333333333333015,0.0,0.0050000000000000044,-0.04249999999999998,-0.03749999999999998,-0.04083333333333333,0.0,0.0025000000000000022,0.0,-0.025000000000000022,0.013333333333333308,0.0,0.0,0.0,-0.02416666666666667,-0.05833333333333335,-0.050000000000000044,-0.017500000000000016,0.0,0.006666666666666654,-0.015833333333333366,-0.057499999999999996,0.0,0.03666666666666668,-0.02999999999999997,-0.020000000000000018,-0.03250000000000003,0.005833333333333357,0.00833333333333336,-0.04999999999999999,-0.01416666666666666,0.0,0.0,0.003333333333333355,0.005833333333333357,0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023333333333333373,-0.016666666666666663,-0.027500000000000024,-0.015833333333333366,-0.04583333333333334,-0.03583333333333333,-0.020833333333333315,-0.0016666666666666496,-0.010000000000000009,-0.03833333333333333,-0.0008333333333333526,-0.025000000000000022,-0.020000000000000018,-0.004166666666666652,0.0,-0.0050000000000000044,0.0,0.0,-0.03749999999999998,0.0,-0.023333333333333317,-0.02833333333333332,-0.029166666666666674,0.006666666666666654,-0.03416666666666668,-0.03666666666666668,0.0
Rv0307c,-0.015833333333333366,-0.008333333333333304,-0.02583333333333332,-0.0058333333333333015,-0.02416666666666667,-0.015000000000000013,0.0,-0.03999999999999998,-0.014166666666666716,-0.021666666666666667,0.0,-0.019166666666666665,-0.065,-0.011666666666666659,-0.012500000000000011,-0.0641666666666667,-0.049166666666666636,-0.01416666666666666,-0.02250000000000002,-0.034999999999999976,-0.020833333333333315,-0.011666666666666659,0.0,0.0,0.0,-0.015000000000000013,-0.017500000000000016,-0.0050000000000000044,-0.04999999999999999,-0.012500000000000011,0.0,-0.030833333333333324,-0.04166666666666663,-0.04999999999999999,-0.011666666666666714,0.0,-0.009166666666666712,0.0,-0.01416666666666666,0.009166666666666656,-0.01583333333333331,-0.050833333333333286,0.0,0.057499999999999996,-0.065,-0.023333333333333373,-0.02250000000000002,-0.050000000000000044,-0.012499999999999956,0.0,-0.03749999999999998,0.0,0.04250000000000004,-0.01583333333333331,-0.03833333333333333,-0.04416666666666669,-0.029166666666666674,-0.026666666666666672,-0.041666666666666685,0.0,0.0,-0.020000000000000018,-0.030833333333333324,-0.020833333333333315,-0.04583333333333334,-0.04749999999999999,0.0,0.0,0.0,0.0,-0.012500000000000011,0.0,0.0,-0.04666666666666669,-0.010833333333333361,-0.050000000000000044,-0.023333333333333373,-0.04999999999999999,-0.02250000000000002,-0.017500000000000016,-0.019166666666666665,-0.02583333333333332,-0.046666666666666634,-0.017500000000000016,-0.03583333333333333,-0.00833333333333336,-0.05083333333333334,-0.008333333333333304,-0.010833333333333361,0.0,-0.0008333333333333526,-0.04249999999999998,0.0,-0.030833333333333324,-0.008333333333333304,-0.02083333333333337,-0.04583333333333334,-0.033333333333333326,-0.007500000000000007,-0.031666666666666676
Rv0335c,-0.025000000000000022,-0.0016666666666666496,-0.03749999999999998,0.0,-0.020000000000000018,-0.030000000000000027,-0.03999999999999998,0.0,-0.014166666666666716,-0.044999999999999984,0.0,-0.026666666666666672,0.0,-0.02999999999999997,0.0,-0.06583333333333335,0.0,0.0,-0.02999999999999997,-0.033333333333333326,-0.02749999999999997,-0.016666666666666663,0.0,0.0,0.0,0.0,-0.031666666666666676,-0.060833333333333295,-0.04999999999999999,-0.03500000000000003,0.0,-0.02999999999999997,-0.033333333333333326,-0.04749999999999999,-0.016666666666666663,0.0,-0.015000000000000013,0.0,-0.04999999999999999,-0.004166666666666707,-0.04083333333333333,0.0,0.0,0.05833333333333335,-0.04833333333333334,-0.029166666666666674,-0.03250000000000003,0.0,-0.018333333333333313,0.0,-0.0625,0.0,0.05499999999999999,-0.03999999999999998,-0.06666666666666665,-0.04583333333333334,-0.04249999999999998,-0.026666666666666672,-0.04583333333333334,0.005833333333333357,0.0,-0.04749999999999999,-0.04166666666666663,-0.02833333333333332,-0.03500000000000003,-0.04583333333333334,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,-0.05500000000000005,-0.030000000000000027,-0.041666666666666685,-0.028333333333333377,-0.044999999999999984,-0.008333333333333304,-0.012500000000000011,-0.030000000000000027,-0.004166666666666652,-0.03749999999999998,-0.021666666666666667,-0.02749999999999997,0.0,-0.03749999999999998,-0.017500000000000016,-0.02416666666666667,0.0,0.0,-0.03833333333333333,0.0,0.0025000000000000022,-0.03583333333333333,-0.02083333333333337,-0.041666666666666685,-0.04749999999999999,-0.04666666666666669,-0.04833333333333334
Rv0341,0.02749999999999997,-0.03916666666666668,-0.025833333333333375,-0.015833333333333366,0.020833333333333315,-0.0016666666666667052,-0.014166666666666716,-0.014166666666666716,0.0,0.020833333333333315,0.0,0.03583333333333333,0.015000000000000013,0.008333333333333304,-0.029166666666666674,0.008333333333333304,0.015833333333333366,-0.010000000000000009,0.025000000000000022,-0.017500000000000016,-0.025833333333333375,0.03416666666666668,-0.025833333333333375,0.0,-0.007500000000000007,-0.030000000000000027,0.008333333333333304,-0.00666666666666671,-0.003333333333333355,0.009166666666666656,0.01583333333333331,0.013333333333333308,-0.018333333333333368,0.018333333333333368,0.03166666666666662,-0.014166666666666716,0.04166666666666663,0.0,0.016666666666666663,0.019166666666666665,0.02416666666666667,0.010833333333333361,0.009166666666666656,-0.003333333333333355,0.00833333333333336,-0.012500000000000011,0.031666666666666676,0.016666666666666663,-0.012500000000000011,0.0,0.01416666666666666,-0.017500000000000016,-0.00666666666666671,0.00833333333333336,0.008333333333333304,0.01749999999999996,0.005833333333333357,0.010000000000000009,0.0025000000000000022,-0.0008333333333333526,0.0,-0.015000000000000013,-0.0016666666666667052,-0.0016666666666667052,0.030833333333333324,0.023333333333333317,0.023333333333333373,0.0,0.013333333333333308,0.0,0.0,-0.02083333333333337,0.0,0.0,-0.0025000000000000022,0.0,0.02833333333333332,0.0,-0.010000000000000009,-0.010833333333333361,-0.014166666666666716,-0.019166666666666665,0.0016666666666666496,0.013333333333333308,-0.0025000000000000022,-0.017500000000000016,0.011666666666666659,0.03416666666666668,0.0025000000000000022,0.0,0.009166666666666656,0.01416666666666666,0.0,-0.0008333333333333526,0.007499999999999951,-0.003333333333333355,0.01583333333333331,0.020833333333333315,0.01749999999999996,0.018333333333333368
Rv0388c,0.0050000000000000044,-0.03833333333333333,-0.03666666666666668,-0.015000000000000013,0.014999999999999958,-0.02250000000000002,-0.021666666666666667,-0.044999999999999984,0.020833333333333315,0.0,-0.019999999999999962,0.010833333333333306,-0.03833333333333333,-0.0050000000000000044,-0.006666666666666654,-0.015833333333333366,-0.0016666666666666496,-0.009166666666666656,0.0,-0.031666666666666676,-0.04999999999999999,0.015000000000000013,-0.025000000000000022,0.0,-0.006666666666666654,-0.030000000000000027,0.0008333333333333526,-0.055833333333333346,-0.03666666666666668,-0.012500000000000011,0.0016666666666666496,-0.00833333333333336,-0.04999999999999999,-0.019166666666666665,0.013333333333333308,-0.019166666666666665,0.020833333333333315,0.0,0.004166666666666652,0.021666666666666667,-0.018333333333333313,-0.0025000000000000022,0.0033333333333332993,0.03666666666666668,-0.03999999999999998,-0.03833333333333333,0.0050000000000000044,-0.017500000000000016,-0.00833333333333336,-0.015833333333333366,-0.010833333333333306,-0.018333333333333313,0.053333333333333344,-0.008333333333333304,-0.03999999999999998,-0.020833333333333315,-0.014999999999999958,-0.012500000000000011,-0.030833333333333324,-0.01416666666666666,0.0,-0.018333333333333313,-0.012500000000000011,-0.016666666666666663,-0.020000000000000018,-0.019166666666666665,0.0025000000000000022,0.0,0.0025000000000000022,0.0,-0.010833333333333306,-0.020000000000000018,0.0,-0.040000000000000036,-0.0008333333333333526,-0.040000000000000036,0.006666666666666654,-0.029166666666666674,-0.029166666666666674,-0.027500000000000024,-0.03833333333333333,-0.05499999999999999,-0.019166666666666665,0.013333333333333308,-0.020833333333333315,-0.03666666666666668,-0.023333333333333317,0.015833333333333366,0.0,0.0,0.0,-0.015000000000000013,0.0,-0.02250000000000002,-0.02583333333333332,-0.033333333333333326,-0.01416666666666666,0.00833333333333336,-0.0016666666666666496,-0.020833333333333315
