feature1,Rv0096,Rv0124,Rv0160c,Rv0193c,Rv0278c,Rv0325,Rv0358,Rv0388c,Rv0395,Rv0396,Rv0417,Rv0453,Rv0467,Rv0516c,Rv0532,Rv0573c,Rv0592,Rv0601c,Rv0602c,Rv0603,Rv0620,Rv0630c,Rv0649,Rv0650,Rv0661c,Rv0689c,Rv0746,Rv0767c,Rv0832,Rv0915c,Rv0976c,Rv0977,Rv1004c,Rv1034c,Rv1035c,Rv1040c,Rv1050,Rv1087,Rv1134,Rv1135c,Rv1221,Rv1226c,Rv1325c,Rv1450c,Rv1452c,Rv1537,Rv1552,Rv1563c,Rv1569,Rv1662,Rv1759c,Rv1801,Rv1803c,Rv1871c--Rv1872c,Rv2039c,Rv2098c,Rv2236c,Rv2249c,Rv2264c,Rv2309A,Rv2331,Rv2371,Rv2487c,Rv2490c,Rv2491,Rv2529,Rv2654c,Rv2667,Rv2739c,Rv2807,Rv2812,Rv2813,Rv2833c,Rv2930,Rv2943,Rv2974c,Rv3018A,Rv3022A,Rv3111,Rv3166c,Rv3293,Rv3296,Rv3312A,Rv3315c,Rv3333c,Rv3344c,Rv3345c,Rv3350c,Rv3388,Rv3394c,Rv3446c,Rv3467,Rv3511,Rv3561,Rv3590c,Rv3655c,Rv3656c,Rv3658c,Rv3903c,Rvnt05
Rv0096,1.0,0.4433084617067347,0.4686614977482704,0.4417590632165417,0.4433084617067347,0.42343281025615953,0.49133843643319464,0.4433084617067347,0.47574145317065963,0.4325937518742148,0.484469674467109,0.4738540463165938,0.4239959239157791,0.3679517680148874,0.4311201147143692,0.4913384364331946,0.484469674467109,0.4738540463165937,0.484469674467109,0.4433084617067347,0.4479954535488264,0.484469674467109,0.4433084617067347,0.4433084617067347,0.442219323859559,0.4808653759094351,0.438679256020244,0.4686614977482704,0.484469674467109,0.4433084617067347,0.484469674467109,0.47912255261243136,0.4433084617067347,0.484469674467109,0.4433084617067347,0.4808653759094351,0.49133843643319464,0.438679256020244,0.43580786995462456,0.4433084617067347,0.39423738541148706,0.484469674467109,0.4249580229373743,0.4433084617067347,0.4433084617067347,0.4467015929036839,0.4808653759094351,0.4467015929036839,0.4738540463165938,0.4686614977482704,0.438679256020244,0.4686614977482704,0.4686614977482704,0.4041769607368341,0.43108743941950467,0.438679256020244,0.4738540463165938,0.484469674467109,0.484469674467109,0.49133843643319464,0.4339465151085284,0.47912255261243136,0.4433084617067347,0.438679256020244,0.37902809231044887,0.484469674467109,0.43580786995462456,0.44918417253288756,0.484469674467109,0.4913384364331946,0.484469674467109,0.4738540463165937,0.484469674467109,0.4173912538938649,0.484469674467109,0.4738540463165938,0.4371487140597387,0.4371487140597387,0.4371487140597387,0.484469674467109,0.484469674467109,0.484469674467109,0.36117085491188816,0.39474829699558384,0.4913384364331946,0.4325937518742148,0.438679256020244,0.484469674467109,0.438679256020244,0.4738540463165937,0.49133843643319464,0.4738540463165938,0.4311201147143692,0.484469674467109,0.4433084617067347,0.4808653759094351,0.49133843643319464,0.484469674467109,0.484469674467109,0.42957027271732107
Rv0124,0.4433084617067347,1.0,0.46048119794350195,0.4305846751437562,0.5,0.4797526051583483,0.45250422360888876,0.5,0.46692150692915135,0.4883151030504153,0.44617835213182616,0.4556854981679961,0.38459560649484714,0.3691437281005498,0.4881408092978968,0.45250422360888876,0.44617835213182616,0.4556854981679961,0.44617835213182616,0.5,0.49493754678175833,0.4461783521318262,0.5,0.5,0.4700516039730874,0.46208626345278037,0.49495049896668997,0.46048119794350195,0.44617835213182616,0.5,0.4461783521318262,0.4509182282736487,0.5,0.44617835213182616,0.5,0.46208626345278037,0.45250422360888876,0.49495049896668997,0.49325842148201804,0.5,0.35558936234915517,0.4461783521318262,0.4814164759802474,0.5,0.5,0.4850378201093136,0.46208626345278037,0.4850378201093136,0.4556854981679961,0.46048119794350195,0.49495049896668997,0.46048119794350195,0.46048119794350195,0.38670153685945635,0.48667315118210935,0.49495049896668997,0.4556854981679961,0.44617835213182616,0.4461783521318262,0.45250422360888876,0.4636946437541752,0.4509182282736487,0.5,0.49495049896668997,0.4300578924698668,0.4461783521318262,0.49325842148201804,0.41368173173041056,0.44617835213182616,0.45250422360888876,0.4461783521318262,0.4556854981679961,0.44617835213182616,0.44276787036762366,0.44617835213182616,0.4556854981679961,0.4932813715772516,0.4932813715772516,0.4932813715772516,0.4461783521318262,0.44617835213182616,0.44617835213182616,0.3861640195571768,0.42862585786186175,0.45250422360888876,0.4883151030504153,0.49495049896668997,0.44617835213182616,0.49495049896668997,0.4556854981679961,0.45250422360888876,0.4556854981679961,0.4881408092978968,0.44617835213182616,0.5,0.46208626345278037,0.45250422360888876,0.44617835213182616,0.44617835213182616,0.48644925245042686
Rv0160c,0.4686614977482704,0.46048119794350195,1.0,0.45892453208747935,0.46048119794350195,0.4542935938142127,0.4773577823720694,0.46048119794350195,0.493103435063414,0.44971984725311936,0.484469674467109,0.4947927300865672,0.4239959239157791,0.33714554848435335,0.4620444873327585,0.4773577823720694,0.484469674467109,0.49479273008656727,0.484469674467109,0.46048119794350195,0.4548737583194014,0.484469674467109,0.46048119794350195,0.46048119794350195,0.431960072648712,0.48782452170517693,0.45583079737383103,0.5,0.484469674467109,0.46048119794350195,0.484469674467109,0.48961632992556253,0.46048119794350195,0.484469674467109,0.46048119794350195,0.48782452170517693,0.4773577823720694,0.45583079737383103,0.4667747958159194,0.46048119794350195,0.3942373854114871,0.484469674467109,0.455830797373831,0.46048119794350195,0.46048119794350195,0.4467015929036839,0.48782452170517693,0.4467015929036839,0.4947927300865672,0.5,0.45583079737383103,0.5,0.5,0.4250844679738461,0.44820767132655404,0.45583079737383103,0.4947927300865672,0.484469674467109,0.484469674467109,0.4773577823720694,0.43394651510852833,0.48961632992556253,0.46048119794350195,0.45583079737383103,0.3960671470191631,0.484469674467109,0.4667747958159194,0.44918417253288756,0.484469674467109,0.4773577823720694,0.484469674467109,0.49479273008656727,0.484469674467109,0.41739125389386494,0.484469674467109,0.4947927300865672,0.4542935938142127,0.4542935938142127,0.4542935938142127,0.484469674467109,0.484469674467109,0.484469674467109,0.3475065309982029,0.3947482969955839,0.4773577823720694,0.44971984725311936,0.45583079737383103,0.484469674467109,0.45583079737383103,0.49479273008656727,0.4773577823720694,0.4947927300865672,0.4620444873327585,0.484469674467109,0.46048119794350195,0.48782452170517693,0.4773577823720694,0.484469674467109,0.484469674467109,0.4604811979435019
Rv0193c,0.4417590632165417,0.4305846751437562,0.45892453208747935,1.0,0.4305846751437562,0.4104355681705795,0.4509745240733966,0.4305846751437562,0.46534306948040366,0.41905328030414396,0.44467003733078514,0.45414504427052754,0.38303280011371366,0.2996413461226913,0.4187060431940996,0.4509745240733966,0.44467003733078514,0.45414504427052754,0.44467003733078514,0.43058467514375615,0.42544852796995086,0.44467003733078514,0.4305846751437562,0.4305846751437562,0.4008796658205844,0.4605241716408544,0.4256058130691834,0.45892453208747935,0.44467003733078514,0.43058467514375615,0.44467003733078514,0.4493938902269567,0.4305846751437562,0.44467003733078514,0.43058467514375615,0.4605241716408544,0.4509745240733966,0.4256058130691834,0.42374319067371724,0.4305846751437562,0.3540532531614432,0.44467003733078514,0.41207751757397054,0.4305846751437562,0.4305846751437562,0.4158126216810056,0.4605241716408544,0.4158126216810056,0.45414504427052754,0.45892453208747935,0.4256058130691834,0.45892453208747935,0.45892453208747935,0.457328156956134,0.41743003925857863,0.4256058130691834,0.45414504427052754,0.44467003733078514,0.44467003733078514,0.4509745240733966,0.3935622609556053,0.4493938902269567,0.4305846751437562,0.4256058130691834,0.4315166430715723,0.44467003733078514,0.42374319067371724,0.4122832724015169,0.44467003733078514,0.4509745240733966,0.44467003733078514,0.45414504427052754,0.44467003733078514,0.37354333881085106,0.44467003733078514,0.45414504427052754,0.42395860932279095,0.42395860932279095,0.42395860932279095,0.44467003733078514,0.44467003733078514,0.44467003733078514,0.3170791370331208,0.43007975102139073,0.45097452407339655,0.41905328030414396,0.4256058130691834,0.44467003733078514,0.4256058130691834,0.45414504427052754,0.4509745240733966,0.45414504427052754,0.4187060431940996,0.44467003733078514,0.4305846751437562,0.4605241716408544,0.4509745240733966,0.44467003733078514,0.44467003733078514,0.4170396621631153
Rv0278c,0.4433084617067347,0.5,0.46048119794350195,0.4305846751437562,1.0,0.4797526051583483,0.45250422360888876,0.5,0.46692150692915135,0.4883151030504153,0.44617835213182616,0.4556854981679961,0.38459560649484714,0.3691437281005498,0.4881408092978968,0.45250422360888876,0.44617835213182616,0.4556854981679961,0.44617835213182616,0.5,0.49493754678175833,0.4461783521318262,0.5,0.5,0.4700516039730874,0.46208626345278037,0.49495049896668997,0.46048119794350195,0.44617835213182616,0.5,0.4461783521318262,0.4509182282736487,0.5,0.44617835213182616,0.5,0.46208626345278037,0.45250422360888876,0.49495049896668997,0.49325842148201804,0.5,0.35558936234915517,0.44617835213182616,0.4814164759802474,0.5,0.5,0.4850378201093136,0.46208626345278037,0.4850378201093136,0.4556854981679961,0.46048119794350195,0.49495049896668997,0.46048119794350195,0.46048119794350195,0.38670153685945635,0.48667315118210935,0.49495049896668997,0.4556854981679961,0.44617835213182616,0.4461783521318262,0.45250422360888876,0.4636946437541752,0.4509182282736487,0.5,0.49495049896668997,0.4300578924698668,0.4461783521318262,0.49325842148201804,0.41368173173041056,0.44617835213182616,0.45250422360888876,0.4461783521318262,0.4556854981679961,0.44617835213182616,0.44276787036762366,0.44617835213182616,0.4556854981679961,0.4932813715772516,0.4932813715772516,0.4932813715772516,0.4461783521318262,0.44617835213182616,0.44617835213182616,0.3861640195571768,0.42862585786186175,0.45250422360888876,0.4883151030504153,0.49495049896668997,0.44617835213182616,0.49495049896668997,0.4556854981679961,0.45250422360888876,0.4556854981679961,0.4881408092978968,0.44617835213182616,0.5,0.46208626345278037,0.45250422360888876,0.44617835213182616,0.44617835213182616,0.48644925245042686
Rv0325,0.42343281025615953,0.4797526051583483,0.4542935938142127,0.4104355681705795,0.4797526051583483,1.0,0.4326562727374771,0.4797526051583483,0.4469695076325364,0.48147406700444373,0.44018293901533145,0.44956233508834387,0.378378263691905,0.34766884210584326,0.48146140581986696,0.4326562727374771,0.44018293901533145,0.4495623350883439,0.44018293901533145,0.4797526051583483,0.4747400376722269,0.44018293901533145,0.4797526051583483,0.4797526051583483,0.46313759741592714,0.4421709680778499,0.4746677233946326,0.4542935938142127,0.44018293901533145,0.4797526051583483,0.44018293901533145,0.44485912422401874,0.4797526051583483,0.44018293901533145,0.4797526051583483,0.4421709680778499,0.4326562727374771,0.4746677233946326,0.48663038138135883,0.4797526051583483,0.3494766902957617,0.44018293901533145,0.47466772339463253,0.4797526051583483,0.4797526051583483,0.4781612291470896,0.4421709680778499,0.4781612291470896,0.44956233508834387,0.4542935938142127,0.4746677233946326,0.4542935938142127,0.4542935938142127,0.38065253858520076,0.47981437057061244,0.4746677233946326,0.44956233508834387,0.44018293901533145,0.44018293901533145,0.4326562727374771,0.4574638597281709,0.44485912422401874,0.4797526051583483,0.4746677233946326,0.4224919482070926,0.44018293901533145,0.48663038138135883,0.4081229840488605,0.44018293901533145,0.4326562727374771,0.44018293901533145,0.4495623350883439,0.44018293901533145,0.43598031001250986,0.44018293901533145,0.44956233508834387,0.48649317905542305,0.48649317905542305,0.48649317905542305,0.44018293901533145,0.44018293901533145,0.44018293901533145,0.3658469563790573,0.43446386034338297,0.4326562727374771,0.48147406700444373,0.4746677233946326,0.44018293901533145,0.4746677233946326,0.4495623350883439,0.4326562727374771,0.44956233508834387,0.48146140581986696,0.44018293901533145,0.4797526051583483,0.4421709680778499,0.4326562727374771,0.44018293901533145,0.44018293901533145,0.4932813715772516
Rv0358,0.49133843643319464,0.45250422360888876,0.4773577823720694,0.4509745240733966,0.45250422360888876,0.4326562727374771,1.0,0.45250422360888876,0.4845613415677925,0.44192929316464696,0.4930101520085147,0.4824976831955147,0.4327188029877261,0.36157769275853063,0.440244528350017,0.5,0.4930101520085147,0.4824976831955147,0.4930101520085147,0.45250422360888876,0.4571326489081461,0.4930101520085147,0.45250422360888876,0.45250422360888876,0.4345587022914027,0.4896317629393587,0.4479343825195106,0.4773577823720694,0.4930101520085147,0.45250422360888876,0.4930101520085147,0.48771425566149856,0.45250422360888876,0.4930101520085147,0.45250422360888876,0.4896317629393587,0.5,0.4479343825195106,0.44487390935189636,0.45250422360888876,0.40277482901012346,0.4930101520085147,0.4341614977837881,0.45250422360888876,0.45250422360888876,0.43896332441902786,0.4896317629393587,0.43896332441902786,0.4824976831955147,0.4773577823720694,0.4479343825195106,0.4773577823720694,0.4773577823720694,0.412606389073712,0.44044331285390614,0.4479343825195106,0.4824976831955147,0.4930101520085147,0.4930101520085147,0.5,0.4425604952067118,0.48771425566149856,0.45250422360888876,0.4479343825195106,0.38920602547790556,0.4930101520085147,0.44487390935189636,0.4571026193204847,0.4930101520085147,0.5,0.4930101520085147,0.4824976831955147,0.4930101520085147,0.42669556996342134,0.4930101520085147,0.4824976831955147,0.4464238081325865,0.4464238081325865,0.4464238081325865,0.4930101520085147,0.4930101520085147,0.4930101520085147,0.3704741435937506,0.3879100220609542,0.5,0.44192929316464696,0.4479343825195106,0.4930101520085147,0.4479343825195106,0.4824976831955147,0.5,0.4824976831955147,0.440244528350017,0.4930101520085147,0.45250422360888876,0.4896317629393587,0.5,0.4930101520085147,0.4930101520085147,0.4387143191384956
Rv0388c,0.4433084617067347,0.5,0.46048119794350195,0.4305846751437562,0.5,0.4797526051583483,0.45250422360888876,1.0,0.46692150692915135,0.4883151030504153,0.44617835213182616,0.4556854981679961,0.38459560649484714,0.3691437281005498,0.4881408092978968,0.45250422360888876,0.44617835213182616,0.4556854981679961,0.44617835213182616,0.5,0.49493754678175833,0.4461783521318262,0.5,0.5,0.4700516039730874,0.46208626345278037,0.49495049896668997,0.46048119794350195,0.44617835213182616,0.5,0.4461783521318262,0.4509182282736487,0.5,0.44617835213182616,0.5,0.46208626345278037,0.45250422360888876,0.49495049896668997,0.49325842148201804,0.5,0.35558936234915517,0.4461783521318262,0.4814164759802474,0.5,0.5,0.4850378201093136,0.46208626345278037,0.4850378201093136,0.4556854981679961,0.46048119794350195,0.49495049896668997,0.46048119794350195,0.46048119794350195,0.38670153685945635,0.48667315118210935,0.49495049896668997,0.4556854981679961,0.44617835213182616,0.4461783521318262,0.45250422360888876,0.4636946437541752,0.4509182282736487,0.5,0.49495049896668997,0.4300578924698668,0.4461783521318262,0.49325842148201804,0.41368173173041056,0.44617835213182616,0.45250422360888876,0.4461783521318262,0.4556854981679961,0.44617835213182616,0.44276787036762366,0.44617835213182616,0.4556854981679961,0.4932813715772516,0.4932813715772516,0.4932813715772516,0.4461783521318262,0.44617835213182616,0.44617835213182616,0.3861640195571768,0.42862585786186175,0.45250422360888876,0.4883151030504153,0.49495049896668997,0.44617835213182616,0.49495049896668997,0.4556854981679961,0.45250422360888876,0.4556854981679961,0.4881408092978968,0.44617835213182616,0.5,0.46208626345278037,0.45250422360888876,0.44617835213182616,0.44617835213182616,0.48644925245042686
Rv0395,0.47574145317065963,0.46692150692915135,0.493103435063414,0.46534306948040366,0.46692150692915135,0.4469695076325364,0.4845613415677925,0.46692150692915135,1.0,0.4560096475451302,0.4777873213275719,0.4879679897001819,0.41715542814055895,0.34237719531621136,0.4548006220621313,0.48456134156779246,0.4777873213275719,0.4879679897001819,0.4777873213275719,0.46692150692915135,0.4614085630358634,0.4777873213275719,0.46692150692915135,0.46692150692915135,0.43817343007691617,0.49482220950993006,0.462206065665726,0.49310343506341403,0.4777873213275719,0.46692150692915135,0.4777873213275719,0.4828629882988748,0.46692150692915135,0.4777873213275719,0.46692150692915135,0.49482220950993006,0.4845613415677925,0.462206065665726,0.45957822874654336,0.46692150692915135,0.3875377899128523,0.4777873213275719,0.44852289608884494,0.46692150692915135,0.46692150692915135,0.45294917976614396,0.49482220950993006,0.45294917976614396,0.4879679897001819,0.49310343506341403,0.462206065665726,0.49310343506341403,0.49310343506341403,0.4184148881138661,0.45447632226382056,0.46220606566572603,0.4879679897001819,0.4777873213275719,0.4777873213275719,0.48456134156779246,0.42719473838814814,0.4828629882988748,0.46692150692915135,0.462206065665726,0.40160655843761034,0.4777873213275719,0.45957822874654336,0.44298851690416946,0.4777873213275719,0.48456134156779246,0.4777873213275719,0.4879679897001819,0.4777873213275719,0.41008719987892445,0.4777873213275719,0.4879679897001819,0.4606473627138603,0.4606473627138603,0.4606473627138603,0.4777873213275719,0.4777873213275719,0.4777873213275719,0.3538553719584404,0.40026926292332354,0.48456134156779246,0.4560096475451302,0.462206065665726,0.4777873213275719,0.462206065665726,0.4879679897001819,0.4845613415677925,0.4879679897001819,0.4548006220621313,0.4777873213275719,0.46692150692915135,0.49482220950993006,0.4845613415677925,0.4777873213275719,0.4777873213275719,0.45322142848240643
Rv0396,0.4325937518742148,0.4883151030504153,0.44971984725311936,0.41905328030414396,0.4883151030504153,0.48147406700444373,0.44192929316464696,0.4883151030504153,0.4560096475451302,1.0,0.43575125600023595,0.44503622199297016,0.3737731910624128,0.35521731081368463,0.48666292920105597,0.44192929316464696,0.43575125600023595,0.44503622199297016,0.43575125600023595,0.4883151030504153,0.4833709583205084,0.43575125600023595,0.4883151030504153,0.4883151030504153,0.45802158681813504,0.4512874027122517,0.49329690955951405,0.44971984725311936,0.43575125600023595,0.4883151030504153,0.43575125600023595,0.4403803622135154,0.4883151030504153,0.43575125600023595,0.4883151030504153,0.4512874027122517,0.44192929316464696,0.49329690955951405,0.48173107383295277,0.4883151030504153,0.3449464496815917,0.43575125600023595,0.46967669613934704,0.4883151030504153,0.4883151030504153,0.47307500148350645,0.4512874027122517,0.47307500148350645,0.44503622199297016,0.44971984725311936,0.49329690955951405,0.44971984725311936,0.44971984725311936,0.3761736535347324,0.4882142882746304,0.49329690955951405,0.44503622199297016,0.43575125600023595,0.43575125600023595,0.44192929316464696,0.4528581954974911,0.4403803622135154,0.4883151030504153,0.49329690955951405,0.43029219377238853,0.43575125600023595,0.48173107383295277,0.4040140749200199,0.43575125600023595,0.44192929316464696,0.43575125600023595,0.44503622199297016,0.43575125600023595,0.43095562735245974,0.43575125600023595,0.44503622199297016,0.49496608952517634,0.49496608952517634,0.49496608952517634,0.43575125600023595,0.43575125600023595,0.43575125600023595,0.37421656312451457,0.4288250533861044,0.44192929316464696,0.5,0.49329690955951405,0.43575125600023595,0.49329690955951405,0.44503622199297016,0.44192929316464696,0.44503622199297016,0.48666292920105597,0.43575125600023595,0.4883151030504153,0.4512874027122517,0.44192929316464696,0.43575125600023595,0.43575125600023595,0.4883151030504152
