,0
Rv1131,0.5
Rv1927,0.6933333333333334
Rv3085,0.6083333333333333
Rv3083,0.5
Rv2642,0.5
Rv3741c,0.5
Rv0841,0.5
Rv1129c,0.7166666666666667
Rv3086,0.4633333333333333
Rv0260c,0.5
Rv3740c,0.5
Rv3126c,0.5
Rv2633c,0.5
Rv2226,0.5
Rv3315c,0.87
Rv0022c,0.8333333333333334
Rv1675c,0.8233333333333334
Rv1537,0.8666666666666667
Rv3037c,0.5833333333333334
Rv0034,0.6866666666666666
Rv1758,0.8316666666666667
Rv1291c,0.6233333333333333
Rv0369c,0.7016666666666667
Rv1128c,0.8433333333333334
Rv1031,0.8283333333333334
Rv2637,0.5
Rv3445c,0.5
Rv2922A,0.8483333333333334
Rv3591c,0.8483333333333334
Rv1867,0.8283333333333334
Rv0828c,0.62
Rv3167c,0.8483333333333334
Rv1931c,0.8383333333333334
Rv2415c,0.6433333333333333
Rv1563c,0.8666666666666667
Rv2316,0.6366666666666667
Rv1227c,0.6183333333333333
Rv3546,0.69
Rv0373c,0.7266666666666667
Rv2073c,0.6983333333333334
Rv2407,0.7333333333333333
Rv0621,0.7333333333333333
Rv0575c,0.7333333333333333
Rv1482c,0.8016666666666666
Rv3300c,0.5883333333333334
Rv3770A,0.7683333333333333
Rv2319c,0.705
Rv1263,0.535
Rv1413,0.6183333333333333
Rv1717,0.7033333333333334
Rv0953c,0.6983333333333334
Rv1189,0.555
Rv1726,0.7233333333333334
Rv2488c,0.7566666666666667
Rv3447c,0.7566666666666667
Rv1188,0.7183333333333334
Rv0136,0.5
Rv3054c,0.5633333333333334
Rv1974,0.6016666666666667
Rv2341,0.6016666666666667
Rv1395,0.5316666666666666
Rv0697,0.8433333333333334
Rv3469c,0.54
Rv0751c,0.535
Rv1971,0.6633333333333333
Rv0162c,0.66
Rv3170,0.5383333333333333
Rv0456c,0.5733333333333334
Rv2424c,0.6316666666666667
Rv0737,0.7233333333333334
Rv1669,0.63
Rv1137c,0.7233333333333334
Rv1687c,0.6216666666666667
Rv3618,0.5483333333333333
Rv1951c,0.6983333333333334
Rv3906c,0.5
Rv2639c,0.6316666666666667
Rv1555,0.6516666666666666
Rv0837c,0.7333333333333333
Rv0843,0.7433333333333333
Rv0322,0.5883333333333334
Rv1939,0.83
Rv1550,0.8416666666666667
Rv1969,0.6716666666666666
Rv0194,0.6666666666666666
Rv2578c,0.6916666666666667
Rv3639c,0.615
Rv2601,0.6666666666666666
Rv2598,0.7033333333333334
Rv3242c,0.6983333333333334
Rv0807,0.7233333333333334
Rv2089c,0.6983333333333334
Rv3449,0.705
Rv0943c,0.7583333333333333
Rv3513c,0.7483333333333333
Rv3532,0.7583333333333333
Rv0261c,0.7583333333333333
Rv3026c,0.7333333333333333
Rv0794c,0.535
Rv2481c,0.6266666666666667
Rv2485c,0.5583333333333333
Rv0324,0.6916666666666667
Rv1062,0.7566666666666667
Rv1112,0.7333333333333333
Rv2414c,0.6983333333333334
Rv2898c,0.7233333333333334
Rv0306,0.58
Rv2892c,0.6983333333333334
Rv0269c,0.6183333333333333
Rv0793,0.6666666666666666
Rv1970,0.7183333333333334
Rv1551,0.7533333333333333
Rv1968,0.7533333333333333
Rv0754,0.7783333333333333
Rv3195,0.7783333333333333
Rv3080c,0.7783333333333333
Rv3573c,0.8016666666666666
Rv0895,0.8016666666666666
Rv0376c,0.8016666666666666
Rv3351c,0.7766666666666666
Rv0311,0.6866666666666666
Rv1938,0.72
Rv1965,0.72
Rv3084,0.8366666666666667
Rv3089,0.48
Rv3087,0.8433333333333334
Rv3088,0.4766666666666667
Rv2135c,0.5
Rv1936,0.6016666666666667
Rv3611,0.57
Rv3082c,0.7116666666666667
Rv0826,0.7583333333333333
Rv0329c,0.7533333333333333
Rv0971c,0.775
Rv2826c,0.52
Rv1681,0.5
Rv0470A,0.7233333333333334
Rv2322c,0.5933333333333334
Rv1725c,0.52
Rv1518,0.7133333333333334
Rv3504,0.675
Rv0318c,0.6666666666666666
Rv1542c,0.4766666666666667
Rv1365c,0.5
Rv2638,0.5733333333333334
Rv2270,0.7516666666666667
Rv0448c,0.5
Rv3660c,0.5683333333333334
Rv2269c,0.645
Rv1087A,0.6333333333333333
Rv1549,0.5
Rv0584,0.52
Rv2505c,0.5683333333333334
Rv2086,0.5483333333333333
Rv0264c,0.5
Rv3468c,0.56
Rv1049,0.8016666666666666
Rv3181c,0.7783333333333333
Rv1358,0.7516666666666667
Rv1619,0.5866666666666667
Rv1187,0.6633333333333333
Rv0259c,0.6516666666666666
Rvnt32,0.4666666666666667
Rv1808,0.5
Rv2486,0.49333333333333335
Rvnt34,0.78
Rv1583c,0.5233333333333333
Rv1460,0.6316666666666667
Rv2652c,0.6666666666666666
Rv1028c,0.6866666666666666
Rv2384,0.7883333333333333
Rv0622,0.5283333333333333
Rv0916c,0.57
Rv2340c,0.7333333333333333
Rv0840c,0.4766666666666667
Rv2558,0.5
Rv2160c,0.5
Rv2160A,0.5
Rv3371,0.49833333333333335
Rv1652,0.49166666666666664
Rv3471c,0.8233333333333334
Rv3643,0.745
Rv1966,0.8283333333333334
Rv1088,0.8283333333333334
Rv3178,0.6483333333333333
Rv3162c,0.7783333333333333
Rv1674c,0.7433333333333333
Rv3640c,0.8383333333333334
Rv1370c--Rv1757c--Rv2168c--Rv2480c--Rv2815c--Rv3381c,0.8383333333333334
Rv3428c,0.8616666666666667
Rv2667,0.8616666666666667
Rv0619,0.8366666666666667
Rv0374c,0.7783333333333333
Rv3473c,0.7783333333333333
Rv2805,0.8416666666666667
Rv2492,0.805
Rv1964,0.7783333333333333
Rv0975c,0.8133333333333334
Rv2961,0.82
Rv0488,0.7483333333333333
Rv2318,0.745
Rv0979c,0.8166666666666667
Rv2167c,0.8033333333333333
Rv0795--Rv1763--Rv2105--Rv2278--Rv2354--Rv2648--Rv3184--Rv3186--Rv3325--Rv3474,0.8383333333333334
Rv2370c,0.8516666666666667
Rv0699,0.7933333333333333
Rv2317,0.7583333333333333
Rv1661,0.8516666666666667
Rv1834,0.655
Rv1975,0.7466666666666667
Rv1670,0.7166666666666667
Rv2063,0.8016666666666666
Rv0973c,0.5733333333333334
Rv0252,0.5
Rv0972c,0.5
Rv1621c,0.5
Rv1620c,0.7183333333333334
Rv3662c,0.49833333333333335
Rv0974c,0.7016666666666667
Rv3444c,0.86
Rv1999c,0.8016666666666666
Rv1349,0.5
Rv2382c,0.5
Rv0068,0.535
Rv2385,0.5
Rv2381c,0.5
Rv0574c,0.5
Rv0745,0.815
Rv0779c,0.8316666666666667
Rv1135A,0.8066666666666666
Rv1802,0.8166666666666667
Rv1573,0.855
Rv2191,0.8066666666666666
Rv1721c,0.825
Rv2262c,0.835
Rv3649,0.8583333333333333
Rv3448--Rv3659c,0.8583333333333333
Rv0736,0.8583333333333333
Rv0662c,0.8583333333333333
Rv2804c,0.8583333333333333
Rv2622,0.8516666666666667
Rv1714,0.8433333333333334
Rv1432,0.8433333333333334
Rv0630c,0.8916666666666667
Rv2812,0.8916666666666667
Rv2529,0.8916666666666667
Rv3333c,0.885
Rv2264c,0.8916666666666667
Rv0096,0.8683333333333333
Rv0976c,0.8916666666666667
Rv2545,0.825
Rv0601c,0.8816666666666667
Rv3394c,0.8816666666666667
Rv1134,0.9
Rv2813,0.8816666666666667
Rv0160c,0.8716666666666667
Rv0620,0.9033333333333333
Rv1035c,0.8933333333333333
Rv1552,0.875
Rv0915c,0.8933333333333333
Rv0603,0.8933333333333333
Rv1040c,0.875
Rv0395,0.865
Rv0689c,0.875
Rv3655c,0.875
Rv1039c,0.86
Rv0767c,0.8616666666666667
Rv3379c,0.855
Rv2834c,0.855
Rv1226c,0.8833333333333333
Rv2807,0.87
Rv1662,0.8616666666666667
Rv1371,0.8483333333333334
Rvnt20,0.8233333333333334
Rv2802c,0.845
Rv3112,0.8316666666666667
Rv3109,0.8483333333333334
Rv2098c,0.865
Rv3166c,0.8833333333333333
Rvnt22,0.8583333333333333
Rv1801,0.8616666666666667
Rv1803c,0.8616666666666667
Rv1840c,0.8483333333333334
Rv0573c,0.87
Rv3252c,0.5
Rv1967,0.7383333333333333
Rv1807,0.5
Rv3402c,0.5
Rv2386c,0.5
Rv2003c,0.5
Rv1997,0.5
Rv0886,0.5
Rv1972,0.7533333333333333
Rv1381,0.48833333333333334
Rv2557,0.48333333333333334
Rv2371,0.8716666666666667
Rv2023c,0.845
Rv1258c,0.7366666666666667
Rv1734c,0.5
Rv2625c,0.5
Rv1733c,0.5
Rvnt14,0.8133333333333334
Rv1737c,0.5
Rv2627c,0.5
Rv2310,0.8316666666666667
Rv3174,0.5
Rv3290c,0.5
