feature1,Rv0033,Rv0040c,Rv0062,Rv0069c,Rv0114,Rv0115,Rv0158,Rv0289,Rv0291,Rv0316,Rv0427c,Rv0450c,Rv0466,Rv0646c,Rv0677c,Rv0824c,Rv0829,Rv0879c,Rv1009,Rv1010,Rv1176c,Rv1303,Rv1319c,Rv1435c,Rv1478,Rv1479,Rv1497,Rv1566c,Rv1572c,Rv1595,Rv1596,Rv1645c,Rv1650,Rv1700,Rv1889c,Rv1979c,Rv2025c,Rv2048c,Rv2113,Rv2139,Rv2145c,Rv2154c,Rv2244,Rv2245,Rv2246,Rv2247,Rv2252,Rv2256c,Rv2280,Rv2328,Rv2377c,Rv2398c,Rv2403c,Rv2404c,Rv2413c,Rv2450c,Rv2451,Rv2478c,Rv2525c,Rv2542,Rv2563,Rv2564,Rv2721c,Rv2722,Rv2756c,Rv2781c,Rv2842c,Rv2846c,Rv2911,Rv2932,Rv2946c,Rv2947c,Rv2948c,Rv2958c,Rv2959c,Rv3000,Rv3003c,Rv3027c,Rv3049c,Rv3137,Rv3171c,Rv3213c,Rv3241c,Rv3341,Rv3342,Rv3362c,Rv3395A,Rv3414c,Rv3439c,Rv3454,Rv3557c,Rv3575c,Rv3597c,Rv3712,Rv3713,Rv3763,Rv3791,Rv3834c,Rv3839,Rvnt40
Rv0033,1.0,0.08645700162318684,0.13807451519373,0.13465372934783132,0.28561337329309977,0.18588694241772008,0.21207146455422787,0.08792576384509848,0.2047755380836921,0.20734915147997154,0.27527781016594316,0.15943165612876284,0.07492630556837256,0.0801691087400403,0.17458627749347405,-0.08466801545970357,0.22074691622649978,0.2160874863050588,0.1341556941811071,0.142842002681787,0.1977627139988753,-0.002045832679022186,0.20515105781286902,0.12678079336089265,0.15043441962548676,0.002293764070201996,0.08048846507520684,0.17812847910583304,0.18522894420924557,0.17458627749347405,0.2811494136138858,0.18422379905749273,0.22086404779235008,0.0866041332845308,0.16390583096330658,0.09636169900874604,0.2182027676437467,0.07831348343247294,0.20821112020336402,0.1463778868184145,0.1360091728613491,0.23283704251418486,0.1947574939234969,0.21037252524719552,0.16594883752834919,0.1572988264502801,0.21988368696774266,0.1621813417178881,0.18996536981399847,0.25315407054397254,0.0794430691602383,0.007425757133152373,0.2175348738502752,0.20564770902919188,0.13075950245494408,0.0385325508334318,0.14581623422900525,0.028478649693903346,0.07229562504446872,0.21678866121944584,0.21419158482178932,0.20734915147997154,0.1332155879728367,0.21826034977382053,0.17869711170381153,-0.09813125125477588,0.19343364754622921,0.17458627749347405,0.20990140163044257,0.21089551398355477,0.1338136572290138,0.21332978818634218,0.1989505194848009,0.2464213297744888,0.11370774156652023,0.20124874663232287,0.07387524947993485,0.20312970141322437,0.18693533726781644,0.11156971484592644,0.18996536981399847,0.013853033638266317,0.0012838255171272362,0.21098038825135532,0.17649283758815656,0.23299203089260143,0.10915874933803756,0.1149487337872921,0.21421357217234613,0.22691498006423838,-0.005386667163682058,0.18000360780996674,0.1174893307539453,0.08105124997492968,0.1901682973183566,0.02964616165094617,0.2627539837874546,0.19110420882573503,-0.055308120455824755,0.10541337558088536
Rv0040c,0.08645700162318684,0.9999999999999999,0.32336295247063707,0.34206223350284726,0.07645507091146511,0.29178206703267157,0.3210778775622256,0.26077372400072296,0.17304249457600912,0.3630259842122582,0.21280373612979706,0.3569410469266197,0.2912300120189511,0.41916599737900473,0.19823955575683072,0.13836269820961372,0.2620424005645582,0.24015080749385284,0.2340541828550806,0.2040252565114438,0.19090611157789522,0.224102600571002,0.34264167130856565,0.3890583718832409,0.41172248317361737,0.21862992606439763,0.4897047126095806,0.370267060675596,0.2263883458119989,0.19823955575683072,0.20938930089771945,0.16454532341287623,0.3200754241844103,0.16100571919847365,0.29442777115126884,0.19899141275427906,0.1625949957624594,0.4163783406665756,0.34941826882286725,0.39474829699558384,0.2955620378857311,0.25086489211378765,0.19404809730665606,0.2589707428944172,0.26165228334356755,0.39343360508373343,0.15761710152986091,0.32780171632098115,0.21862992606439777,0.11447568369363834,0.1508154483509878,0.2601419238276166,0.35703862540998543,0.3773654346764855,0.17965086587120985,0.3154950088887329,0.2522339129324366,0.29823627580822576,0.2699213088619715,0.32204534077236957,0.3729313248517392,0.3630259842122582,0.3207724080857916,0.28724277869833104,0.1611374026183,0.21015124215491746,0.2036400450033904,0.19823955575683072,0.36671536744899835,0.35093258805936983,0.37670263642711027,0.3716812722009791,0.3509325880593699,0.40272524849198643,0.34384653440458246,0.4000490664875458,0.3781589126830701,0.35694104692661965,0.37923483591764223,0.3805831263624159,0.21862992606439777,0.1489550320728669,0.40850119229910264,0.3705155752632266,0.36425250971551965,0.2711431349704723,0.35838795666640794,0.412233336383422,0.3557333663535399,0.37418487905844255,0.22046235956986,0.3315726188885437,0.3593656166202313,0.12783409668718848,0.2515361762088547,0.2761954085665039,0.23084401216973863,0.33766375285154043,0.2630853232786049,0.05758858039361066
Rv0062,0.13807451519373,0.32336295247063707,1.0,0.2652380783148297,0.08212964468042472,0.24828604767836965,0.32912918061366964,0.08932839164742015,-0.03422474289888427,0.354238960786218,0.35111295572207696,0.1860116141494595,0.23674194154697642,0.4090201081078511,0.2037647799599922,0.19888510435989087,0.11826197127021702,0.29430094815056285,0.24041144394323236,0.25684897502187537,0.23002425116097058,0.22966154529205665,0.3343480490240353,0.2325075512254061,0.23754518024603535,0.22405311914767057,0.313988767557325,0.25915712602767177,0.2802458527113885,0.2037647799599922,0.21635009190029736,-0.010713654651311137,0.4297340737889366,0.16693831550989993,0.21159452116437671,0.20462444045081096,-0.029118068780676836,0.36518338811788736,0.2265928325585058,0.3714879239983241,0.22384389103421673,0.257700080626464,0.1896669646348604,0.1416842890279818,0.15037182179127748,0.28796290882822984,0.16423727749859723,0.2142970808412242,0.22405311914767065,0.12105259448010673,-0.027195995022845844,0.09062157575130314,0.3265364162047054,0.3754981671010231,0.16933058364192616,0.34764466426732804,0.25849066486299854,0.21647851102785012,0.2777360080766901,0.3126340600222454,0.3364076237753376,0.354238960786218,0.17574701721043212,0.10621243049131518,0.201887326704868,0.21894020655176955,0.20869140875500522,0.2037647799599922,0.35783904271027317,0.34243828460357206,0.36758457040734877,0.32142759590715037,0.34243828460357206,0.2970707034167245,0.1424285918669598,0.25677279723181634,0.3032121399757281,0.30686564227700874,0.249907595635358,0.4239417789755389,0.22405311914767065,-0.10181125206136875,0.21777013466310766,0.198423958847285,0.19352959051172738,0.33837231804657325,0.32079937314350276,0.26865546621952796,0.30566916750107853,0.32389367783192957,0.22593100681803852,0.4368326041791719,0.18851294156807857,0.24317894790241074,0.32696438826362906,0.22621780720457813,0.3091873016203916,0.3091593735360181,0.06291554148563235,0.046933585176135564
Rv0069c,0.13465372934783132,0.34206223350284726,0.2652380783148297,1.0,0.14719288853638104,0.3880634405951777,0.2034737658276813,0.18879270750228977,0.23309812978566044,0.35778708000127474,0.2955150119215573,0.2563392933707296,0.22566010230775302,0.3502828279724328,0.17498723669298416,0.07611203638955302,0.2050528202881913,0.3083096790361314,0.20734400910822548,0.2564610739676003,0.26384832785654644,0.20088900948030777,0.34486126620612617,0.2629475501719192,0.30755541644786183,0.19598322008724114,0.33145819076608224,0.274981157418816,0.17871122451296625,0.17498723669298416,0.2691678236652331,0.19605786262608604,0.3338983054526491,0.2337259303580166,0.19762282183209792,0.17526258260796299,0.15693166145388496,0.3471965284781411,0.3650916998363647,0.39344471470399367,0.2262487270288541,0.22214094341602075,0.2735685073495462,0.34112114616897576,0.3334353914260046,0.34505078474170847,0.2319942181198186,0.2398437217737679,0.19598322008724117,0.1867274425688794,0.21372433337567542,0.33333333333333337,0.33879161566891636,0.35687408178532515,0.23591679567914098,0.22068977696730935,0.22610634949006525,0.2926529009103788,0.17225907454789655,0.3732038607604446,0.36895967597405377,0.35778708000127474,0.24079693157848597,0.21027169150858502,0.2629424955781416,0.1354780831446891,0.008156911804111945,0.17498723669298416,0.36195286195286097,0.3542484948656298,0.3026612768183264,0.3675517401305954,0.344093258510189,0.38225787711746667,0.30620804341994057,0.3424133204907689,0.2236795485681666,0.3509045135865456,0.31897158992671276,0.3092657439382358,0.19598322008724117,0.23523782199274018,0.25340194914193837,0.2804660870556059,0.2749388568353989,0.27890733389070976,0.3496031340013886,0.27558614619562094,0.35967310630665195,0.3804536748986989,0.0338183258345977,0.3033206173786505,0.19842122505619372,0.04872423164709788,0.21358210794381693,0.1519888365438062,0.21963031851023077,0.29651694672648965,0.09943457308633723,0.19602408989761866
Rv0114,0.28561337329309977,0.07645507091146511,0.08212964468042472,0.14719288853638104,1.0,0.19956089559582346,0.17102007216785964,0.19331438602737813,0.27491929764681733,0.19660990478465348,0.11912135466579815,0.19331438602737813,-0.016575174696924343,0.03676624357212774,0.1883332276648703,-0.10054204405606558,0.210252253131114,0.23639169152677672,0.15157338490614983,0.17362411403073655,0.2513474178024367,0.1810989067474512,0.18557003988960433,0.10884138500888371,0.15678191838105435,0.03714504638814996,0.07167289761815583,0.04254513720121455,0.19540050184375757,0.1883332276648703,0.2093786543116514,0.25108725191580195,0.17803201417141212,0.2731760826002768,0.1326382032178326,0.29069825202936134,0.22705906998655623,0.035294567400456126,0.1584147498362074,0.11868515350829173,0.011357032433510907,0.22835242995763075,0.19662280873901208,0.20967972700240742,0.17275279596661544,0.11796414454458998,0.24160917504941581,0.006732796021930675,0.20244709094038194,0.44143924101173887,0.17102007216785972,0.17472046119929027,0.17537687891773998,0.16589818718032692,0.19675960048770597,0.01535340487040021,0.1621200213862652,0.15717830328868687,-0.018251054826551698,0.20401699244965962,0.2019745017134762,0.19660990478465348,0.1737259462243249,0.09043882858708006,0.31097030459764746,0.05422524406808821,-0.07251022490970106,0.1883332276648703,0.19860802425388083,0.19006028693484206,0.10868902000785474,0.20129749030567115,0.19006028693484214,0.21811048300633465,0.15253177433042436,0.21666109945815365,0.04285215009124902,0.19331438602737813,0.20538839703880785,0.07088263043729687,0.20244709094038194,0.03849017428260617,-0.14545524839672694,0.2339451577617477,0.19727417421136081,0.0804971918504507,0.1267001611874589,0.1281754256150143,0.19266032275695164,0.202653409516061,-0.07850015588175596,0.1143862293232817,0.09886420326803724,0.0007989398589782905,0.12700141045064803,-0.13014955665676672,0.21581288962937717,0.14484720454460062,-0.10461138182218668,0.22652234672536073
Rv0115,0.18588694241772008,0.29178206703267157,0.24828604767836965,0.3880634405951777,0.19956089559582346,1.0,0.20545791184979728,0.16803071952282764,0.20941134447133586,0.3004094730227494,0.2627204632752678,0.2384838513982273,0.11238402253945584,0.27794994128271056,0.221532322745277,0.03969357790712444,0.24290610871064072,0.38911502139789106,0.16874572450827688,0.2846392991738546,0.3394939405564902,0.24763027827182454,0.29236758867456225,0.2631435074146913,0.26361917686895087,0.24158304853192614,0.2831212450111226,0.3497582769681772,0.22696073490733737,0.221532322745277,0.33179566790873594,0.2150715704566194,0.32066285584327536,0.195562358441694,0.21626681876216394,0.22272692480785064,0.1652000659231958,0.27544743806301525,0.39705110694106965,0.3292785363646707,0.17908543120307094,0.2797012582757835,0.26817965005658373,0.33356219249749597,0.272480729793923,0.3106068303458983,0.2924726447792435,0.2356619797389121,0.2415830485319262,0.1636529699047219,0.11992469616211081,0.24495407223089344,0.42704824096457134,0.30016295102669566,0.1489267098563324,0.1255066683036088,0.27871498987474286,0.36657558530654966,0.15520911778538113,0.3128818918457251,0.3094467960788638,0.3004094730227494,0.23284671282635228,0.1255066683036088,0.3280328525352216,0.11204510015013912,0.0431262806251558,0.221532322745277,0.3037781684297094,0.29993632460322467,0.23930384337136662,0.3083075055436845,0.2893441059592027,0.34698999192934293,0.29036738592350414,0.3166101650667197,0.1454145478116013,0.2948463568985471,0.29767627654903017,0.22837850050969144,0.2415830485319262,0.17844375465243106,0.1743697910821869,0.24386637525487442,0.27341507867146947,0.1808545676611878,0.27973132418118934,0.24376008245626143,0.30431372699532805,0.32110549039058367,0.07275166926787181,0.30666102235565884,0.1949923020106858,0.09292347370890891,0.2846124830115138,0.12905372063101853,0.2944279066123142,0.26471792388254883,-0.03532100414007088,0.14455385355625122
Rv0158,0.21207146455422787,0.3210778775622256,0.32912918061366964,0.2034737658276813,0.17102007216785964,0.20545791184979728,1.0,0.15504119572107997,0.1302503973137983,0.3326251185661109,0.205239250648446,0.25100656629488177,0.209539598711968,0.3181080662252951,0.19592527066366555,0.10430254094427947,0.22213727992216944,0.28116397305585555,0.14175423361431322,0.1751386525240218,0.18737758528884116,0.22177867911497284,0.3117525214761288,0.27285072878384564,0.3068558173834017,0.21636275569325195,0.31142676557194815,0.24702604849640886,0.2694890465367557,0.19592527066366555,0.20646637058280598,0.12543673739155545,0.2874373589234729,0.068470527606841,0.3161096868579766,0.19663140606455654,0.12199736375594827,0.3017085537116058,0.28929493572389503,0.2798518583048283,0.2237196534768696,0.2480029417859962,0.22893355534859264,0.18270180958213433,0.12153508869369055,0.25470332183770505,0.1548296408644131,0.32676058317534995,0.2163627556932519,0.12022485593795289,0.04576451415296056,0.0643223113636628,0.28258590756160246,0.34467473385136094,0.18208813943060284,0.2580766339176949,0.24961827259310831,0.20492617246623626,0.18867944232233624,0.2920183515290249,0.3427231575708663,0.3326251185661109,0.21234535099083954,0.18054615831029452,0.1916682371719113,0.13527376381771786,0.201528318193062,0.19592527066366555,0.3363894583666715,0.3202578676960322,0.3465608663093401,0.32779999264481285,0.3339986632780348,0.3355493415171341,0.22020063671094972,0.2954400168505663,0.3042027160156113,0.3126985902351829,0.2878040228772397,0.3617140463710771,0.2163627556932519,0.00022016410812065776,0.21966072144714607,0.26616080184242813,0.25865380171230135,0.3502181843804978,0.3287871983362263,0.3077465189390096,0.3114573806700424,0.33035655433895234,0.218176187047339,0.32371705766722914,0.2535480746901867,0.2862675661879835,0.3126967511622705,0.27259261689019815,0.34094310121800786,0.3049864623663949,0.07186054013940531,0.10134972260052501
Rv0289,0.08792576384509848,0.26077372400072296,0.08932839164742015,0.18879270750228977,0.19331438602737813,0.16803071952282764,0.15504119572107997,1.0,0.2507678556322439,0.217764865135375,0.07064195165695766,0.3577171507294819,0.08469513132168029,0.15679379537011867,-0.010913491106487405,0.14831140676394514,0.2545429870377872,0.10278983603740158,0.028787650187820295,0.12682638135393828,0.13426404121870986,0.1599828337335829,0.19709992399895515,0.16514324382098983,0.23641379964522666,0.15607598939783143,0.24814744577041195,0.157728195700993,0.1665894261187379,-0.010913491106487405,0.09483559394267607,0.14082602276046852,0.15769904920600328,0.18613331188413762,0.2125089937538289,0.13228787472747636,0.24904281723996946,0.1529750133726379,0.2031034943978948,0.19326934007114457,0.18747024391935077,0.07729237718823305,0.12293034075431931,0.12237233175224435,0.17628400469272557,0.26871773962166107,0.09172142717354312,0.17107859522474816,0.006703958984047216,0.2189592225470471,0.3401172675419836,0.23506211882217154,0.19279999112526,0.2077708375300906,0.1577373065801193,0.08535356891604107,0.04580748047325942,0.19586731811779662,0.06343648568342217,0.1839956654175345,0.23239591776161037,0.217764865135375,0.24560991487750253,0.15502047321426518,0.1927263113765888,0.20728397548358454,-0.01262085816194976,-0.010913491106487405,0.22324146629519417,0.2097602095737162,0.16714830257256436,0.230562077000242,0.1995738291379344,0.2852147060045336,0.13209683537873335,0.28144733557026175,0.15836784337605667,0.22220967523375038,0.3358911711016724,0.1400948977430041,0.006703958984047216,0.1873373434468736,0.18943914086117464,0.2549052381250166,0.2635250598345858,0.11977681191242227,0.17370777287043898,0.21784019847646907,0.21700795680999954,0.2443449667546318,0.15738413086555822,0.1103253541843962,0.30030474192889733,0.12404502772782279,0.12390882795722462,0.06557861420906815,0.15473052482906954,0.2301468889404503,0.1794445924072936,0.143078619137628
Rv0291,0.2047755380836921,0.17304249457600912,-0.03422474289888427,0.23309812978566044,0.27491929764681733,0.20941134447133586,0.1302503973137983,0.2507678556322439,0.9999999999999999,0.24334628118794344,0.03626863907506232,0.23904790599995335,0.043034223918696726,0.1200036052892966,0.0006816235534431728,-0.1304233653115262,0.2727396948723208,0.11013833229155397,-0.024414260230196612,0.04233976349319162,0.12529746778653855,0.07755854608755433,0.24072187243279258,0.16029984405920725,0.23400176531446534,0.08357417982414644,0.16653740883218138,0.17581014310849488,0.08431504409465837,0.0006816235534431728,0.20096475144062223,0.3257109469887117,0.04736925346947909,0.1550570261021631,0.2024012882413544,0.17115627977528558,0.4282696756239304,0.11808006984450348,0.24790241232644486,0.18429174393984513,0.09938437337504209,0.11527214233970078,0.17336608840399678,0.3164894357066399,0.26693817927544283,0.19499010117285734,0.14032218866554927,0.20546187532264115,0.009750833641610075,0.24220832582973592,0.33577370668468237,0.23572705606143876,0.16730671358827084,0.12395993922837344,0.09778940698287175,-0.05280296805996422,-0.016975441437346427,0.1845521256116074,-0.06707377435745208,0.25299436484478616,0.25033564977781025,0.24334628118794344,0.2134118784951372,0.2203504612346396,0.19740115154352797,-0.04539074670119005,-0.09406042657085152,0.0006816235534431728,0.2459506582450197,0.24654663098249255,0.17139581375063026,0.24945409911676011,0.23479978919820804,0.2829334083117084,0.2800753138304982,0.28105326471849185,-0.020142526732751343,0.23904790599995324,0.2664302898278429,0.043263414903269556,0.009750833641610075,0.37352742634129243,0.09748823743716957,0.29182524848752345,0.25590450175600665,0.15073480866934988,0.20630568984087605,0.19659597151709277,0.249919403289182,0.26288245787206066,-0.10183057847788403,0.0019469171131201615,0.17050005126352202,0.016012087557037473,0.01231150177905161,-0.005389140829669104,0.08566127235544971,0.10939472335201329,0.1337560327448537,0.15458235818501184
Rv0316,0.20734915147997154,0.3630259842122582,0.354238960786218,0.35778708000127474,0.19660990478465348,0.3004094730227494,0.3326251185661109,0.217764865135375,0.24334628118794344,0.9999999999999999,0.30360820866327887,0.3327160437505392,0.23546494773947643,0.4162559266352055,0.16663247337161186,0.1164156481023903,0.2594332291981511,0.2774051736195935,0.19053096882548387,0.205352532472443,0.1993380899663589,0.16271013427362915,0.47192444371726217,0.2987980781857242,0.33806067701056797,0.1587366881755628,0.3706580464355079,0.26883312824627725,0.18710070111919294,0.16663247337161186,0.2180125873685685,0.18509926792791362,0.35673723893494624,0.18930641158599404,0.2939972616680953,0.16546633377187944,0.20684618636247964,0.37219015813708517,0.3285925470641071,0.45981956980591976,0.24584740961945598,0.17400329746810797,0.23403302889182268,0.3059123181425269,0.2855108465279626,0.3774762196932005,0.16848706397410848,0.3406615047038662,0.15873668817556277,0.210076005885633,0.16160084042013376,0.2699834678106658,0.360502954165953,0.37451105522422035,0.2704785234084536,0.3105975449539814,0.1831349289880142,0.23115862144878188,0.20539226208540054,0.4650331899640812,0.4867196183594668,0.49999999999999994,0.2867304122984316,0.23411709289748597,0.19664218200990474,0.12723339223899552,0.1478532555247693,0.16663247337161186,0.4848579506187792,0.4833436218358698,0.44821949447040565,0.47152481623935133,0.4833436218358699,0.44065044841268153,0.26653330303530276,0.42018699308446045,0.28678412337550985,0.4307626372752376,0.3845169837271941,0.3719395693773658,0.15873668817556277,0.17656924663504778,0.2965930947725249,0.3563569245778493,0.32292412506192564,0.3464154786339883,0.4164311049066278,0.36652482476422804,0.42907280965323746,0.47499565691717555,0.16006713012921148,0.3094862554839325,0.2449794755523607,0.23430843314553773,0.2760924854201291,0.20804067801539342,0.32613105265264136,0.2945926476048653,0.21330968682853413,0.1428621325705154
