feature1,Rv0013,Rv0042c,Rv0058--Rv3274c,Rv0105c,Rv0132c,Rv0156,Rv0157,Rv0171,Rv0173,Rv0247c,Rv0254c,Rv0276,Rv0285,Rv0286,Rv0388c,Rv0397,Rv0418,Rv0429c,Rv0431,Rv0433,Rv0554,Rv0821c,Rv0839,Rv0934,Rv0935,Rv0956,Rv1013,Rv1025,Rv1070c--Rv1260,Rv1098c,Rv1168c,Rv1190,Rv1276c,Rv1450c,Rv1473,Rv1512,Rv1577c,Rv1601,Rv1621c,Rv1622c,Rv1658,Rv1747,Rv1751,Rv1759c,Rv1854c,Rv1992c,Rv2056c,Rv2137c,Rv2156c,Rv2159c,Rv2160A,Rv2160c,Rv2161c,Rv2163c--Rv2497c,Rv2258c,Rv2259,Rv2377c,Rv2464c,Rv2484c--Rv3536c,Rv2490c,Rv2495c,Rv2496c,Rv2499c,Rv2523c,Rv2546,Rv2558,Rv2633c,Rv2780,Rv2781c,Rv2837c,Rv2914c,Rv2928,Rv2937,Rv2993c,Rv3030,Rv3083,Rv3087,Rv3160c,Rv3211,Rv3224B,Rv3244c,Rv3245c,Rv3271c,Rv3290c,Rv3291c,Rv3334,Rv3343c,Rv3345c,Rv3370c,Rv3371,Rv3613c,Rv3614c,Rv3615c,Rv3616c,Rv3677c,Rv3752c,Rv3805c,Rv3843c,Rv3860,Rvns02
Rv0013,1.0,0.3653314601305948,0.09637656054970857,0.0,0.0,0.06365578559236286,0.13145468260298065,0.05319292782853488,0.07488011526820423,0.3290586456261029,0.0,0.04891015875992633,0.2403443172836219,0.19234475088841127,0.0,0.0,0.16798124493914302,0.12698372930610072,0.2378450673043473,0.37735976667781057,0.22543313849722,-0.12033897933361766,0.1265367133120384,0.19297620501149915,0.28820746383090834,0.06059577518353524,0.12325575515607667,0.17664287302294804,0.13145468260298065,0.23653567496373096,0.046115721392290074,0.0,0.0,0.0,0.009854683237946705,0.2403443172836219,0.08407497392303574,0.1882786342955426,0.3257077314338559,0.22908225866069692,0.14603244065357618,0.13538312003691244,0.22664397040105133,0.0,0.046115721392290095,0.3679529568075698,0.0,0.05319292782853488,0.13145468260298065,0.24607667112136977,0.13145468260298065,0.13145468260298065,0.13145468260298065,0.23402747709707833,0.13461544426976427,0.2731123550450182,0.20582175143921386,0.23154321949442,0.35269360935402533,0.0,0.07868894753646304,0.1915726313230833,0.32856437033638586,0.17459388226604464,0.0,0.22422774898804704,0.12384732652260037,0.16874248118080135,0.2403443172836219,0.15487009808689262,0.0,0.13145468260298065,0.04066255785843342,0.08179105650600378,0.08319923492968447,0.1787038326301831,0.20768058255465308,0.1902687991464741,0.09637656054970857,0.13658543085566355,0.2513123449750159,0.13538312003691252,0.18181846821204062,0.14412937246105437,0.19675585509037774,0.20179252118611374,0.0,0.0,0.0,0.04891015875992633,0.20005120152746933,0.19026879914647413,0.18077710514750447,0.08427191380892315,0.29846359073279827,0.0,0.17459388226604455,0.01681456034295306,0.0,0.2206435104897162
Rv0042c,0.3653314601305948,1.0,0.24944957369118068,0.0,0.0,0.15202626136599087,0.21870503570542493,0.29595703373365334,0.13546716208239062,0.43638832984374093,0.0,0.2875819457754009,0.36283018565499586,0.36700041107560066,0.0,0.0,0.3474727568815138,0.2843750238800574,0.27666250536261916,0.3508640480131245,0.19093032526587878,-0.04081126546305463,0.06516835651635829,0.2057871269580855,0.26907979654895026,0.2994196497353533,0.29386372520507364,0.27413045967514704,0.21870503570542493,0.3574977607636153,0.2821487273174104,0.0,0.0,0.0,0.21395982926008097,0.36283018565499586,0.06646725134049367,0.2016355424056207,0.43182386841687725,0.3615022215959608,0.2319504790718647,0.2206952341662969,0.34366412911002,0.0,0.2821487273174104,0.3963362625316402,0.0,0.29595703373365334,0.21870503570542493,0.27685753262907303,0.21870503570542493,0.21870503570542493,0.21870503570542493,0.35398786577057545,0.2960064030239195,0.4088338981606484,0.3105808304014433,0.3505129037119568,0.3469410017418845,0.0,0.1378789342762815,0.20583809801056172,0.2400698023237627,0.27129688528732454,0.0,0.34028856055761586,0.276917547325966,0.27201967932038257,0.36283018565499586,0.22404591820767006,0.0,0.21870503570542493,0.18753047568145112,0.23701270221375131,0.21877588048487695,0.2769819648584525,0.15174450093092776,0.2930079241888648,0.24944957369118068,0.21900327968319533,0.1611788978258389,0.22069523416629688,0.295254476851046,0.22933947886803538,0.30201503571826954,0.2867927114084851,0.0,0.0,0.0,0.2875819457754009,0.30659523229058366,0.2930079241888648,0.2798518847255556,0.22035855060591847,0.27867557627033923,0.0,0.27129688528732454,0.2267092337807203,0.0,0.3352838620978405
Rv0058--Rv3274c,0.09637656054970857,0.24944957369118068,1.0,0.0,0.0,0.15414065963107754,0.2240175410081877,0.4214286961594449,0.16528471659366525,0.2246823715687842,0.0,0.4141665919310562,0.268294492047412,0.3398491747735321,0.0,0.0,0.34296879201027103,0.30140843946571955,0.16038451957882915,0.03920160210777139,0.03849425934304442,-0.08216786772886242,0.2187570278950238,0.10756263780267854,0.07373530726647495,0.41655511572413273,0.2977769771273031,0.2201363847834667,0.2240175410081877,0.2653255194863924,0.4094823585907276,0.0,0.0,0.0,0.35269128990016985,0.268294492047412,-0.14284918167444846,-0.10238395517587483,0.2223943558681031,0.2595448732941804,0.1983564698075792,-0.06512822309547017,0.25766254264643496,0.0,0.4094823585907276,0.2512395406112777,0.0,0.4214286961594449,0.2240175410081877,0.1481973494082539,0.2240175410081877,0.2240175410081877,0.2240175410081877,0.2633758125754941,0.3089229938843835,0.29422465001182024,0.23578662873034822,0.26144911653201913,0.10756263780267863,0.0,-0.0805936248010029,-0.10139434848014368,-0.07084575117034898,0.21864729957690365,0.0,0.2558016014725333,0.10362349474611923,0.19249177450979976,0.268294492047412,0.32936825242873696,0.0,0.2240175410081877,0.40046578998508187,0.25214187635658525,0.260494222485195,0.22163840740103669,-0.044780530705494946,0.23014343981827196,0.5,0.19185120110439974,-0.08579846544688428,-0.06512822309547017,0.2239163022445308,0.1970373033008238,0.23496877462293053,0.15925755404330708,0.0,0.0,0.0,0.4141665919310562,0.23743441165475457,0.23014343981827187,0.22315364232369295,0.26144911653201913,0.07458093130116687,0.0,0.21864729957690374,0.36300724761211817,0.0,0.25304919082624105
Rv0105c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0132c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0156,0.06365578559236286,0.15202626136599087,0.15414065963107754,0.0,0.0,1.0,0.38540752592413147,0.2683667575021223,0.4781170258534584,0.2555611474659413,0.0,0.26248305565780594,0.2715371471202826,0.20071159878939188,0.0,0.0,0.2033748020223586,0.16720080869043324,0.29196981215131684,0.16020359920879768,0.25882928818592554,0.24571052629259238,0.39240342369476544,0.2173678696574096,0.3131120572659311,0.26442066330033986,0.30375281622207134,0.21826552499767796,0.38540752592413147,0.26827905969694704,0.25867597465762543,0.0,0.0,0.0,0.21162849620780397,0.2715371471202826,0.09376845735680787,0.17906033975806754,0.252958682867568,0.2619271444784685,0.19377606087193258,0.12007965509361969,0.25985631198678233,0.0,0.25867597465762543,0.16324222721690743,0.0,0.2683667575021223,0.38540752592413147,0.27447189551677453,0.38540752592413147,0.38540752592413147,0.38540752592413147,0.26613793128022384,0.3158761165937401,0.1607723350601458,0.23568906416040356,0.2640208250238632,0.21736786965740953,0.0,0.2520920866827566,0.18179768114750114,-0.08058229640253779,0.2166008497839919,0.0,0.2578077678916544,0.1259946358814987,0.2189464995762665,0.2715371471202826,0.20216037495524528,0.0,0.38540752592413147,0.30382424209066516,0.15471808272433946,0.2629710930718319,0.09132151934046266,-0.0509348540845652,0.2294208889626854,0.15414065963107754,0.18639444790990992,0.07319250547113995,0.12007965509361967,0.22248552172210317,0.1922819707309062,0.23478157709667835,-0.11194341570991106,0.0,0.0,0.0,0.26248305565780594,0.2375164934890458,0.22942088896268545,0.2216347072625935,0.2640208250238632,0.3144888864535607,0.0,0.21660084978399183,0.37437997049866906,0.0,0.25477556051120437
Rv0157,0.13145468260298065,0.21870503570542493,0.2240175410081877,0.0,0.0,0.38540752592413147,1.0,0.3694878154209513,0.40304727198970114,0.19699037913436193,0.0,0.36312076198780835,0.23522732708872413,0.29796293015646236,0.0,0.0,0.3006980560941512,0.26425999667922984,0.39525600951738893,0.22590576025278394,0.2250876536535097,0.1260617327083189,0.25721402052151626,0.31519052894782607,0.26861843963494014,0.36521490139129187,0.26107611029837124,0.19300468299751397,0.5,0.2326242789441308,0.3590138581162591,0.0,0.0,0.0,0.30922226087306487,0.23522732708872413,0.02442691181532266,0.08283889108127801,0.19498436025003357,0.22755609456858536,0.17390913189282556,0.1784299309011902,0.22590576025278394,0.0,0.3590138581162592,0.07163991258252254,0.0,0.3694878154209513,0.5,0.37611923266427383,0.5,0.5,0.5,0.2309148724566658,0.2708483859401346,0.25796160576291466,0.20672604203033693,0.2292256407584651,0.31519052894782607,0.0,0.13012343433710405,0.08464790600962016,-0.06211404697957457,0.19169912681455142,0.0,0.2242741791686335,0.04701990874873255,0.16876725742287588,0.23522732708872413,0.12392926116872789,0.0,0.5,0.16710918844132847,0.22106551338375505,0.22838843693600472,0.19432158206190236,-0.03926135219207788,0.20177837339236115,0.2240175410081877,0.16820563437647526,-0.07522384653285473,0.17842993090119022,0.19631872747974238,0.17275255201300427,0.20600898804175705,-0.08628766978450693,0.0,0.0,0.0,0.36312076198780835,0.2081707365150149,0.20177837339236115,0.19565006502123508,0.22922564075846505,0.269729080440744,0.0,0.19169912681455142,0.3182667818411393,0.0,0.22186100178866944
Rv0171,0.05319292782853488,0.29595703373365334,0.4214286961594449,0.0,0.0,0.2683667575021223,0.3694878154209513,1.0,0.284276557557025,0.26657222635330263,0.0,0.4913839466859173,0.31831540482699544,0.40321076598560995,0.0,0.0,0.4069120056794976,0.3576031274240561,0.27726890258411757,0.11193718309116915,0.11103034746177938,0.06127684139883915,0.1743464553572681,0.20306888470937765,0.1571571243536897,0.4942177876355788,0.3532946140604551,0.26117868430604074,0.3694878154209513,0.31479289605139854,0.4858263833507489,0.0,0.0,0.0,0.41844716925343306,0.31831540482699544,-0.04953285708705251,0.01685664162405684,0.26385763225763204,0.307934504293918,0.23533811486407782,0.11148961685100318,0.3057012313050344,0.0,0.48582638335074896,0.17896144420031582,0.0,0.5,0.3694878154209513,0.2599225409536727,0.3694878154209513,0.3694878154209513,0.3694878154209513,0.31247968514684205,0.3665186978243939,0.3490799899166133,0.2797467648490895,0.31019377526335074,0.20306888470937765,0.0,0.06529359256189399,0.018785193114805088,-0.08405425617189748,0.25941197356691154,0.0,0.3034933356504904,0.18002619317171806,0.228380003858318,0.31831540482699544,0.2586653808582581,0.0,0.3694878154209513,0.32766718589607563,0.2991512901878765,0.30906085045836396,0.26296074451131146,-0.053129427485109536,0.27305145795197455,0.4214286961594449,0.22762000173786764,-0.10179475938489833,0.1114896168510031,0.2656633308138731,0.23377300252268154,0.2787764297545983,0.11177850949740402,0.0,0.0,0.0,0.4913839466859173,0.28170176096043864,0.27305145795197466,0.26475848032814664,0.3101937752633508,0.15828653558657232,0.0,0.25941197356691154,0.43068643749259056,0.0,0.30022776466377865
Rv0173,0.07488011526820423,0.13546716208239062,0.16528471659366525,0.0,0.0,0.4781170258534584,0.40304727198970114,0.284276557557025,1.0,0.2443762715002266,0.0,0.27833885747092246,0.291811089462895,0.21628757158845466,0.0,0.0,0.21895024234195434,0.18290470411621917,0.3081346849712049,0.14319903982379822,0.2792323249607079,0.26046562411066343,0.41036336553201386,0.23296117484957002,0.33323440983593205,0.28029379798790494,0.3238777786654319,0.23943181905774888,0.40304727198970114,0.2885818799811598,0.27449903580499907,0.0,0.0,0.0,0.22721038260325635,0.291811089462895,0.10893699315295662,0.1934491232254456,0.2418877062329019,0.282294547541809,0.2157428470292069,0.12942681425424268,0.28024722650716455,0.0,0.27449903580499907,0.14688267290364307,0.0,0.284276557557025,0.40304727198970114,0.29044193256877887,0.40304727198970114,0.40304727198970114,0.40304727198970114,0.28646127700693946,0.336000768102279,0.1765291592431617,0.2564538410219278,0.28436570185286325,0.23296117484957005,0.0,0.2669131732358173,0.19618787955593794,-0.07705553578484714,0.23781221228492772,0.0,0.2782231697803985,0.14065792847141256,0.209364098396861,0.291811089462895,0.21807672347374352,0.0,0.40304727198970114,0.2791194138021167,0.1380133087942609,0.28332710926007765,0.10839932127393169,-0.04870564189438453,0.25031601429312983,0.16528471659366525,0.20866737733529925,0.08283361975788278,0.12942681425424266,0.24354305452879899,0.2143080527008491,0.2555643002181412,-0.10704410596620063,0.0,0.0,0.0,0.27833885747092246,0.2582460557137015,0.2503160142931298,0.2427135458024328,0.2843657018528632,0.3346122144794441,0.0,0.2378122122849277,0.3948256246345125,0.0,0.27522950433756876
Rv0247c,0.3290586456261029,0.43638832984374093,0.2246823715687842,0.0,0.0,0.2555611474659413,0.19699037913436193,0.26657222635330263,0.2443762715002266,0.9999999999999999,0.0,0.25797239443992204,0.4187234144357316,0.3305618907541958,0.0,0.0,0.3117123917604617,0.24606114931571013,0.24919340173333288,0.30565531101033716,0.247547939770645,0.0689401353393248,0.2005661384579976,0.1743632054739514,0.3366605810759026,0.269691048180022,0.34390822895017376,0.31953468238013744,0.19699037913436193,0.4127469687735299,0.2523872718840877,0.0,0.0,0.0,0.1818394328982542,0.4187234144357316,0.12598931314418158,0.2840554088321903,0.4880845209261237,0.4010664010151053,0.2725709887231342,0.19878297594446803,0.3972497412950435,0.0,0.2523872718840877,0.44714771214379945,0.0,0.26657222635330263,0.19699037913436193,0.24828809830264714,0.19699037913436193,0.19699037913436193,0.19699037913436193,0.4088139918649865,0.36365433460235425,0.3670678379204166,0.35925408842305834,0.4049208155293768,0.31249412822136324,0.0,0.24598614576987493,0.28904951230369447,0.2162338934077689,0.31637502007190477,0.0,0.39346985970952864,0.34124959198961846,0.31023822351558633,0.4187234144357316,0.2984004296274946,0.0,0.19699037913436193,0.2805262986098703,0.1934168792399633,0.2757608182196276,0.24086965427899573,0.13667818243654847,0.34060035325045007,0.2246823715687842,0.27168826624689385,0.26187224957756405,0.19878297594446795,0.3275253056070613,0.26966915970161937,0.3506607549646105,0.25468060709095053,0.0,0.0,0.0,0.25797239443992204,0.35577872860649734,0.34060035325045007,0.32591645363141175,0.2775538486525087,0.346371546395882,0.0,0.31637502007190477,0.30947367173349594,0.0,0.38786693114566245
