feature1,Rv0024,Rv0113,Rv0241c,Rv0242c,Rv0251c,Rv0343,Rv0524--Rv0525,Rv0526,Rv0527,Rv0528,Rv0529,Rv0597c,Rv0655,Rv0672--Rv2518c,Rv0676c--Rv2829c,Rv0677c,Rv0690c,Rv0694,Rv0930,Rv0967,Rv0968,Rv1037c,Rv1038c--Rv3620c,Rv1047--Rv1199c--Rv2512c--Rv3023c--Rv3115,Rv1057,Rv1065,Rv1073,Rv1076,Rv1179c,Rv1197--Rv2347c,Rv1198,Rv1346,Rv1347c,Rv1389,Rv1471,Rv1472,Rv1478,Rv1493,Rv1566c,Rv1576c,Rv1605,Rv1672c,Rv1679,Rv1792,Rv1794,Rv1815,Rv1957,Rv2050,Rv2053c,Rv2226,Rv2301,Rv2396,Rv2447c--Rv3422c,Rv2450c,Rv2451,Rv2503c,Rv2552c,Rv2592c,Rv2593c,Rv2600,Rv2604c,Rv2609c,Rv2694c,Rv2698,Rv2699c--Rv3524,Rv2745c,Rv2761c,Rv2827c,Rv2848c,Rv2894c,Rv2958c,Rv2959c,Rv3122,Rv3137,Rv3145,Rv3146,Rv3147,Rv3151,Rv3152,Rv3154,Rv3173c,Rv3549c,Rv3550,Rv3551,Rv3552,Rv3561,Rv3566A,Rv3566c,Rv3599c,Rv3619c,Rv3756c,Rv3757c,Rv3758c,Rv3831,Rv3853,Rv3862c,Rv3865,Rv3879c,Rv3881c,Rv3913
Rv0024,0.9999999999999999,0.3670463691200266,0.4541248271629224,0.43873011894548497,0.44678234389766186,0.4585958914385748,0.33303466389532377,0.31794707270033395,0.3448155854194128,0.3771929824561421,0.35705323639962266,0.4550095092854973,0.37501173403291876,0.3448155854194128,0.44453113239569797,0.4131129174711248,0.4089571432941447,0.28920135843553335,0.4149289597439978,0.36202013569691716,0.34239920553124326,0.36146624434051144,0.3504968936365426,0.33638949855315453,0.46428253138582687,0.38328154117734486,0.44453113239569797,0.3092647698131339,0.3358978127787553,0.37449783978751694,0.3486992076601259,0.29905306246480184,0.42095929748341954,0.39001416281782625,0.4186349965510991,0.304779935547492,0.46336617179461276,0.385837385381167,0.45099101240893746,0.26460376823560333,0.35581815324428817,0.3458616160837326,0.40971615112498927,0.37449783978751694,0.32453061254373683,0.4509910124089375,0.34239920553124326,0.4222523195080418,0.32928753019347085,0.39810701278037464,0.32453061254373683,0.3448155854194128,0.3448155854194128,0.34909106531312883,0.34909106531312883,0.42474147990102346,0.38755593247736964,0.3082324690546965,0.36202013569691704,0.4175918924959511,0.3954707198854218,0.3448155854194128,0.4505034045930511,0.44453113239569797,0.4314478716803977,0.43939311206013154,0.353355742695865,0.38124737281063154,0.38804986866832214,0.34119101878143193,0.3703930368557069,0.40216607042971425,0.449085670317164,0.36202013569691704,0.3802228957197916,0.4121614376933884,0.3857770953581854,0.33753318565174567,0.35829094545106177,0.3708192980652218,0.4705272372635471,0.44453113239569797,0.44453113239569797,0.42039968912073566,0.4222309840780993,0.40229195836799514,0.4314478716803977,0.4284857507419037,0.3894717269683626,0.36146624434051144,0.4237156183665844,0.43019021451910017,0.4008194984096867,0.3140163806106833,0.2863961891532584,0.321010229388471,0.37128932147408783,0.3036318979601497,0.3340016103451526,0.32806762123680766
Rv0113,0.3670463691200266,1.0,0.3819295942245754,0.36967210459856803,0.4084248066291241,0.4043646928394627,0.4113204608986213,0.4019876447794084,0.4301382377697699,0.3827171011104304,0.4113204608986213,0.38808039071726247,0.37762450907149503,0.4301382377697699,0.4173843797738895,0.39237788513150784,0.36274742775114005,0.28607664389129767,0.41058723013483167,0.40400586247998527,0.3927543975412448,0.39502051249956127,0.37753690254416317,0.4196271637081401,0.3601879641608527,0.37075477368922083,0.4173843797738895,0.22039661439412642,0.4225162614126979,0.3474967884770462,0.38445588778047407,0.22629389673913178,0.3939696445725977,0.35247573676197314,0.44525890281009806,0.23440441405730306,0.4000898368113252,0.3660125441304446,0.39024046823210556,0.2170551806817276,0.4438633283261554,0.27790324450944065,0.36563803555999397,0.3474967884770462,0.34206892376935055,0.3767722898634392,0.3927543975412448,0.3781741917622963,0.4168838037416941,0.38668087592978323,0.34206892376935055,0.4301382377697699,0.4301382377697699,0.3017758796882701,0.3017758796882701,0.39699405192791043,0.4834544402343906,0.23926038009443026,0.31221725353552515,0.3304153633119479,0.35897919541969814,0.40610433240268495,0.4113943297119604,0.4173843797738895,0.4069462580285653,0.40253491805566155,0.4168838037416941,0.34414451384385064,0.3725856198361193,0.2604089159031434,0.3860944140393965,0.44130916305457707,0.3507004777300163,0.3122172535355253,0.300569811764242,0.3128043127410892,0.3050246086961752,0.3394361548890274,0.40948093602442087,0.3914733259661405,0.39237788513150784,0.4173843797738895,0.4173843797738895,0.39815909847931913,0.39961383189183314,0.38381457308684996,0.40694625802856527,0.33511079949218386,0.3688942565754158,0.39502051249956127,0.4249715053089287,0.3574640745512585,0.35238862050456266,0.3917179451805507,0.28602737977920806,0.25702748278458587,0.2971119441283507,0.31467523822992477,0.3543691227329555,0.4092460852559141
Rv0241c,0.4541248271629224,0.3819295942245754,1.0,0.47805363418008695,0.4483293667585956,0.47371597486965505,0.35826869891679824,0.3260439183861694,0.34598938914583044,0.37847700367533,0.35826869891679824,0.4633942363876284,0.38347650421433965,0.34598938914583044,0.4460443827294382,0.41474164704287864,0.41034929445854174,0.3150853392462655,0.41655073219366845,0.3632525062807552,0.38105697221974805,0.32861608357009303,0.3178713730561268,0.33753461862204437,0.43196491910337387,0.3981531390550846,0.4460443827294382,0.3103585245524251,0.33709465741820305,0.34215855164175624,0.3159915298311374,0.30007108373170815,0.42248362653279564,0.3913941391784008,0.4200600925726816,0.30581745194527454,0.47851457092068306,0.38749121321089264,0.48993917147396154,0.2659013372744686,0.3570294113540325,0.34750977002021277,0.44914037986119915,0.34215855164175624,0.3256353631943702,0.4526707045607115,0.38105697221974805,0.41039223336024694,0.3305017179022419,0.3930534198156176,0.3256353631943702,0.34598938914583044,0.34598938914583044,0.35035869833550726,0.35035869833550726,0.426252583717894,0.3888752307254011,0.30928173839192613,0.36325250628075517,0.4191178042189896,0.3832983275498,0.34598938914583044,0.4520369854328855,0.4460443827294382,0.433007980112893,0.4274859652684773,0.3545586183925179,0.3826367161776764,0.38977844177912296,0.34235248394194406,0.37168025403583405,0.40353510376831764,0.4235266296508171,0.3632525062807553,0.4256535398938644,0.4372102655795401,0.4244248885755635,0.36255745062216105,0.3595106213146138,0.3720816223112899,0.47212898221892374,0.4460443827294382,0.4460443827294382,0.4220007199805494,0.42382514346235955,0.40396290368736654,0.433007980112893,0.4098085494638509,0.3911115678527424,0.32861608357009303,0.4252101798269092,0.43197192144086466,0.40218394781612116,0.3150853392462654,0.3080787270273958,0.3221029961293257,0.3626793688290341,0.30466550626660677,0.3351386016861226,0.3291844123930326
Rv0242c,0.43873011894548497,0.36967210459856803,0.47805363418008695,0.9999999999999999,0.434535741329248,0.45938977028114125,0.3474338718249854,0.34562810581762066,0.3355259151713212,0.36703103335906234,0.3474338718249854,0.44211959175325594,0.39893505319038003,0.3355259151713212,0.4325550274584945,0.40019548938193567,0.3979394365330574,0.3055564711642362,0.4020682100883953,0.352266957981059,0.3695329780259661,0.31724914978875013,0.30600715605582884,0.32732683535398843,0.4161656931754678,0.38611211947741103,0.4325550274584945,0.30060357266247395,0.32641921476071123,0.32957345160897644,0.3042986780533861,0.2909962794931134,0.408884263740896,0.37908636518177435,0.4073565589261297,0.2965688649950206,0.4640432463184662,0.37270679526897965,0.47512234202590786,0.2542857142857142,0.3462320630218759,0.33275986451872547,0.43305103495096026,0.32957345160897644,0.3157874393711108,0.4376798649229707,0.3695329780259661,0.3952616727068883,0.3196667676716281,0.37067000257373967,0.3157874393711108,0.3355259151713212,0.3355259151713212,0.3390490489075214,0.3390490489075214,0.4127743281420101,0.37711479533727527,0.29992838386147597,0.3522669579810589,0.40550272606695326,0.37123459705477235,0.3355259151713212,0.43836640078209754,0.4325550274584945,0.4190896649789862,0.4133812345962276,0.343835992230059,0.3702406127329636,0.37431945220550866,0.33199899791545345,0.36703103335906245,0.391331321835858,0.4072549709342005,0.3522669579810588,0.4047128737506412,0.4239880732846433,0.41041315101879844,0.3498283131945262,0.34863823577998154,0.3608290622803048,0.4578507717505197,0.4325550274584945,0.4325550274584945,0.40770794118599335,0.40959523260203556,0.38903068946405317,0.4190896649789862,0.393844854791565,0.3764550789948716,0.31724914978875013,0.4118809931503579,0.41605041515950375,0.3900210277874799,0.3055564711642362,0.29499851249530185,0.31236189879269555,0.349361481021971,0.29545175666688256,0.3250032791976111,0.3192291575790286
Rv0251c,0.44678234389766186,0.4084248066291241,0.4483293667585956,0.434535741329248,1.0,0.4602260359852699,0.3596389285612792,0.3457020186047537,0.3801533894728721,0.4057399655231719,0.3596389285612792,0.45699880567349016,0.42551393306304613,0.3801533894728721,0.49008810463392927,0.46184604834196585,0.4408409115010162,0.32160405049664015,0.4634703879434242,0.3516349639560849,0.32442091288925495,0.3485424862030572,0.3292506737876546,0.37086377027452644,0.4255890927962607,0.3771668111039834,0.49008810463392927,0.31768107235301546,0.37185715928389795,0.35605704566888874,0.33689739008673913,0.32970097679881866,0.46672647257066097,0.4314882287523838,0.46153804996166164,0.33601475815187887,0.45539149493538056,0.4351668230646855,0.4442537589612424,0.3031316819785475,0.3922835356391018,0.3480074730487585,0.4164408852093983,0.35605704566888874,0.3577895476973515,0.44425375896124236,0.32442091288925495,0.4592654372990989,0.3657151861969628,0.4364140194487431,0.3577895476973515,0.3801533894728721,0.3801533894728721,0.38714657721364987,0.38714657721364987,0.4701457521418528,0.42727390399824244,0.3398211183355004,0.3991211170899247,0.41666583243508604,0.37568011081403785,0.36987650461988697,0.49667243438780934,0.49008810463392927,0.4782920977009472,0.4733099719324526,0.3657151861969628,0.4229504833972975,0.4395387711246242,0.35211919125830554,0.40910961892009223,0.44338133561707127,0.428494694671286,0.3991211170899248,0.3713839842056106,0.40030601909396263,0.3830885568658487,0.37704584683920944,0.3712211448202877,0.3513929390586906,0.4618460483419658,0.49008810463392927,0.49008810463392927,0.46836984492257355,0.47001197008620904,0.45218925291680473,0.4782920977009472,0.4139162724426706,0.43841567916966717,0.3485424862030572,0.4219279192724266,0.43605434222434963,0.43185517580142263,0.34619778364703335,0.3300136424952578,0.3539083844167238,0.37233837130504377,0.33474906600069826,0.3682311636455388,0.36168904035407223
Rv0343,0.4585958914385748,0.4043646928394627,0.47371597486965505,0.45938977028114125,0.4602260359852699,1.0,0.34405425092849873,0.32967880502166924,0.3651865331763731,0.3893419999137818,0.3679192856749844,0.4832182899592602,0.4042600289711137,0.3651865331763731,0.4707930557462951,0.4412776523517782,0.42306441760606645,0.30791138582115973,0.44297893949786205,0.3834074905123329,0.3684487983102087,0.3493626939146015,0.3293473485329679,0.3562626515972126,0.45058414531939806,0.4202445771061851,0.4707930557462951,0.3282278384640388,0.3566443111545002,0.35501935678246554,0.33728255699471404,0.3167204608354978,0.44737190283975753,0.4139393429603431,0.4433670330499862,0.32278566500678113,0.4949859457343215,0.414383980972033,0.48344366244946474,0.2869419180525285,0.3768391085526197,0.37425035801748796,0.45468063918168417,0.35501935678246554,0.34370316863809697,0.4699717926105247,0.3684487983102087,0.4244796334073072,0.3503168667722359,0.4145752127551521,0.34370316863809697,0.3651865331763731,0.3651865331763731,0.37105428744727914,0.37105428744727914,0.4509364514747773,0.4104518861036947,0.3264421666136824,0.38340749051233286,0.43064250790651626,0.39195719684844416,0.3411460403967374,0.4637292811862875,0.4707930557462951,0.45848138153157614,0.45327464387237587,0.37423122419512705,0.40531725856982753,0.41786303471767167,0.3613478350990209,0.3927202385247474,0.4259251589302564,0.4395159037580403,0.38340749051233286,0.39793187794630025,0.41463896685139734,0.4031547866607395,0.3388815748415512,0.36582986711670884,0.36901896022869585,0.48825778264018027,0.4707930557462951,0.4707930557462951,0.44810763165834405,0.4498256424970039,0.4311533343387003,0.458481381531576,0.42527226552176767,0.41778758720757714,0.3493626939146015,0.4496294459236346,0.4474046306621693,0.41443186361554907,0.3325677789660381,0.3250948323093644,0.3399748089748851,0.35348304500804306,0.3215698038792519,0.35373369219640166,0.3474491360393846
Rv0524--Rv0525,0.33303466389532377,0.4113204608986213,0.35826869891679824,0.3474338718249854,0.3596389285612792,0.34405425092849873,1.0,0.46394562003046674,0.4828629882988747,0.4492845548161295,0.4757606537697955,0.3415028401782079,0.31125921214005964,0.4828629882988747,0.36762298369604185,0.345334679302688,0.3174163953358637,0.35744875237720064,0.34661830619178374,0.45860157102586,0.4700986007811355,0.4503067603648481,0.4445210931976213,0.4710635057466034,0.3269404979791786,0.41580043141865675,0.36762298369604185,0.14549361739485814,0.4757664237339668,0.41710669272110884,0.44058707370055983,0.26967854687288617,0.3438344813769437,0.2959430942808827,0.3924521567780216,0.15584991778143722,0.35046876565952023,0.3189051369111655,0.36562569373557435,0.15218177856796886,0.38045690299885215,0.2286740093864022,0.333517206765402,0.41710669272110884,0.39069004738841734,0.34168014697603255,0.4700986007811355,0.3326682320029371,0.47053276700108615,0.3252067617460172,0.39069004738841734,0.4828629882988747,0.4828629882988747,0.2387213438001003,0.23872134380010027,0.34652959704051683,0.4264527250105502,0.16170520543060668,0.24791701135891187,0.2792656893679634,0.41730488363353685,0.468910099020348,0.36228532240006356,0.36762298369604185,0.358321195862531,0.35438936755172135,0.47053276700108615,0.28768679949499454,0.3276830429820659,0.19105198662829034,0.3257604676511627,0.38598584065653385,0.30815207235221526,0.2479170113589119,0.387121389722295,0.40972127957917304,0.39102392173495093,0.4336312228769655,0.46366808170750107,0.45735894654703274,0.3555597487648679,0.36762298369604185,0.36762298369604185,0.3504887564508861,0.35178555727138044,0.3376987849127857,0.3583211958625309,0.2913116283050819,0.321476183890935,0.4503067603648481,0.37438270298372245,0.3141896642266256,0.4215455303608011,0.4397332786800863,0.19606425239658887,0.303822907457567,0.39282338520154786,0.23709093357587968,0.2849296809902554,0.3393243214252925
Rv0526,0.31794707270033395,0.4019876447794084,0.3260439183861694,0.34562810581762066,0.3457020186047537,0.32967880502166924,0.46394562003046674,1.0,0.4713505000221574,0.4370363061196261,0.46394562003046674,0.33384451872464543,0.3443482792028469,0.4713505000221574,0.3538962406678787,0.33099674887543223,0.3048790828239632,0.32239096836000297,0.3323177097848143,0.4467261969489285,0.4337978957119355,0.4382967239148051,0.4321884097052799,0.45983234241681137,0.31164528041853684,0.40316408357707956,0.3538962406678787,0.1361378476309651,0.4641523404478112,0.40424467540789055,0.4284117916858828,0.2603462067876874,0.33021180369981,0.2836480393261834,0.3793227605521469,0.14685941069962832,0.3359348861766532,0.30459642246531465,0.326874320373675,0.14151026664989458,0.36909245580839195,0.2149321565478929,0.29384865346448463,0.40424467540789055,0.3801337760855719,0.326874320373675,0.4337978957119355,0.3179467182012828,0.458841402033086,0.31707179002076175,0.3801337760855719,0.4713505000221574,0.4713505000221574,0.22760248625373738,0.22760248625373744,0.3329756832461367,0.41402184816851917,0.1525949629007733,0.23696329945154868,0.26592547478648043,0.4046982568908069,0.4574586491520673,0.3484191170966428,0.3538962406678787,0.3443486856603413,0.3403090488402472,0.458841402033086,0.2753909433649447,0.3128026478323658,0.1809148675574751,0.3208850170704019,0.3733336978538112,0.292602048328723,0.23696329945154865,0.35591252716462113,0.37237226612027957,0.35315919203283735,0.3967989655635533,0.4518722065495913,0.44524913106007924,0.3411770876761939,0.3538962406678787,0.3538962406678787,0.3362990885395013,0.3376325126320723,0.32313298471623614,0.34434868566034144,0.27612478684622344,0.3072426250069882,0.4382967239148051,0.3608267399444459,0.2988550392305231,0.4087745373132494,0.4292490950951705,0.2008390259269827,0.29374261630230547,0.35574266404803156,0.227776326071257,0.2745778771644815,0.3288963312155133
Rv0527,0.3448155854194128,0.4301382377697699,0.34598938914583044,0.3355259151713212,0.3801533894728721,0.3651865331763731,0.4828629882988747,0.4713505000221574,1.0,0.45708112485828933,0.4828629882988747,0.36274174228991235,0.3325936184055498,0.5,0.3878418858552232,0.3664140543964705,0.32557867000275925,0.34722287257489776,0.36764503970370377,0.47623813072664184,0.4539864303365994,0.4681294249419173,0.4524490523004062,0.4877817488208836,0.338989003757626,0.43449285614945565,0.3878418858552232,0.15916614357871606,0.49304297788306,0.4258341647377273,0.4586385817525256,0.2834450003916995,0.3638784881767496,0.3140188759134564,0.41183320584776206,0.16900515136253294,0.36152440298748983,0.33991508597204706,0.35309423015201596,0.16776295758566062,0.39727455548044316,0.2487717657498847,0.3320864926503524,0.4258341647377273,0.4063500949071519,0.353094230152016,0.4539864303365994,0.3542890031245187,0.487915638201749,0.3471660937868107,0.4063500949071519,0.5,0.5,0.25503816861841444,0.25503816861841444,0.3664769861076677,0.44485912422401863,0.17503952971050513,0.2640045978925896,0.2988349801923207,0.4359558977202097,0.47540292353823077,0.3827003102572446,0.3878418858552232,0.3788857572659433,0.3751057090527005,0.487915638201749,0.30575524300214535,0.3495283307919988,0.20590075497443625,0.34301823072396087,0.4046704146719955,0.33094514169139466,0.26400459789258945,0.37385318215143976,0.39567848285447665,0.37762195869056736,0.4187689361961336,0.4811949475660256,0.4649374873671795,0.3664140543964705,0.3878418858552232,0.3878418858552232,0.3713591370838379,0.3726043371927671,0.3590996646753668,0.3788857572659433,0.313562424821225,0.34238014902938574,0.4681294249419173,0.39436171627001276,0.3366776093421816,0.4301382377697698,0.45533959874338975,0.21383701829779056,0.3187055838231328,0.37836970584945406,0.25079822217585696,0.30018535900315685,0.354746093863396
Rv0528,0.3771929824561421,0.3827171011104304,0.37847700367533,0.36703103335906234,0.4057399655231719,0.3893419999137818,0.4492845548161295,0.4370363061196261,0.45708112485828933,0.9999999999999999,0.4492845548161295,0.3866617470259853,0.35632209181676117,0.45708112485828933,0.414157139408733,0.3906875596227888,0.3667326386426302,0.3914392497971527,0.3920367931961559,0.43197373348142404,0.4184879178715198,0.4233655898737584,0.4168410697641987,0.44591166087278583,0.37081929806522185,0.46515012683141876,0.414157139408733,0.205412722409795,0.4497474612626517,0.3881993918244416,0.41326179629917686,0.3315564800263452,0.3905853044964544,0.34586161608373234,0.4403971441146308,0.21786359968781263,0.39547071988542176,0.3643456550341348,0.38624897304771555,0.2065616513323097,0.3549254318330788,0.27524454592492276,0.35300779662417653,0.3881993918244416,0.3670056846019211,0.38624897304771555,0.4184879178715198,0.3773909753394776,0.44433358595491673,0.3695737456527707,0.3670056846019211,0.45708112485828933,0.45708112485828933,0.2920687654690919,0.2920687654690919,0.3934287905385227,0.3985340861862932,0.22314133505440603,0.30192301352979944,0.32660460973455524,0.3889787244837441,0.44325531950867375,0.40852873607267864,0.414157139408733,0.4043517860038601,0.40021156066623537,0.4443335859549166,0.33757789415108164,0.37216677101773676,0.24784597921636808,0.37760097919216623,0.3575297220871667,0.3517529735954729,0.3019230135297995,0.4089571432941445,0.43283178995539384,0.41307979935470174,0.4580903842025472,0.4372253656279532,0.4301967424286413,0.40081949840968684,0.414157139408733,0.414157139408733,0.3961069301988325,0.3974712539260421,0.382667960398824,0.40435178600386007,0.3354493667858473,0.3670463691200266,0.4233655898737584,0.3438607441598849,0.35805393201784075,0.470527237263547,0.41625427197230247,0.24608907662945437,0.3621401052030529,0.416538944983445,0.21610160698875558,0.2616212426011523,0.31588845202511384
