feature1,Rv0024,Rv0113,Rv0241c,Rv0242c,Rv0251c,Rv0343,Rv0524--Rv0525,Rv0526,Rv0527,Rv0528,Rv0529,Rv0597c,Rv0655,Rv0672--Rv2518c,Rv0676c--Rv2829c,Rv0677c,Rv0690c,Rv0694,Rv0930,Rv0967,Rv0968,Rv1037c,Rv1038c--Rv3620c,Rv1047--Rv1199c--Rv2512c--Rv3023c--Rv3115,Rv1057,Rv1065,Rv1073,Rv1076,Rv1179c,Rv1197--Rv2347c,Rv1198,Rv1346,Rv1347c,Rv1389,Rv1471,Rv1472,Rv1478,Rv1493,Rv1566c,Rv1576c,Rv1605,Rv1672c,Rv1679,Rv1792,Rv1794,Rv1815,Rv1957,Rv2050,Rv2053c,Rv2226,Rv2301,Rv2396,Rv2447c--Rv3422c,Rv2450c,Rv2451,Rv2503c,Rv2552c,Rv2592c,Rv2593c,Rv2600,Rv2604c,Rv2609c,Rv2694c,Rv2698,Rv2699c--Rv3524,Rv2745c,Rv2761c,Rv2827c,Rv2848c,Rv2894c,Rv2958c,Rv2959c,Rv3122,Rv3137,Rv3145,Rv3146,Rv3147,Rv3151,Rv3152,Rv3154,Rv3173c,Rv3549c,Rv3550,Rv3551,Rv3552,Rv3561,Rv3566A,Rv3566c,Rv3599c,Rv3619c,Rv3756c,Rv3757c,Rv3758c,Rv3831,Rv3853,Rv3862c,Rv3865,Rv3879c,Rv3881c,Rv3913
Rv0024,0.0,-0.0050000000000000044,0.010833333333333361,0.011666666666666659,0.0,0.0,-0.03666666666666668,-0.035833333333333384,-0.03333333333333338,-0.01666666666666672,-0.041666666666666685,0.0050000000000000044,0.026666666666666672,-0.03333333333333338,0.0,0.01416666666666666,0.0,-0.05500000000000005,0.013333333333333308,-0.04500000000000004,-0.0566666666666667,-0.04750000000000004,-0.06,-0.027500000000000024,0.006666666666666654,-0.025833333333333375,0.0,-0.06,-0.03666666666666668,-0.04583333333333334,-0.06,-0.054166666666666696,0.0,0.0,0.0,-0.050000000000000044,0.0,0.021666666666666667,0.009166666666666656,-0.031666666666666676,-0.025833333333333375,0.0,0.01749999999999996,-0.04583333333333334,-0.035833333333333384,0.009166666666666656,-0.0566666666666667,0.01583333333333331,-0.03916666666666668,0.02416666666666667,-0.035833333333333384,-0.03333333333333338,-0.03333333333333338,-0.011666666666666714,-0.015000000000000013,0.0,-0.0050000000000000044,-0.04750000000000004,-0.010000000000000009,-0.007500000000000007,-0.03666666666666668,-0.03333333333333338,0.0,0.0,0.0,0.0,-0.03916666666666668,0.0,0.02583333333333332,-0.035833333333333384,-0.009166666666666712,0.0,0.007499999999999951,-0.020000000000000018,-0.01666666666666672,-0.01666666666666672,-0.01666666666666672,-0.020000000000000018,-0.04250000000000004,-0.05750000000000005,0.0,0.0,0.0,0.010833333333333306,0.009999999999999953,0.019166666666666665,0.0,0.014999999999999958,0.020000000000000018,-0.04750000000000004,-0.0050000000000000044,0.01416666666666666,-0.0016666666666667052,-0.05500000000000005,-0.00833333333333336,-0.03833333333333333,-0.004166666666666707,-0.05083333333333334,-0.029166666666666674,-0.04500000000000004
Rv0113,-0.0050000000000000044,0.0,-0.009166666666666656,-0.0016666666666666496,-0.03333333333333338,-0.03250000000000003,-0.02833333333333332,-0.0008333333333333526,-0.020000000000000018,-0.02250000000000002,-0.02833333333333332,-0.01749999999999996,-0.012500000000000011,-0.020000000000000018,0.0,-0.03249999999999997,0.0,-0.06083333333333335,-0.033333333333333326,-0.023333333333333317,-0.02833333333333332,-0.023333333333333317,0.0050000000000000044,-0.01416666666666666,-0.0008333333333332971,-0.024999999999999967,0.0,-0.0016666666666666496,-0.023333333333333317,-0.023333333333333317,0.0025000000000000022,-0.05083333333333334,0.0,0.0,0.0,0.03916666666666668,-0.03250000000000003,-0.012500000000000011,-0.01416666666666666,0.00833333333333336,-0.012500000000000011,-0.009166666666666656,0.0008333333333333526,-0.023333333333333317,-0.02999999999999997,-0.010833333333333306,-0.02833333333333332,-0.011666666666666659,-0.02583333333333332,-0.010833333333333361,-0.02250000000000002,-0.020000000000000018,-0.020000000000000018,-0.03749999999999998,-0.0016666666666666496,0.0,0.0,-0.03999999999999998,0.0,-0.013333333333333308,-0.02749999999999997,-0.020000000000000018,0.0,0.0,0.0,-0.031666666666666676,-0.02583333333333332,-0.0016666666666666496,-0.008333333333333304,-0.06166666666666665,0.0,0.0,0.0050000000000000044,0.0,-0.02833333333333332,-0.020000000000000018,-0.02833333333333332,-0.02749999999999997,-0.029166666666666674,-0.02833333333333332,-0.03249999999999997,0.0,0.0,-0.023333333333333317,-0.03416666666666668,-0.014999999999999958,-0.033333333333333326,0.0058333333333333015,-0.01416666666666666,-0.023333333333333317,-0.013333333333333364,0.0008333333333333526,0.0,-0.041666666666666685,-0.04249999999999998,-0.026666666666666672,-0.023333333333333317,-0.03833333333333333,-0.01583333333333331,-0.031666666666666676
Rv0241c,0.010833333333333361,-0.009166666666666656,0.0,0.0,0.0,0.0,-0.04249999999999998,-0.03833333333333333,-0.03416666666666668,-0.017500000000000016,-0.04249999999999998,0.0,0.025000000000000022,-0.03416666666666668,0.0,0.01416666666666666,0.0,-0.055833333333333346,0.013333333333333308,-0.04583333333333334,-0.060833333333333295,-0.03999999999999998,-0.04249999999999998,-0.02833333333333332,0.01416666666666666,-0.02999999999999997,0.0,-0.05416666666666664,-0.03749999999999998,-0.02749999999999997,-0.03999999999999998,-0.05499999999999999,0.0,0.0,0.0,-0.05083333333333334,0.0,0.021666666666666667,0.0,-0.03249999999999997,-0.026666666666666672,-0.0008333333333332971,0.007500000000000007,-0.02749999999999997,-0.03666666666666668,0.009166666666666656,-0.060833333333333295,0.019166666666666665,-0.03999999999999998,0.02583333333333332,-0.03666666666666668,-0.03416666666666668,-0.03416666666666668,-0.012500000000000011,-0.01583333333333331,0.0,-0.0058333333333333015,-0.04833333333333334,-0.010833333333333306,-0.008333333333333304,-0.03416666666666668,-0.03416666666666668,0.0,0.0,0.0,0.0,-0.03999999999999998,0.0,0.02583333333333332,-0.03666666666666668,-0.004166666666666652,0.0,0.013333333333333364,-0.010833333333333306,-0.02833333333333332,-0.023333333333333317,-0.02833333333333332,-0.026666666666666672,-0.043333333333333335,-0.060833333333333295,0.0,0.0,0.0,0.010833333333333306,0.009999999999999953,0.019166666666666665,0.0,0.019166666666666665,0.020000000000000018,-0.03999999999999998,-0.0058333333333333015,0.013333333333333364,-0.0025000000000000022,-0.055833333333333346,-0.01416666666666666,-0.03916666666666663,-0.0025000000000000022,-0.05166666666666664,-0.02999999999999997,-0.04583333333333334
Rv0242c,0.011666666666666659,-0.0016666666666666496,0.0,0.0,0.0,0.0,-0.034999999999999976,-0.03833333333333333,-0.026666666666666672,-0.010000000000000009,-0.034999999999999976,0.0050000000000000044,0.017500000000000016,-0.026666666666666672,0.0,0.01416666666666666,0.0,-0.04833333333333334,0.013333333333333308,-0.03833333333333333,-0.04999999999999999,-0.03249999999999997,-0.034999999999999976,-0.020833333333333315,0.019166666666666665,-0.022499999999999964,0.0,-0.04749999999999999,-0.02999999999999997,-0.019999999999999962,-0.03249999999999997,-0.04749999999999999,0.0,0.0,0.0,-0.043333333333333335,0.0,0.021666666666666667,0.0,-0.024999999999999967,-0.019166666666666665,0.00666666666666671,0.015000000000000013,-0.019999999999999962,-0.029166666666666674,0.009166666666666656,-0.04999999999999999,0.019166666666666665,-0.03249999999999997,0.02749999999999997,-0.029166666666666674,-0.026666666666666672,-0.026666666666666672,-0.0058333333333333015,-0.008333333333333304,0.0,0.0,-0.04083333333333333,-0.0033333333333332993,-0.0008333333333332971,-0.02749999999999997,-0.026666666666666672,0.0,0.0,0.0,0.0,-0.03249999999999997,0.0,0.02583333333333332,-0.029166666666666674,0.0,0.0,0.02083333333333337,-0.0033333333333332993,-0.019166666666666665,-0.01583333333333331,-0.019166666666666665,-0.019166666666666665,-0.03583333333333333,-0.04416666666666663,0.0,0.0,0.0,0.010833333333333306,0.009999999999999953,0.019166666666666665,0.0,0.024999999999999967,0.020000000000000018,-0.03249999999999997,0.0,0.020000000000000018,0.0,-0.04833333333333334,-0.006666666666666654,-0.03166666666666662,0.0050000000000000044,-0.04416666666666663,-0.022499999999999964,-0.03833333333333333
Rv0251c,0.0,-0.03333333333333338,0.0,0.0,0.0,0.004999999999999949,0.0,0.0,-0.06083333333333335,-0.04250000000000004,0.0,0.0,0.010833333333333306,-0.06083333333333335,0.0,0.004999999999999949,-0.025833333333333375,0.0,0.004999999999999949,0.0,0.0,0.0,0.0,-0.05833333333333335,0.0,-0.04250000000000004,0.0,0.0033333333333332993,0.0,0.0,0.0,-0.08666666666666667,0.0,-0.014166666666666716,-0.010000000000000009,-0.08250000000000002,0.0,0.010833333333333306,0.0,0.0,-0.053333333333333344,-0.02250000000000002,0.0,0.0,-0.06833333333333336,0.0,0.0,0.0,-0.0016666666666667052,0.004999999999999949,-0.06833333333333336,-0.06083333333333335,-0.06083333333333335,0.010833333333333306,-0.04833333333333334,0.0025000000000000022,-0.03333333333333338,-0.08000000000000002,-0.03416666666666668,-0.02083333333333337,0.0,0.0,0.0,0.0,-0.0008333333333333526,0.004999999999999949,-0.0008333333333333526,-0.02250000000000002,0.0,-0.06583333333333335,-0.03333333333333338,-0.00833333333333336,0.0,-0.04083333333333339,-0.027500000000000024,-0.027500000000000024,0.0,0.0,0.0,0.0,0.004999999999999949,0.0,0.0,0.0016666666666666496,0.004999999999999949,0.0,0.004999999999999949,0.0,0.010833333333333306,0.0,-0.018333333333333368,0.0,-0.030000000000000027,0.0,-0.041666666666666685,0.0033333333333332993,-0.027500000000000024,-0.08250000000000002,-0.0616666666666667,0.0
Rv0343,0.0,-0.03250000000000003,0.0,0.0,0.004999999999999949,0.0,-0.06,-0.003333333333333355,-0.06,-0.041666666666666685,0.0,0.0,0.020833333333333315,-0.06,0.0,0.01416666666666666,-0.010833333333333361,-0.07916666666666666,0.013333333333333308,0.0,0.0,0.0,0.0,-0.041666666666666685,0.0,0.0,0.0,-0.0008333333333333526,-0.06,-0.04583333333333334,0.0,-0.08166666666666667,0.0,-0.004166666666666707,0.0,-0.07916666666666666,0.0,0.020833333333333315,0.0,0.009166666666666656,-0.051666666666666694,-0.021666666666666667,0.0,-0.04583333333333334,-0.050000000000000044,0.0,0.0,0.014999999999999958,-0.06,0.014999999999999958,-0.050000000000000044,-0.06,-0.06,-0.03500000000000003,-0.029166666666666674,0.0,-0.019166666666666665,-0.07500000000000001,-0.02416666666666667,-0.021666666666666667,0.0,-0.06,0.0,0.0,0.0,0.008333333333333304,-0.06083333333333335,-0.00833333333333336,0.014999999999999958,-0.0616666666666667,-0.02416666666666667,0.0,0.0,-0.02416666666666667,0.0,-0.028333333333333377,0.0,-0.041666666666666685,-0.0008333333333333526,0.0,-0.0033333333333332993,0.0,0.0,0.010833333333333306,0.009999999999999953,0.014999999999999958,0.0058333333333333015,0.009166666666666656,0.020000000000000018,0.0,-0.019166666666666665,0.0,-0.015833333333333366,-0.08083333333333337,-0.04083333333333333,0.011666666666666659,-0.007500000000000007,-0.07916666666666666,-0.043333333333333335,-0.07
Rv0524--Rv0525,-0.03666666666666668,-0.02833333333333332,-0.04249999999999998,-0.034999999999999976,0.0,-0.06,0.0,0.0,0.0,-0.0008333333333332971,-0.005833333333333357,-0.05833333333333329,-0.03583333333333333,0.0,0.0,-0.06,0.0,-0.031666666666666676,-0.059166666666666645,-0.011666666666666659,0.0,0.0,0.0,0.0,-0.03249999999999997,-0.019166666666666665,0.0,-0.08250000000000002,0.0,0.0,0.0,-0.02416666666666667,0.0,0.0,0.0,-0.016666666666666663,-0.06,-0.057499999999999996,-0.06,0.0058333333333333015,0.0,-0.021666666666666667,-0.02999999999999997,0.0,0.0,-0.05833333333333335,0.0,-0.040000000000000036,0.0,-0.03500000000000003,0.0,0.0,0.0,-0.0616666666666667,0.0,0.0,0.0,-0.015833333333333366,0.0,-0.04166666666666663,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,-0.009999999999999953,0.0,0.0,-0.023333333333333373,-0.0050000000000000044,-0.0050000000000000044,-0.019166666666666665,-0.007500000000000007,-0.003333333333333355,-0.009166666666666656,0.0,-0.0008333333333332971,0.0,0.0,-0.06083333333333335,-0.0616666666666667,-0.043333333333333335,0.0,-0.02250000000000002,-0.04249999999999998,0.0,-0.041666666666666685,-0.027500000000000024,0.0,-0.013333333333333364,-0.03999999999999998,-0.00833333333333336,-0.017500000000000016,-0.017500000000000016,0.0,-0.031666666666666676
Rv0526,-0.035833333333333384,-0.0008333333333333526,-0.03833333333333333,-0.03833333333333333,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,-0.059166666666666645,-0.059166666666666645,0.0,0.0,-0.0033333333333332993,0.0,-0.007500000000000007,-0.003333333333333355,0.0,0.011666666666666659,0.01416666666666666,0.011666666666666659,0.0,-0.031666666666666676,-0.018333333333333368,0.0,-0.07749999999999996,0.0,0.006666666666666654,0.01416666666666666,-0.006666666666666654,0.0,0.0,0.0,-0.0025000000000000022,-0.06,-0.057499999999999996,-0.059166666666666645,-0.05249999999999999,0.0,-0.020833333333333315,-0.02416666666666667,0.006666666666666654,0.0,-0.05833333333333335,0.011666666666666659,-0.040000000000000036,0.0,-0.03666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04083333333333333,-0.013333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,-0.004999999999999949,0.0,0.0,-0.023333333333333373,0.0,-0.0008333333333333526,-0.030000000000000027,-0.0016666666666667052,0.0024999999999999467,0.0,0.00833333333333336,0.0,0.0,0.0,-0.059166666666666645,-0.003333333333333355,-0.043333333333333335,0.0,-0.02250000000000002,-0.04249999999999998,0.01416666666666666,0.0,-0.027500000000000024,0.0,-0.007500000000000007,-0.034999999999999976,0.0,-0.011666666666666659,-0.0033333333333332993,0.0,0.0
Rv0527,-0.03333333333333338,-0.020000000000000018,-0.03416666666666668,-0.026666666666666672,-0.06083333333333335,-0.06,0.0,0.0,0.0,-0.019166666666666665,0.0,-0.04583333333333334,-0.041666666666666685,0.0,0.0,-0.06,-0.0625,-0.004999999999999949,-0.059166666666666645,0.0,0.0,0.0,0.0,-0.005833333333333357,-0.029166666666666674,-0.004166666666666707,0.0,-0.0058333333333333015,0.0,0.0,0.0,0.03416666666666668,0.0,-0.0050000000000000044,0.0,0.0625,-0.04500000000000004,-0.04666666666666669,-0.03916666666666668,0.0,-0.02833333333333332,-0.01416666666666666,-0.02416666666666667,0.0,-0.007499999999999951,-0.03916666666666668,0.0,-0.040000000000000036,0.0,-0.03500000000000003,-0.007499999999999951,0.0,0.0,-0.015000000000000013,-0.0050000000000000044,0.0,-0.028333333333333377,0.0625,-0.004166666666666707,-0.03999999999999998,0.0,0.0,0.0,0.0,0.0,-0.059166666666666645,0.0,-0.0675,-0.03666666666666668,0.0566666666666667,-0.005833333333333357,0.0,-0.023333333333333373,-0.0050000000000000044,0.0,-0.010833333333333361,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,-0.05833333333333335,-0.0616666666666667,-0.043333333333333335,-0.06166666666666665,-0.028333333333333377,-0.04833333333333334,0.0,-0.028333333333333377,-0.027500000000000024,-0.03416666666666668,-0.021666666666666667,0.0,-0.043333333333333335,-0.015000000000000013,0.043333333333333335,-0.004166666666666707,-0.03916666666666663
Rv0528,-0.01666666666666672,-0.02250000000000002,-0.017500000000000016,-0.010000000000000009,-0.04250000000000004,-0.041666666666666685,-0.0008333333333332971,0.0,-0.019166666666666665,0.0,0.0,-0.029166666666666674,-0.025000000000000022,-0.019166666666666665,0.0,-0.04166666666666663,-0.043333333333333335,-0.04583333333333328,-0.04083333333333333,-0.0008333333333332971,0.0,0.0,0.0,-0.019166666666666665,-0.012500000000000011,0.0,0.0,-0.006666666666666654,-0.019166666666666665,0.0,0.0,-0.05833333333333329,0.0,0.0,0.0,0.043333333333333335,-0.028333333333333377,-0.021666666666666667,-0.02250000000000002,0.0,-0.03999999999999998,-0.022499999999999964,-0.007500000000000007,0.0,-0.04166666666666663,-0.02250000000000002,0.0,-0.023333333333333373,-0.019166666666666665,-0.018333333333333368,-0.04166666666666663,-0.019166666666666665,-0.019166666666666665,-0.043333333333333335,-0.04999999999999999,0.0,-0.028333333333333377,0.043333333333333335,-0.00666666666666671,-0.024166666666666614,-0.0016666666666666496,-0.019166666666666665,0.0,0.0,0.0,-0.04083333333333333,-0.019166666666666665,-0.043333333333333335,-0.020000000000000018,-0.06666666666666665,-0.03583333333333333,0.0,-0.00666666666666671,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,-0.04166666666666663,0.0,0.0,-0.03500000000000003,-0.04250000000000004,-0.026666666666666672,-0.04249999999999998,-0.011666666666666714,-0.023333333333333317,0.0,-0.031666666666666676,-0.010833333333333361,-0.015000000000000013,-0.03999999999999998,0.0,-0.04083333333333333,0.0,0.043333333333333335,-0.019166666666666665,-0.057499999999999996
