sample,time (h),avg_DO,DO_reactor_A,DO_reactor_B,DO_reactor_C
T0,0,81.62,,,
T1,17.3,57.63,57.63,59.56,57.89
T2,23.3,,42.77,44.9,42.92
T3,41.4,11.51,11.51,13.06,11.84
T4,42.2,8.82,8.82,9.3,9.57
T5,43.2,7.49,7.49,8.48,8.81
T6,44.2,6.13,6.13,6.5,6.91
T7,45.2,4.31,4.31,4.29,4.89
T8,46.2,2.93,2.93,1.16,4.26
T9,47.2,0.41,0.41,0.03,4.39
T10,48.3,0,-0.26,-0.19,-0.19
T11,49.3,0,-0.26,-0.19,-0.22
T12,50.2,0,-0.23,-0.16,-0.21
T13,51.2,0,-0.22,-0.16,-0.21
T14,53.6,0,-0.11,-0.07,-0.1
T15,54.9,0,-0.17,-0.12,-0.15
T16,65.3,0,0.06,0.07,0.05
T17,71.2,0,0.06,0.07,0.04
T18,89.3,0,0.07,0.05,0.04
T19,95.4,0,0.03,0.08,-0.01
T20,113.5,0,0.06,0.03,0.02
T21,115.1,0.45,0.45,0.57,0.71
T22,115.4,3.84,3.84,3.82,3.97
T23,116.1,6,6,5.9,5.91
T24,116.9,10.89,10.89,11.17,11.97
T25,120.4,46.92,46.92,48.55,47.94
