TF,Gene,Input
Rv0022c,Rv0029,1
Rv0022c,Rv0030,1
Rv0022c,Rv0031,1
Rv0022c,Rv0069c,1
Rv0022c,Rv0070c,1
Rv0022c,Rv0095c,1
Rv0022c,Rv0122,1
Rv0022c,Rv0123,1
Rv0022c,Rv0167,1
Rv0022c,Rv0168,1
Rv0022c,Rv0169,1
Rv0022c,Rv0170,1
Rv0022c,Rv0171,1
Rv0022c,Rv0172,1
Rv0022c,Rv0173,1
Rv0022c,Rv0174,1
Rv0022c,Rv0175,1
Rv0022c,Rv0176,1
Rv0022c,Rv0177,1
Rv0022c,Rv0178,1
Rv0022c,Rv0218,1
Rv0022c,Rv0219,1
Rv0022c,Rv0220,1
Rv0022c,Rv0309,1
Rv0022c,Rv0350,1
Rv0022c,Rv0351,1
Rv0022c,Rv0352,1
Rv0022c,Rv0353,1
Rv0022c,Rv0378,1
Rv0022c,Rv0421c,1
Rv0022c,Rv0422c,1
Rv0022c,Rv0423c,1
Rv0022c,Rv0460,1
Rv0022c,Rv0461,1
Rv0022c,Rv0578c,1
Rv0022c,Rv0579,1
Rv0022c,Rv0738,1
Rv0022c,Rv1285,1
Rv0022c,Rv1286,1
Rv0022c,Rv1290c,1
Rv0022c,Rv1308,1
Rv0022c,Rv1309,1
Rv0022c,Rv1310,1
Rv0022c,Rv1311,1
Rv0022c,Rv1312,1
Rv0022c,Rv1329c,1
Rv0022c,Rv1330c,1
Rv0022c,Rv1469,1
Rv0022c,Rv1511,1
Rv0022c,Rv1512,1
Rv0022c,Rv1513,1
Rv0022c,Rv1640c,1
Rv0022c,Rv1646,1
Rv0022c,Rv1795,1
Rv0022c,Rv1796,1
Rv0022c,Rv1797,1
Rv0022c,Rv1798,1
Rv0022c,Rv1904,1
Rv0022c,Rv2026c,1
Rv0022c,Rv2027c,1
Rv0022c,Rv2077A,1
Rv0022c,Rv2078,1
Rv0022c,Rv2079,1
Rv0022c,Rv2080,1
Rv0022c,Rv2109c,1
Rv0022c,Rv2110c,1
Rv0022c,Rv2111c,1
Rv0022c,Rv2173,1
Rv0022c,Rv2174,1
Rv0022c,Rv2238c,1
Rv0022c,Rv2239c,1
Rv0022c,Rv2240c,1
Rv0022c,Rv2409c,1
Rv0022c,Rv2410c,1
Rv0022c,Rv2411c,1
Rv0022c,Rv2631,1
Rv0022c,Rv2654c,1
Rv0022c,Rv2655c,1
Rv0022c,Rv2656c,1
Rv0022c,Rv2657c,1
Rv0022c,Rv2658c,1
Rv0022c,Rv2659c,1
Rv0022c,Rv2796c,1
Rv0022c,Rv2797c,1
Rv0022c,Rv2798c,1
Rv0022c,Rv2799,1
Rv0022c,Rv2800,1
Rv0022c,Rv2819c,1
Rv0022c,Rv2820c,1
Rv0022c,Rv2821c,1
Rv0022c,Rv2822c,1
Rv0022c,Rv2823c,1
Rv0022c,Rv2824c,1
Rv0022c,Rv2930,1
Rv0022c,Rv2931,1
Rv0022c,Rv2932,1
Rv0022c,Rv2933,1
Rv0022c,Rv2934,1
Rv0022c,Rv2935,1
Rv0022c,Rv2936,1
Rv0022c,Rv2937,1
Rv0022c,Rv2938,1
Rv0022c,Rv2943,1
Rv0022c,Rv2943A,1
Rv0022c,Rv2944,1
Rv0022c,Rv3060c,1
Rv0022c,Rv3103c,1
Rv0022c,Rv3104c,1
Rv0022c,Rv3105c,1
Rv0022c,Rv3139,1
Rv0022c,Rv3140,1
Rv0022c,Rv3160c,1
Rv0022c,Rv3161c,1
Rv0022c,Rv3216,1
Rv0022c,Rv3361c,1
Rv0022c,Rv3362c,1
Rv0022c,Rv3363c,1
Rv0022c,Rv3364c,1
Rv0022c,Rv3365c,1
Rv0022c,Rv3450c,1
Rv0022c,Rv3451,1
Rv0022c,Rv3468c,1
Rv0022c,Rv3469c,1
Rv0022c,Rv3492c,1
Rv0022c,Rv3493c,1
Rv0022c,Rv3494c,1
Rv0022c,Rv3495c,1
Rv0022c,Rv3496c,1
Rv0022c,Rv3497c,1
Rv0022c,Rv3498c,1
Rv0022c,Rv3499c,1
Rv0022c,Rv3500c,1
Rv0022c,Rv3501c,1
Rv0022c,Rv3511,1
Rv0022c,Rv3512,1
Rv0022c,Rv3577,1
Rv0022c,Rv3578,1
Rv0022c,Rv3631,1
Rv0022c,Rv3632,1
Rv0023,Rv0002,1
Rv0023,Rv0003,1
Rv0023,Rv0004,1
Rv0023,Rv0005,1
Rv0023,Rv0006,1
Rv0023,Rv0055,1
Rv0023,Rv0056,1
Rv0023,Rv0057,1
Rv0023,Rv0058,1
Rv0023,Rv0096,1
Rv0023,Rv0097,1
Rv0023,Rv0098,1
Rv0023,Rv0099,1
Rv0023,Rv0100,1
Rv0023,Rv0101,1
Rv0023,Rv0113,1
Rv0023,Rv0114,1
Rv0023,Rv0115,1
Rv0023,Rv0145,1
Rv0023,Rv0147,1
Rv0023,Rv0167,1
Rv0023,Rv0168,1
Rv0023,Rv0169,1
Rv0023,Rv0170,1
Rv0023,Rv0171,1
Rv0023,Rv0172,1
Rv0023,Rv0173,1
Rv0023,Rv0174,1
Rv0023,Rv0175,1
Rv0023,Rv0176,1
Rv0023,Rv0177,1
Rv0023,Rv0178,1
Rv0023,Rv0229c,1
Rv0023,Rv0230c,1
Rv0023,Rv0244c,1
Rv0023,Rv0245,1
Rv0023,Rv0258c,1
Rv0023,Rv0259c,1
Rv0023,Rv0260c,1
Rv0023,Rv0268c,1
Rv0023,Rv0323c,1
Rv0023,Rv0324,1
Rv0023,Rv0325,1
Rv0023,Rv0326,1
Rv0023,Rv0328,1
Rv0023,Rv0354c,1
Rv0023,Rv0363c,1
Rv0023,Rv0364,1
Rv0023,Rv0379,1
Rv0023,Rv0404,1
Rv0023,Rv0405,1
Rv0023,Rv0410c,1
Rv0023,Rv0411c,1
Rv0023,Rv0412c,1
Rv0023,Rv0413,1
Rv0023,Rv0424c,1
Rv0023,Rv0426c,1
Rv0023,Rv0456A,1
Rv0023,Rv0475,1
Rv0023,Rv0657c,1
Rv0023,Rv0668,1
Rv0023,Rv0685,1
Rv0023,Rv0690c,1
Rv0023,Rv0691c,1
Rv0023,Rv0692,1
Rv0023,Rv0693,1
Rv0023,Rv0694,1
Rv0023,Rv0718,1
Rv0023,Rv0719,1
Rv0023,Rv0720,1
Rv0023,Rv0721,1
Rv0023,Rv0722,1
Rv0023,Rv0723,1
Rv0023,Rv0724,1
Rv0023,Rv0789c,1
Rv0023,Rv0790c,1
Rv0023,Rv0791c,1
Rv0023,Rv0792c,1
Rv0023,Rv0915c,1
Rv0023,Rv0916c,1
Rv0023,Rv0961,1
Rv0023,Rv1019,1
Rv0023,Rv1032c,1
Rv0023,Rv1033c,1
Rv0023,Rv1044,1
Rv0023,Rv1045,1
Rv0023,Rv1052,1
Rv0023,Rv1056,1
Rv0023,Rv1075c,1
Rv0023,Rv1087A,1
Rv0023,Rv1089A,1
Rv0023,Rv1090,1
Rv0023,Rv1091,1
Rv0023,Rv1115,1
Rv0023,Rv1116,1
Rv0023,Rv1129c,1
Rv0023,Rv1130,1
Rv0023,Rv1131,1
Rv0023,Rv1132,1
Rv0023,Rv1157c,1
Rv0023,Rv1158c,1
Rv0023,Rv1159,1
Rv0023,Rv1168c,1
Rv0023,Rv1169c,1
Rv0023,Rv1170,1
Rv0023,Rv1184c,1
Rv0023,Rv1203c,1
Rv0023,Rv1204c,1
Rv0023,Rv1205,1
Rv0023,Rv1221,1
Rv0023,Rv1229c,1
Rv0023,Rv1230c,1
Rv0023,Rv1325c,1
Rv0023,Rv1326c,1
Rv0023,Rv1327c,1
Rv0023,Rv1331,1
Rv0023,Rv1332,1
Rv0023,Rv1333,1
Rv0023,Rv1334,1
Rv0023,Rv1335,1
Rv0023,Rv1336,1
Rv0023,Rv1337,1
Rv0023,Rv1338,1
Rv0023,Rv1339,1
Rv0023,Rv1340,1
Rv0023,Rv1341,1
Rv0023,Rv1392,1
Rv0023,Rv1435c,1
Rv0023,Rv1497,1
Rv0023,Rv1503c,1
Rv0023,Rv1504c,1
Rv0023,Rv1533,1
Rv0023,Rv1534,1
Rv0023,Rv1638A,1
Rv0023,Rv1645c,1
Rv0023,Rv1702c,1
Rv0023,Rv1706c,1
Rv0023,Rv1740,1
Rv0023,Rv1741,1
Rv0023,Rv1742,1
Rv0023,Rv1795,1
Rv0023,Rv1796,1
Rv0023,Rv1797,1
Rv0023,Rv1798,1
Rv0023,Rv1805c,1
Rv0023,Rv1827,1
Rv0023,Rv1828,1
Rv0023,Rv1843c,1
Rv0023,Rv1844c,1
Rv0023,Rv1845c,1
Rv0023,Rv1846c,1
Rv0023,Rv1847,1
Rv0023,Rv1871c,1
Rv0023,Rv1872c,1
Rv0023,Rv1873,1
Rv0023,Rv1874,1
Rv0023,Rv1875,1
Rv0023,Rv1882c,1
Rv0023,Rv1883c,1
Rv0023,Rv1884c,1
Rv0023,Rv1885c,1
Rv0023,Rv1886c,1
Rv0023,Rv1901,1
Rv0023,Rv1918c,1
Rv0023,Rv1936,1
Rv0023,Rv1937,1
Rv0023,Rv1938,1
Rv0023,Rv1939,1
Rv0023,Rv1940,1
Rv0023,Rv1941,1
Rv0023,Rv1952,1
Rv0023,Rv1953,1
Rv0023,Rv1954c,1
Rv0023,Rv1963c,1
Rv0023,Rv1981c,1
Rv0023,Rv1986,1
Rv0023,Rv1994c,1
Rv0023,Rv1995,1
Rv0023,Rv2000,1
Rv0023,Rv2001,1
Rv0023,Rv2016,1
Rv0023,Rv2017,1
Rv0023,Rv2034,1
Rv0023,Rv2035,1
Rv0023,Rv2036,1
Rv0023,Rv2081c,1
Rv0023,Rv2107,1
Rv0023,Rv2108,1
Rv0023,Rv2109c,1
Rv0023,Rv2110c,1
Rv0023,Rv2111c,1
Rv0023,Rv2162c,1
Rv0023,Rv2243,1
Rv0023,Rv2254c,1
Rv0023,Rv2255c,1
Rv0023,Rv2292c,1
Rv0023,Rv2293c,1
Rv0023,Rv2294,1
Rv0023,Rv2319c,1
Rv0023,Rv2320c,1
Rv0023,Rv2321c,1
Rv0023,Rv2322c,1
Rv0023,Rv2323c,1
Rv0023,Rv2412,1
Rv0023,Rv2452c,1
Rv0023,Rv2453c,1
Rv0023,Rv2454c,1
Rv0023,Rv2455c,1
Rv0023,Rv2460c,1
Rv0023,Rv2461c,1
Rv0023,Rv2462c,1
Rv0023,Rv2463,1
Rv0023,Rv2474c,1
Rv0023,Rv2475c,1
Rv0023,Rv2476c,1
Rv0023,Rv2498c,1
Rv0023,Rv2499c,1
Rv0023,Rv2500c,1
Rv0023,Rv2501c,1
Rv0023,Rv2502c,1
Rv0023,Rv2503c,1
Rv0023,Rv2504c,1
Rv0023,Rv2633c,1
Rv0023,Rv2640c,1
Rv0023,Rv2641,1
Rv0023,Rv2700,1
Rv0023,Rv2722,1
Rv0023,Rv2723,1
Rv0023,Rv2778c,1
Rv0023,Rv2779c,1
Rv0023,Rv2780,1
Rv0023,Rv2879c,1
Rv0023,Rv2880c,1
Rv0023,Rv2881c,1
Rv0023,Rv2882c,1
Rv0023,Rv2905,1
Rv0023,Rv2930,1
Rv0023,Rv2931,1
Rv0023,Rv2932,1
Rv0023,Rv2933,1
Rv0023,Rv2934,1
Rv0023,Rv2935,1
Rv0023,Rv2936,1
Rv0023,Rv2937,1
Rv0023,Rv2938,1
Rv0023,Rv2946c,1
Rv0023,Rv2947c,1
Rv0023,Rv2948c,1
Rv0023,Rv2949c,1
Rv0023,Rv2950c,1
Rv0023,Rv2967c,1
Rv0023,Rv2968c,1
Rv0023,Rv2969c,1
Rv0023,Rv2990c,1
Rv0023,Rv2991,1
Rv0023,Rv3017c,1
Rv0023,Rv3065,1
Rv0023,Rv3066,1
Rv0023,Rv3083,1
Rv0023,Rv3084,1
Rv0023,Rv3085,1
Rv0023,Rv3086,1
Rv0023,Rv3087,1
Rv0023,Rv3088,1
Rv0023,Rv3089,1
Rv0023,Rv3096,1
Rv0023,Rv3124,1
Rv0023,Rv3142c,1
Rv0023,Rv3143,1
Rv0023,Rv3145,1
Rv0023,Rv3146,1
Rv0023,Rv3147,1
Rv0023,Rv3148,1
Rv0023,Rv3149,1
Rv0023,Rv3150,1
Rv0023,Rv3151,1
Rv0023,Rv3176c,1
Rv0023,Rv3177,1
Rv0023,Rv3179,1
Rv0023,Rv3216,1
Rv0023,Rv3230c,1
Rv0023,Rv3236c,1
Rv0023,Rv3237c,1
Rv0023,Rv3238c,1
Rv0023,Rv3249c,1
Rv0023,Rv3250c,1
Rv0023,Rv3251c,1
Rv0023,Rv3252c,1
Rv0023,Rv3269,1
Rv0023,Rv3270,1
Rv0023,Rv3277,1
Rv0023,Rv3288c,1
Rv0023,Rv3289c,1
Rv0023,Rv3290c,1
Rv0023,Rv3322c,1
Rv0023,Rv3323c,1
Rv0023,Rv3324c,1
Rv0023,Rv3350c,1
Rv0023,Rv3439c,1
Rv0023,Rv3440c,1
Rv0023,Rv3492c,1
Rv0023,Rv3493c,1
Rv0023,Rv3494c,1
Rv0023,Rv3495c,1
Rv0023,Rv3496c,1
Rv0023,Rv3497c,1
Rv0023,Rv3498c,1
Rv0023,Rv3499c,1
Rv0023,Rv3500c,1
Rv0023,Rv3501c,1
Rv0023,Rv3508,1
Rv0023,Rv3525c,1
Rv0023,Rv3526,1
Rv0023,Rv3527,1
