kegg_ec,GENE_ID
2.7.1.2,Rv0650
5.3.1.9,Rv0946c
2.7.1.11,Rv2029c
2.7.1.90,Rv3010c
2.7.1.11,Rv3010c
3.1.3.11,Rv1099c
4.1.2.13,Rv0363c
5.3.1.1,Rv1438
1.2.1.12,Rv1436
2.7.2.3,Rv1437
5.4.2.11,Rv0489
4.2.1.11,Rv1023
2.7.1.40,Rv1617
1.2.4.1,Rv2241
1.2.4.1,Rv0843
1.2.4.1,Rv2497c
1.2.4.1,Rv2496c
2.3.1.12,Rv2495c
1.8.1.4,Rv0794c
1.8.1.4,Rv0462
1.8.1.4,Rv3303c
1.2.7.11,Rv2455c
1.2.7.3,Rv2455c
1.2.7.11,Rv2454c
1.2.7.3,Rv2454c
1.1.1.1,Rv0761c
1.1.1.284,Rv0761c
1.1.1.1,Rv1862
1.1.1.1,Rv0162c
1.1.1.1,Rv1530
1.2.1.3,Rv0147
1.2.1.3,Rv0768
1.2.1.3,Rv0223c
1.2.1.3,Rv3293
1.2.1.-,Rv0458
6.2.1.1,Rv3667
5.4.2.2,Rv3068c
2.7.1.63,Rv2702
4.1.1.32,Rv0211
2.3.3.1,Rv0889c
2.3.3.1,Rv0896
2.3.3.1,Rv1131
4.2.1.3,Rv1475c
1.1.1.42,Rv0066c
1.1.1.42,Rv3339c
2.3.1.61,Rv2215
6.2.1.5,Rv0952
6.2.1.5,Rv0951
1.3.5.4,Rv0248c
1.3.5.1,Rv0248c
1.3.5.4,Rv3318
1.3.5.1,Rv3318
1.3.5.4,Rv0247c
1.3.5.1,Rv0247c
1.3.5.4,Rv3319
1.3.5.1,Rv3319
,Rv3316
,Rv3317
1.3.5.4,Rv1552
1.3.5.4,Rv1553
,Rv1554
,Rv1555
4.2.1.2,Rv1098c
1.1.1.37,Rv1240
1.1.5.4,Rv2852c
6.4.1.1,Rv2967c
1.1.1.363,Rv1121
1.1.1.49,Rv1121
1.1.1.363,Rv1447c
1.1.1.49,Rv1447c
3.1.1.31,Rv1445c
1.1.1.343,Rv1122
1.1.1.44,Rv1122
1.1.1.343,Rv1844c
1.1.1.44,Rv1844c
5.1.3.1,Rv1408
2.2.1.1,Rv1449c
2.2.1.2,Rv1448c
5.3.1.6,Rv2465c
4.1.2.4,Rv0478
2.7.1.15,Rv2436
2.7.6.1,Rv1017c
1.1.1.22,Rv0322
2.7.7.9,Rv0993
2.7.1.17,Rv0729
5.3.1.8,Rv3255c
5.4.2.8,Rv3257c
5.4.2.8,Rv3308
2.7.7.13,Rv3264c
4.2.1.47,Rv1508A
4.2.1.47,Rv1511
1.1.1.271,Rv1512
4.1.2.17,Rv0727c
1.1.1.281,Rv0112
2.7.1.6,Rv0620
2.7.7.12,Rv0618
2.7.7.12,Rv0619
5.1.3.2,Rv0501
5.1.3.2,Rv3634c
5.4.99.9,Rv3809c
3.2.1.20,Rv2471
2.1.3.15,Rv0904c
6.4.1.2,Rv0904c
6.3.4.14,Rv2501c
6.4.1.3,Rv2501c
6.4.1.2,Rv2501c
6.3.4.14,Rv3285
6.4.1.3,Rv3285
6.4.1.2,Rv3285
2.1.3.15,Rv2247
6.4.1.3,Rv2247
6.4.1.2,Rv2247
2.3.1.39,Rv0649
2.3.1.39,Rv2243
2.3.1.-,Rv2524c
1.1.1.100,Rv0242c
1.1.1.100,Rv1350
1.1.1.100,Rv3502c
1.1.1.100,Rv3559c
1.14.19.26,Rv0824c
1.14.19.11,Rv0824c
1.14.19.2,Rv0824c
1.14.19.2,Rv1094
6.2.1.3,Rv2187
2.3.1.9,Rv0243
2.3.1.9,Rv0859
2.3.1.9,Rv1135A
2.3.1.9,Rv1074c
2.3.1.9,Rv0914c
2.3.1.9,Rv1323
2.3.1.9,Rv1867
2.3.1.9,Rv3523
2.3.1.9,Rv3546
2.3.1.9,Rv3556c
2.3.1.16,Rv2790c
5.1.2.3,Rv0860
4.2.1.17,Rv0860
1.1.1.35,Rv0860
4.2.1.17,Rv0673
4.2.1.17,Rv0675
4.2.1.17,Rv0222
4.2.1.17,Rv0456c
4.2.1.17,Rv0632c
4.2.1.17,Rv1141c
4.2.1.17,Rv1142c
4.2.1.17,Rv1070c
4.2.1.17,Rv1071c
4.2.1.17,Rv0905
4.2.1.17,Rv0971c
4.2.1.17,Rv1472
4.2.1.17,Rv2486
4.2.1.17,Rv1935c
4.2.1.17,Rv2831
4.2.1.17,Rv2679
4.2.1.17,Rv3039c
4.2.1.17,Rv3774
4.2.1.17,Rv3516
4.2.1.17,Rv3550
4.2.1.17,Rv3373
4.2.1.17,Rv3374
1.3.8.7,Rv0975c
1.3.8.7,Rv0131c
1.3.8.7,Rv0154c
1.3.8.7,Rv0231
1.3.8.7,Rv3140
1.3.8.6,Rv0400c
6.2.1.20,Rv1345
1.14.15.3,Rv3252c
1.18.1.3,Rv1869c
2.8.3.5,Rv2504c
2.8.3.5,Rv2503c
1.14.15.36,Rv0764c
1.14.14.154,Rv0764c
1.1.1.159,Rv0927c
4.1.3.40,Rv2949c
2.1.1.201,Rv0558
2.1.1.163,Rv0558
5.4.4.2,Rv3215
2.2.1.9,Rv0555
4.2.1.113,Rv0553
6.2.1.26,Rv0542c
4.1.3.36,Rv0548c
2.5.1.74,Rv0534c
7.1.1.2,Rv3145
7.1.1.2,Rv3146
7.1.1.2,Rv3147
7.1.1.2,Rv3148
7.1.1.2,Rv3149
7.1.1.2,Rv3150
7.1.1.2,Rv3151
7.1.1.2,Rv3152
7.1.1.2,Rv3153
7.1.1.2,Rv3154
7.1.1.2,Rv3155
7.1.1.2,Rv3156
7.1.1.2,Rv3157
7.1.1.2,Rv3158
1.6.99.3,Rv0392c
1.6.99.3,Rv1812c
1.6.99.3,Rv1854c
,Rv2194
,Rv2195
,Rv2196
2.5.1.141,Rv1451
1.9.3.1,Rv2193
1.9.3.1,Rv3043c
1.9.3.1,Rv2200c
,Rv1456c
7.1.1.7,Rv1623c
7.1.1.7,Rv1622c
7.2.2.1,Rv1308
7.1.2.2,Rv1308
7.2.2.1,Rv1310
7.1.2.2,Rv1310
,Rv1309
,Rv1307
,Rv1311
,Rv1304
,Rv1306
,Rv1305
3.6.1.1,Rv3628
2.7.4.1,Rv2984
2.7.4.1,Rv3232c
2.1.3.3,Rv1656
6.3.4.5,Rv1658
4.3.2.1,Rv1659
3.5.1.5,Rv1850
3.5.1.5,Rv1849
3.5.1.5,Rv1848
3.5.3.6,Rv1001
3.5.1.2,Rv0788
6.3.5.3,Rv0788
6.3.1.2,Rv2860c
6.3.1.2,Rv2220
6.3.1.2,Rv2222c
6.3.1.2,Rv1878
1.4.1.2,Rv2476c
2.6.1.2,Rv0337c
2.6.1.66,Rv0337c
2.3.1.1,Rv2747
2.3.1.1,Rv1653
2.3.1.35,Rv1653
2.3.1.1,Rv0428c
2.7.2.8,Rv1654
1.2.1.38,Rv1652
2.6.1.17,Rv1655
2.6.1.11,Rv1655
2.4.2.14,Rv0808
6.3.4.13,Rv0772
2.1.2.2,Rv0956
2.1.2.2,Rv0389
6.3.5.3,Rv0803
6.3.5.3,Rv0787A
6.3.3.1,Rv0809
6.3.4.18,Rv3276c
5.4.99.18,Rv3275c
6.3.2.6,Rv0780
4.3.2.2,Rv0777
3.5.4.10,Rv0957
2.1.2.3,Rv0957
2.4.2.7,Rv2584c
2.4.2.1,Rv3307
3.2.2.1,Rv3393
2.4.2.8,Rv3624c
1.1.1.205,Rv1843c
1.1.1.205,Rv3410c
1.1.1.205,Rv3411c
2.7.4.6,Rv2445c
3.6.1.66,Rv1021
3.6.1.66,Rv1341
6.3.5.2,Rv3396c
2.7.4.8,Rv1389
1.17.4.1,Rv3051c
1.17.4.1,Rv0570
1.17.4.1,Rv3048c
1.17.4.1,Rv0233
1.17.4.1,Rv1981c
3.1.5.1,Rv2344c
3.6.1.40,Rv0496
3.6.1.11,Rv0496
3.6.1.40,Rv1026
3.6.1.11,Rv1026
2.7.6.5,Rv2583c
4.6.1.1,Rv1264
4.6.1.1,Rv1318c
4.6.1.1,Rv1319c
4.6.1.1,Rv1320c
4.6.1.1,Rv1625c
4.6.1.1,Rv3645
6.3.4.4,Rv0357c
2.7.1.20,Rv2202c
3.5.4.4,Rv3313c
2.7.4.3,Rv0733
3.1.4.53,Rv0805
2.7.7.53,Rv2613c
2.7.1.25,Rv1286
2.7.7.4,Rv1286
2.7.7.4,Rv1285
6.3.5.5,Rv1384
6.3.5.5,Rv1383
2.1.3.2,Rv1380
3.5.2.3,Rv1381
1.3.5.2,Rv2139
2.4.2.10,Rv0382c
4.1.1.23,Rv1385
2.7.4.22,Rv2883c
6.3.4.2,Rv1699
2.7.4.25,Rv1712
3.5.4.13,Rv0321
2.4.2.9,Rv3309c
2.4.2.9,Rv1379
3.6.1.23,Rv2697c
2.1.1.45,Rv2764c
2.1.1.148,Rv2754c
3.5.4.5,Rv3315c
2.4.2.4,Rv3314c
2.7.4.9,Rv3247c
1.4.3.16,Rv1595
3.5.1.1,Rv1538c
6.3.5.4,Rv2201
1.4.1.1,Rv2780
4.1.1.15,Rv3432c
2.6.1.48,Rv2589
2.6.1.22,Rv2589
2.6.1.19,Rv2589
1.2.1.20,Rv0234c
1.2.1.79,Rv0234c
1.2.1.16,Rv0234c
1.2.1.20,Rv1731
1.2.1.79,Rv1731
1.2.1.16,Rv1731
1.4.1.13,Rv3859c
1.4.1.13,Rv3858c
1.2.1.88,Rv1187
2.6.1.16,Rv3436c
2.7.2.4,Rv3709c
1.2.1.11,Rv3708c
1.1.1.3,Rv1294
2.7.1.39,Rv1296
4.2.3.1,Rv1295
2.1.2.1,Rv0070c
2.1.2.1,Rv1093
2.7.1.165,Rv2205c
1.1.1.399,Rv0728c
1.1.1.95,Rv0728c
1.1.1.399,Rv2996c
1.1.1.95,Rv2996c
2.6.1.52,Rv0884c
3.1.3.3,Rv3042c
1.4.3.4,Rv3170
1.4.4.2,Rv1832
2.1.2.10,Rv2211c
,Rv1826
1.4.3.3,Rv1905c
2.7.8.8,Rv0436c
4.2.1.22,Rv1077
4.3.1.17,Rv0069c
4.3.1.19,Rv1559
4.2.1.20,Rv1613
4.2.1.20,Rv1612
,Rv2377c
4.3.3.7,Rv2753c
1.17.1.8,Rv2773c
2.3.1.30,Rv2335
2.5.1.47,Rv2334
2.5.1.47,Rv3684
4.4.1.13,Rv0075
4.4.1.13,Rv2294
