kegg_pathway,GENE_ID
path:mtv00010,Rv0650
path:mtv00010,Rv0946c
path:mtv00010,Rv2029c
path:mtv00010,Rv3010c
path:mtv00010,Rv1099c
path:mtv00010,Rv0363c
path:mtv00010,Rv1438
path:mtv00010,Rv1436
path:mtv00010,Rv1437
path:mtv00010,Rv0489
path:mtv00010,Rv1023
path:mtv00010,Rv1617
path:mtv00010,Rv2241
path:mtv00010,Rv0843
path:mtv00010,Rv2497c
path:mtv00010,Rv2496c
path:mtv00010,Rv2495c
path:mtv00010,Rv0794c
path:mtv00010,Rv0462
path:mtv00010,Rv3303c
path:mtv00010,Rv2455c
path:mtv00010,Rv2454c
path:mtv00010,Rv0761c
path:mtv00010,Rv1862
path:mtv00010,Rv0162c
path:mtv00010,Rv1530
path:mtv00010,Rv0147
path:mtv00010,Rv0768
path:mtv00010,Rv0223c
path:mtv00010,Rv3293
path:mtv00010,Rv0458
path:mtv00010,Rv3667
path:mtv00010,Rv3068c
path:mtv00010,Rv2702
path:mtv00010,Rv0211
path:mtv00020,Rv0889c
path:mtv00020,Rv0896
path:mtv00020,Rv1131
path:mtv00020,Rv1475c
path:mtv00020,Rv0066c
path:mtv00020,Rv3339c
path:mtv00020,Rv2215
path:mtv00020,Rv0794c
path:mtv00020,Rv0462
path:mtv00020,Rv3303c
path:mtv00020,Rv2455c
path:mtv00020,Rv2454c
path:mtv00020,Rv0952
path:mtv00020,Rv0951
path:mtv00020,Rv0248c
path:mtv00020,Rv3318
path:mtv00020,Rv0247c
path:mtv00020,Rv3319
path:mtv00020,Rv3316
path:mtv00020,Rv3317
path:mtv00020,Rv1552
path:mtv00020,Rv1553
path:mtv00020,Rv1554
path:mtv00020,Rv1555
path:mtv00020,Rv1098c
path:mtv00020,Rv1240
path:mtv00020,Rv2852c
path:mtv00020,Rv2967c
path:mtv00020,Rv0211
path:mtv00020,Rv2241
path:mtv00020,Rv0843
path:mtv00020,Rv2497c
path:mtv00020,Rv2496c
path:mtv00020,Rv2495c
path:mtv00030,Rv0946c
path:mtv00030,Rv1121
path:mtv00030,Rv1447c
path:mtv00030,Rv1445c
path:mtv00030,Rv1122
path:mtv00030,Rv1844c
path:mtv00030,Rv1408
path:mtv00030,Rv1449c
path:mtv00030,Rv1448c
path:mtv00030,Rv2465c
path:mtv00030,Rv0478
path:mtv00030,Rv2436
path:mtv00030,Rv3068c
path:mtv00030,Rv1017c
path:mtv00030,Rv0363c
path:mtv00030,Rv1099c
path:mtv00030,Rv2029c
path:mtv00030,Rv3010c
path:mtv00040,Rv0322
path:mtv00040,Rv0993
path:mtv00040,Rv1408
path:mtv00040,Rv0729
path:mtv00051,Rv3255c
path:mtv00051,Rv3257c
path:mtv00051,Rv3308
path:mtv00051,Rv3264c
path:mtv00051,Rv1508A
path:mtv00051,Rv1511
path:mtv00051,Rv1512
path:mtv00051,Rv0727c
path:mtv00051,Rv2029c
path:mtv00051,Rv3010c
path:mtv00051,Rv1099c
path:mtv00051,Rv0363c
path:mtv00051,Rv1438
path:mtv00051,Rv0112
path:mtv00051,Rv2465c
path:mtv00052,Rv0620
path:mtv00052,Rv0618
path:mtv00052,Rv0619
path:mtv00052,Rv0501
path:mtv00052,Rv3634c
path:mtv00052,Rv0993
path:mtv00052,Rv3068c
path:mtv00052,Rv0650
path:mtv00052,Rv3809c
path:mtv00052,Rv2029c
path:mtv00052,Rv3010c
path:mtv00052,Rv2471
path:mtv00053,Rv0322
path:mtv00053,Rv0147
path:mtv00053,Rv0768
path:mtv00053,Rv0223c
path:mtv00053,Rv3293
path:mtv00061,Rv0904c
path:mtv00061,Rv2501c
path:mtv00061,Rv3285
path:mtv00061,Rv2247
path:mtv00061,Rv0649
path:mtv00061,Rv2243
path:mtv00061,Rv2524c
path:mtv00061,Rv0242c
path:mtv00061,Rv1350
path:mtv00061,Rv3502c
path:mtv00061,Rv3559c
path:mtv00061,Rv0824c
path:mtv00061,Rv1094
path:mtv00061,Rv2187
path:mtv00071,Rv0243
path:mtv00071,Rv0859
path:mtv00071,Rv1135A
path:mtv00071,Rv1074c
path:mtv00071,Rv0914c
path:mtv00071,Rv1323
path:mtv00071,Rv1867
path:mtv00071,Rv3523
path:mtv00071,Rv3546
path:mtv00071,Rv3556c
path:mtv00071,Rv2790c
path:mtv00071,Rv0860
