GENE_ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25
Rv0001,9.819133623,9.872421194,10.38113594,10.33923187,10.22813192,10.11182383,10.01672297,10.18916717,9.657836979,9.79969848,10.07823654,9.411018945,9.893719182,10.00413445,10.67191493,10.61798688,10.5352892,10.54556268,10.81907956,9.039927122,9.046569549,9.31310192,10.94965372,11.02999689,10.61503766,10.24335288
Rv0002,8.02904415,8.215297043,8.666462584,8.621375123,8.706601716,8.737487294,8.7029664,8.766530908,8.360141878,8.268785469,8.525887075,8.106628991,8.299365939,8.332438622,8.134722491,8.374522636,8.202449978,8.327768311,8.246928837,7.883230055,8.134348197,8.213399127,8.683744653,8.701892073,8.529829966,8.587558798
Rv0003,7.475415819,7.824518279,8.037102288,8.184864566,7.981735584,7.945540776,7.973065024,8.038916938,8.312400547,7.89710865,7.948250514,8.34779247,7.534897974,7.656095471,7.240084014,7.36442642,7.535196104,7.563227326,7.120995155,8.260048636,8.416398676,8.423033906,7.353445329,7.544949831,7.604546516,7.955614446
Rv0004,6.649500299,6.921986302,6.496768743,6.708840201,6.670779588,6.875395697,6.641206801,6.723163432,6.841830973,6.547859717,6.312429765,6.764347707,6.171518554,6.121734633,5.903344508,6.086746338,6.428764522,5.913452964,5.90631909,6.689440228,6.891106762,6.843510151,6.030374898,6.103722554,6.370729168,6.596263232
Rv0005,11.27039167,11.60719915,12.19188309,12.12794601,12.23609941,12.14041518,12.20293984,12.37269694,10.98811141,11.28852389,12.39351105,10.99614054,12.18507635,12.24533275,12.01044515,12.25000729,11.80749972,11.86574546,11.86348381,9.226257078,9.12799336,9.378302865,11.17988573,11.57516092,11.49463998,11.82238927
Rv0006,10.95121594,11.31736349,11.73360643,12.02068858,11.99121566,11.80276818,12.04385078,11.87088879,10.28693218,10.75477704,11.88739306,10.24553622,12.0714924,12.13700002,11.65029026,11.56988712,11.06125258,10.7934313,11.35107112,8.853296867,8.894204746,9.180087647,10.70927333,11.08040967,11.13932432,11.41874605
Rv0007,8.219455068,8.40224783,8.651377029,8.563870144,8.849549258,8.537922365,9.064774483,8.690231768,8.725695459,8.668743167,8.743092151,8.40707155,9.083818222,9.015988933,8.66485972,8.647226744,8.3104809,7.751055935,8.206318527,8.608173076,8.370283125,8.402982522,8.264995547,8.492305921,8.73993823,8.631283758
Rv0008c,7.005307628,7.02952364,6.467488442,6.622706719,6.276728713,6.455777733,6.486738479,6.370378515,7.411166659,7.026529511,6.351863959,6.828857132,6.468519497,6.555570915,6.748779032,6.684728238,6.777792705,6.331315916,6.700278144,7.494421264,7.445030144,7.199513819,6.965257074,6.86251865,6.98874917,6.560761599
Rv0009,9.89373353,10.64923327,11.15029567,10.83221955,11.01843262,10.76323581,10.87576508,10.85759361,9.096502976,9.803839513,10.74404323,8.559026238,10.44137869,10.24146069,9.938419973,10.07846461,9.602283799,10.02840563,9.687317422,7.146062649,6.827528805,7.476043023,9.954026716,10.19234424,10.10667461,10.30182519
Rv0010c,8.121215258,8.584726063,8.647845487,8.732325863,8.747727208,8.546100449,8.710109053,8.572565979,7.719865329,7.992796728,8.502264392,7.678222927,8.031956488,7.889655588,7.7582906,7.886719714,7.759629637,7.712245268,7.717660493,6.960527577,6.908768892,7.117415601,7.853337982,8.079049667,8.117958576,8.383524429
Rv0011c,7.434475101,7.448835653,7.94534618,8.090342275,7.811652031,7.724515111,7.973065024,8.17883382,7.219954151,7.43167951,7.897786324,7.214130188,7.579767148,7.715924494,7.680552331,7.458229123,7.159015924,7.312338998,7.689557887,6.55855483,6.573786778,6.962348223,7.827328384,7.834462128,7.860708329,7.842148524
