GENE_ID,AM_D20_1,AM_D20_3,AM_D20_4,AM_D20_5,MDM_D20_1,MDM_D20_3,MDM_D20_4,MDM_D20_5
AS1726,5.534957627,5.415783898,0,6.038135593,0.992588671,0,0,0.979872881
AS1890,6.56779661,28.64141949,1.059322034,3.707627119,1.191106406,0.754267566,0,0
ASdes,1042.584746,164.8040254,229.9920551,340.0291314,8.178930651,10.83763398,13.34039174,207.8654661
ASpks,0.648834746,1.09904661,0,4.766949153,2.038115405,0,0.370566437,0
MT0009,3.204449153,0,0,0,0,0,0,0
MT0012,133.9247881,24.45709746,46.90148305,76.40360169,5.651138168,2.117242292,4.857067231,24.81461864
MT0025,6.951800847,0,0,206.6737288,0,0.965991796,0,0
MT0031,279.6875,669.1075212,14.69809322,70.10063559,11.55373213,3.136165145,1.032292218,19.99470339
MT0032,254.0916314,11.97033898,346.7293432,0,6.034939121,1.204181554,0.119110641,16.68432203
MT0036,0.993114407,0,0,0,1.998411858,3.996294826,0,2.012711864
MT0066.2,1235.897775,187.3146186,323.6493644,657.0577331,48.22657491,3.837501654,7.51720487,12.24841102
MT0069,25.02648305,16.02224576,39.28760593,5.137711864,9.965590259,1.257112611,3.388035998,0
MT0099.1,1.430084746,0,0,1.072563559,0,0,0.158814187,0.278072034
MT0116.1,3.217690678,0,0,3.204449153,0,0,0,0
MT0122,5011.731992,3319.729873,4322.841631,3195.908369,458.3112758,94.44223898,56.03493912,93.29978814
MT0124,13.24152542,4.978813559,0.622351695,3.575211864,0.066172578,0,0,0.595868644
MT0130,562.1689619,152.873411,11.8246822,38.37394068,26.25727898,4.949053857,13.75066173,0
MT0159,0,4.780190678,0,2.621822034,0,0,0,0
MT0177,71.42478814,36.09639831,115.7309322,6.038135593,7.384859714,4.022760355,2.858655373,0
MT0204.1,1.059322034,0,0,0,0.622022234,0,0,0
MT0270,98.30508475,15.83686441,0,9.427966102,7.226045527,0.330819108,0,14.03601695
MT0270.2,45.03442797,169.4385593,0,0.993114407,0,0,0.158814187,23.63612288
MT0291.1,4.6875,0,0,0,0,0,0,0
MT0291.2,18.84269068,5.243644068,0,4.661016949,6.114346215,0,0,0
MT0291.4,71.26588983,0.436970339,0,5.958686441,0,0,0,0
