GENE_ID,AW_plus_1,AW_neg_1,AW_plus_3,AW_neg_3,AW_plus_4,AW_neg_4
AS1726,17.10148709,0,0,18.2532408,2.142022589,23.58760739
AS1890,88.6903209,4.590163934,27.1450858,20.53162236,9.853303908,35.27727154
ASdes,57.72241064,1256.681967,62.74050962,363.4411418,36.45332987,104.7123145
ASpks,9.000782677,0.052459016,4.797191888,2.186722535,0.79189926,16.2978391
MT0009,0,0,0,0,0,9.60687321
MT0012,60.73571615,310.8852459,31.17524701,83.868011,9.944177593,53.30643062
MT0025,3.913383773,0,5.928237129,2.775959146,12.82617162,1.978651393
MT0031,182.8332899,259.7901639,100.1430057,347.0079874,141.6850578,271.7130955
MT0032,20.85833551,215.2786885,0.988039522,49.40421632,31.55913281,60.55714658
MT0036,48.27811114,0,74.31097244,3.967526516,0,49.25800573
MT0066.2,155.2700235,235.4098361,216.3676547,489.040199,234.2593795,364.5535017
MT0069,386.2248891,60.81311475,115.7566303,170.1584392,39.54303518,232.2181724
MT0099.1,3.469866945,0,1.976079043,1.466544455,3.362326366,1.627180422
MT0116.1,12.32715888,0,0,9.951551656,0,9.151262692
MT0122,1211.466214,519.2262295,1002.678107,2274.715202,991.7694405,1771.595939
MT0124,0.417427602,76.19672131,50.79303172,27.62864999,10.28170843,70.4373861
MT0130,160.5530916,33.61311475,39.10556422,67.76221029,8.204595612,518.5628743
MT0159,1.278372032,0,0.741029641,0.235694644,11.42412047,12.41864098
MT0177,98.46073572,197.9672131,123.5049402,114.6785387,11.83954304,53.03306431
MT0204.1,0,0,0,0,0,3.957302786
MT0270,65.49699974,0,36.93447738,53.98716774,5.400493314,20.48945587
MT0270.2,9.287764153,26.72786885,135.9594384,53.42411942,25.63936129,46.18588909
MT0291.1,22.4106444,0,0,0,0,16.64931008
MT0291.2,40.00782677,14.38688525,19.65678627,14.83566846,0,26.76386358
MT0291.4,33.70727889,0,0,13.93217232,9.853303908,9.763082531
MT0294,64.6230107,11.56721311,7.735309412,5.316223648,0,21.59593856
MT0325,6.861466214,3.737704918,41.58866355,20.21736284,10.24276256,44.16818537
MT0328.1,171.2366293,1252.183607,142.8887155,793.9897866,175.2434117,213.9677167
MT0328.2,579.5460475,905.5737705,748.1669267,1814.796386,315.6562378,722.6763864
MT0347,244.142969,1.980327869,74.88299532,54.79900484,48.11112554,31.41109086
MT0383,31.30707018,8.970491803,0,49.43040461,24.62676879,8.812809164
MT0392,84.51604487,0,48.03692148,352.0885164,16.03271453,53.67091903
MT0407,202.3088964,16.51147541,107.3712949,49.92798219,20.70621836,113.9807342
MT0416,14.85781372,18.76721311,31.44825793,7.607699358,26.84668311,26.1390263
MT0431,1.278372032,0,1.755070203,0.785648815,0,13.47305389
MT0450,0,13.84918033,19.72178887,4.910305094,0.73997144,11.16896641
MT0470,849.2434125,2310.859016,549.2069683,1208.354066,353.758276,768.732101
MT0472.1,32.66370989,22.13770492,101.4690588,14.29880843,83.4090614,0.702941942
MT0492,26.02400209,47.84262295,20.57982319,19.54956135,0,42.58005728
MT0494,0,0,10.99843994,0.497577583,0,11.9760479
MT0506,55.83094182,7.501639344,46.17784711,53.75147309,41.07490588,115.0481645
MT0512,59.56170102,38.00655738,25.35101404,382.977609,6.594833182,49.77870346
MT0525,65.19697365,335.9737705,94.27977119,260.1021343,35.76528625,162.418641
MT0540,71.38012001,26.07213115,25.35101404,23.24211078,11.96936259,69.16167665
MT0555,102.4393426,5.849180328,2.600104004,23.22901663,4.946124886,26.21713096
MT0568,14.87085834,27.72459016,4.940197608,71.10121776,58.58756329,189.3647488
MT0573.1,0.978345943,63.73770492,31.09724389,8.131465235,0,14.93100755
MT0576,10.33133316,6.97704918,18.95475819,11.58832002,0,0
MT0598,36.43360292,0,37.0774831,3.731831871,25.00324549,26.36032283
MT0600,0,0,0,0,3.816694794,1.431918771
MT0603,3.469866945,20.02622951,0,4.871022653,0,23.62665972
MT0608,319.9582572,160.2229508,65.50962038,140.906115,48.50058419,192.7753189
MT0610,128.2676755,28.61639344,54.34217369,152.6515648,18.5252499,97.27935433
MT0614,77.14583877,42.58360656,2.964118565,15.69988215,80.90354407,96.40718563
MT0639,10.90529611,39.17377049,0,5.460259264,0,0
MT0655,215.2491521,150.9508197,7.319292772,123.7658767,0,22.48112471
MT0692.1,23.232455,279.7770492,110.5564223,345.5545371,75.15253797,55.45430877
MT0694,53.63944691,3.93442623,34.10036401,104.9626817,44.87861872,15.52980995
MT0697,112.6402296,87.18688525,64.79459178,106.4030378,16.51304686,65.19135642
MT0717.1,2.739368641,19.61967213,1.677067083,12.57038104,0,24.98047383
MT0724.1,29.70258283,5.691803279,62.4024961,184.0644232,26.14565754,122.194741
MT0725,59.11818419,50.7147541,34.38637546,60.27235826,62.76775282,91.56469669
MT0726,22.46282285,27.72459016,7.020280811,40.42163153,8.879657276,13.01744337
MT0726.1,26.48056353,0,136.99948,7.463663742,24.63975075,45.62613903
MT0740.1,0,0,0,15.34634019,0,0
MT0761,0,0,0,3.69254943,0,12.70502473
MT0762.1,5.765718758,0,4.953198128,12.45253372,0,11.26008852
MT0765,368.484216,149.652459,108.3593344,446.4580333,57.52304297,434.2228586
MT0768.1,0,0,2.314092564,246.1437737,2.596391016,5.857849518
MT0771,0,0,0,0,0,12.95235616
MT0772.2,0,0,0,0,0,15.47774017
MT0781,95.59092095,295.5409836,125.4550182,1538.562263,108.9445671,145.9515751
MT0806,15.00130446,231.2262295,81.57826313,614.5868797,4.67350383,42.85342359
MT0827,0,2.727868852,0,112.2692157,0,1.562093205
MT0835,97.69110357,40.03934426,56.42225689,15.62131727,50.22718421,86.05831815
MT0853,0,0,0,0,0,0.442593075
MT0856.1,127.3545526,12.10491803,128.8351534,23.22901663,37.6866156,70.08591513
MT0859,0,0,0,0,0,0
MT0868,2.465431777,0,0,12.19065078,0.324548877,17.63863577
MT0895,4.565614401,163.9868852,0,15.24158701,6.906400104,11.76776881
MT0903,92.51239238,0,0,0.327353673,0.908736856,59.60687321
MT0910.1,12.04017741,0,0,13.31674741,2.959885759,15.43868784
MT0910.2,56.00052178,0,0,0,2.959885759,4.868523822
MT0910.3,4.200365249,0,0,0,0,21.1273106
MT0910.4,0,0,0,0.995155166,21.04374919,9.828169747
MT0915.1,57.78763371,2.045901639,43.81175247,116.2891188,31.81877191,26.26920073
MT0932,38.35116097,14.36065574,0,6.952992013,0.363494742,11.59854205
MT0937,193.3211584,94.81967213,158.8923557,164.4624853,131.7538621,149.8698256
MT0943,0.469606053,23.52786885,8.970358814,71.62498363,8.68492795,17.50846134
MT0946,243.8820767,632.8393443,332.4622985,676.5745712,425.2628846,185.7328821
MT0968.1,1062.235847,496.8655738,225.7410296,1260.848501,125.8211087,612.1582921
MT0973,0,0,7.644305772,17.25808564,25.65234324,27.64904973
MT0991,25.3065484,0,0.2600104,8.170747676,0.81786317,3.423587607
MT1007,327.2893295,745.7836066,148.4269371,268.0502815,202.1420226,314.8529029
MT1025.2,143.6472737,25.7442623,100.2600104,85.25599057,53.17408802,277.6099974
