GENE_ID,TB_HIGH1,TB_HIGH2,TB_HIGH3,TB_LOW1,TB_LOW2,TB_LOW3
Rv0001,139.5949046,134.472426,131.4025462,103.5216583,88.91379592,135.4169417
Rv0002,37.78508695,136.0360589,59.16956758,64.25482239,111.4950774,44.05129428
Rv0003,34.6363297,100.0725031,88.3701334,96.38223358,79.03448526,22.84141185
Rv0005,1389.651531,956.943311,1511.513499,1290.451016,1450.847337,1439.008947
Rv0006,1054.833677,828.7254163,1197.223199,1024.507446,1630.086259,1101.282357
Rv0009,109.1569178,73.49074447,83.75951775,146.3582065,90.32512602,158.2583535
Rv0013,32.53715821,84.4361745,61.47487541,17.84856177,36.69458244,84.83952973
Rv0014c,109.1569178,78.18164305,132.1709821,78.53367181,249.8054266,207.2042361
Rv0015c,139.5949046,176.6905133,159.8346761,215.9675975,158.0689705,132.1538829
Rv0016c,171.082477,214.217702,129.8656743,62.46996621,162.3029608,261.0447069
Rv0017c,74.52058815,90.69070594,92.21231311,73.17910327,88.91379592,132.1538829
Rv0019c,60.87597342,37.52718866,52.2536441,53.54568532,118.5517279,0
Rv0020c,694.8257655,505.0534141,700.0451437,697.8787654,863.7340175,580.8244728
Rv0022c,1.049585749,0,0.768435943,0,0,0
Rv0032,12.59502898,15.63632861,17.67402668,28.55769884,56.45320376,0
Rv0035,10.49585749,6.254531444,11.52653914,0,0,13.05223534
Rv0040c,72.42141665,178.2541462,66.85392701,108.8762268,55.04187367,112.5755298
Rv0041,151.1403478,129.7815275,83.75951775,53.54568532,80.44581536,156.6268241
Rv0046c,217.26425,214.217702,335.038071,344.4772422,254.0394169,305.0960012
Rv0050,234.0576219,96.94523738,245.8995016,105.3065145,283.6773489,334.4635307
Rv0053,23.09088647,20.32722719,19.97933451,19.63341795,26.81527179,39.15670603
Rv0054,172.1320628,125.0906289,147.539701,124.9399324,138.3103492,78.31341206
Rv0056,89.21478863,57.85441586,126.0234946,57.11539768,73.38916489,66.89270613
Rv0058,651.7927499,748.9801404,723.8666579,398.0229276,541.9507561,362.1995308
Rv0062,18.89254347,4.690898583,29.20056582,62.46996621,0,37.52517661
Rv0065,22.04130072,6.254531444,17.67402668,0,19.75862132,22.84141185
Rv0066c,138.5453188,70.36347875,98.35980066,99.95194594,163.7142909,184.3628242
Rv0069c,17.84295773,28.1453915,26.89525799,28.55769884,15.52463103,0
Rv0070c,30.43798671,14.07269575,17.67402668,46.40626061,47.9852232,4.894588254
Rv0084,150.090762,217.3449677,127.5603665,192.7644672,98.79310658,92.99717682
Rv0085,51.42970168,43.78172011,74.53828643,0,11.29064075,0
Rv0086,121.7519468,150.1087547,172.8980871,158.8521998,64.92118432,177.8367066
Rv0087,71.3718309,54.72715014,72.23297861,87.45795269,9.879310658,52.20894137
Rv0091,9.446271737,3.127265722,8.452795369,0,0,0
Rv0092,103.9089891,129.7815275,100.6651085,44.62140444,49.39655329,27.7360001
Rv0096,15.74378623,15.63632861,3.842179713,67.82453474,0,0
Rv0098,16.79337198,9.381797166,9.989667254,35.69712355,0,52.20894137
Rv0099,110.2065036,71.92711161,59.93800352,16.0637056,59.27586395,79.94494148
Rv0101,315.9253103,228.2903977,297.3847098,253.4495772,297.7906498,143.5745888
Rv0103c,80.81810264,79.74527591,99.1282366,110.661083,57.86453385,172.9421183
Rv0107c,143.7932476,154.7996532,177.5087027,91.02766505,136.8990191,138.6800005
Rv0109,9.446271737,3.127265722,12.29497508,0,0,0
Rv0112,46.18177294,53.16351728,54.55895193,112.4459392,80.44581536,52.20894137
Rv0114,17.84295773,0,11.52653914,16.0637056,25.40394169,65.26117672
Rv0115,40.93384419,78.18164305,74.53828643,215.9675975,15.52463103,48.94588254
Rv0116c,72.42141665,45.34535297,45.33772061,12.49399324,47.9852232,0
Rv0117,10.49585749,26.58175864,31.50587365,26.77284266,0,0
Rv0118c,25.19005797,1.563632861,34.57961742,0,70.5665047,14.68376476
Rv0119,13.64461473,6.254531444,9.221231311,0,0,9.789176508
Rv0120c,46.18177294,73.49074447,59.16956758,0,45.16256301,17.9468236
Rv0124,5.247928743,6.254531444,19.97933451,19.63341795,0,0
Rv0125,130.1486328,129.7815275,166.7505995,239.1707278,66.33251442,166.4160006
Rv0126,121.7519468,121.9633632,100.6651085,82.10338416,112.9064075,76.68188264
Rv0127,140.6444903,90.69070594,136.7815978,105.3065145,103.0270969,132.1538829
Rv0129c,59.82638767,35.9635558,77.6120302,87.45795269,160.8916307,81.5764709
Rv0131c,44.08260144,10.94543003,30.7374377,24.98798648,0,4.894588254
Rv0132c,39.88425845,3.127265722,10.7581032,0,22.5812815,16.31529418
Rv0134,150.090762,236.108562,155.2240604,114.2307954,182.0615821,207.2042361
