ID_REF,t0h.rep1,t0h.rep2,t0h.rep3,d1.rep1,d1.rep2,d1.rep3,d2.rep1,d2.rep2,d2.rep3,d3.rep1,d3.rep2,d3.rep3,d5.rep1,d5.rep2,d5.rep3,d7.rep1,d7.rep2,d7.rep3,d8.rep1,d8.rep2,d8.rep3
Rv0001,11.31862848,11.2878101,11.05142669,10.04048079,8.742128188,7.398753525,11.45370977,12.23763039,10.00172108,11.90959052,11.80818887,10.65883798,11.53415093,11.83639308,11.98753245,11.20056917,10.44631237,12.00713462,12.85010129,12.97219682,13.39765568
Rv0002,10.86116792,10.6487272,10.32144008,9.659040807,9.326210927,8.662876388,10.2550162,11.45922776,8.911416225,10.91444918,10.93562892,10.49287357,10.75661239,10.96594145,11.28328896,10.48854119,10.08095793,11.74687688,12.62000562,12.53775705,12.78703971
Rv0003,10.86547176,10.78609908,10.70019888,10.60638353,11.02061941,10.33871834,10.37355991,10.64577697,11.13982847,11.48297171,10.79124899,11.34117056,10.79211054,10.57680387,9.898084499,10.34662214,8.818244981,10.92520081,11.53552932,10.90760723,12.29478344
Rv0004,11.50868133,11.38416387,11.20789558,10.5635104,11.22463672,10.77156028,10.1535163,9.782656205,9.989885211,10.4140603,10.89533706,10.15775178,9.250492673,11.48171737,10.23874615,10.48809067,10.87934194,10.62104001,11.13291269,10.66941512,11.30521169
Rv0005,13.71154293,13.42681356,13.5427057,13.68712332,13.37770307,13.16678648,13.50103423,13.84968847,13.27138744,13.41052318,13.50581018,13.11490046,13.00939923,13.23569308,13.22407503,13.16175908,13.25849958,13.10742192,13.57391443,14.00936178,13.91034759
Rv0006,13.68338376,13.55465184,13.57031568,13.46370918,13.66548686,13.3651003,12.44264638,12.93111743,12.85436228,12.46362583,13.08414278,12.45631735,12.41544624,12.47871714,12.05329959,11.14151041,12.46311855,12.20118056,13.4369953,13.27152485,13.30409961
Rv0007,13.62391201,13.30158345,13.66465229,12.70229677,12.53292252,13.04427744,11.913057,11.26874214,12.53094829,11.20616201,12.2258013,10.97393096,10.84767363,11.98998708,11.58506257,10.66819182,11.54149134,11.56492521,13.00557528,12.50501566,12.74203198
Rv0008c,8.597558889,8.111462633,8.670214864,8.695300796,8.080556106,8.913638522,9.127136584,9.156474288,8.92326983,9.389044841,9.798325456,9.645505847,9.63145667,8.994347168,9.619361179,9.140102375,8.374946338,9.179099679,9.271190843,9.084046227,10.09129351
Rv0009,12.78704316,12.66268826,12.61279851,12.82516032,12.18566355,11.32457681,13.29186809,13.66148657,12.9594889,13.33294291,13.53243002,13.27142199,13.85100709,13.48695742,13.75546578,13.34881733,13.16332718,13.35907261,14.15809729,14.11184665,14.28652423
Rv0010c,12.23422296,12.02457352,12.05267191,11.87325604,10.22316826,10.01248214,12.23351102,12.72737954,11.17228547,11.12800816,11.61970548,11.46577814,11.16490296,12.22826762,11.92608936,11.29509135,11.28858595,11.87333889,12.16018876,12.43164844,13.0423973
Rv0011c,11.86151688,11.16618458,11.71252428,10.65228431,9.88835644,8.940533043,11.73458437,12.23234845,10.23803668,11.77952995,11.7155165,10.92899076,12.83196089,11.72212403,11.88302264,11.14988793,10.68832966,12.11097555,12.12818029,12.28339675,13.18313952
Rv0012,12.08572913,11.20134408,11.72388457,11.13609187,11.40222599,9.935820388,12.05800154,12.33063287,11.68325007,10.99774132,11.84393443,11.55042272,11.67122268,11.04806673,11.8681653,11.53656305,11.79401414,11.58523713,12.00835048,11.79421406,11.89895653
Rv0013,11.74731922,11.39638456,11.75919263,10.13891203,10.55308516,9.293136421,11.20058812,11.56740046,10.73759091,10.06217656,10.51160892,10.2012739,11.64353511,11.01883285,11.04304447,9.22321701,9.612437216,9.852180389,12.01395073,11.97323903,12.37871095
Rv0014c,12.2970763,11.98843564,12.15523702,11.33036781,11.61426717,11.09137388,9.941743916,10.31987144,10.250151,9.706505646,11.10110199,9.735665185,10.27346833,10.44053859,10.07040311,8.502241361,10.03935081,9.906761872,12.03951722,11.38623302,12.29744224
Rv0015c,12.45489809,11.98094752,12.48180354,11.91610203,12.04656902,12.28096383,11.12263222,11.11950731,11.29503778,9.905878297,11.06839756,10.84570514,9.939718402,10.29911072,10.00291514,9.841898129,10.73383847,10.28742661,11.36533261,10.40095546,10.46085142
Rv0016c,12.10280247,11.85015329,12.07675206,10.63653809,10.95837135,10.57315924,10.17637372,10.03611249,10.18149515,9.151326138,10.49244114,9.459466423,10.64670186,11.34135613,10.87851944,9.306262999,10.31305166,9.893932142,11.62806878,11.43303414,11.79975954
Rv0017c,12.00916446,11.50976283,11.94302227,10.54428691,10.90674391,10.88444839,9.529105841,9.377682321,9.365431108,10.01901754,10.77658351,10.1058399,10.37819905,10.43592074,10.78341315,9.591597419,10.12196583,10.97626208,12.14515189,12.16248888,12.5280541
Rv0018c,12.71426993,12.22563977,12.78463028,12.43805169,12.57561569,12.66042081,11.09400812,11.33777315,11.59929574,10.26906936,11.64537999,10.75287867,10.5310265,10.90682484,10.83090613,9.285569882,11.30698472,10.36516173,11.86258114,11.77110532,11.8386169
Rv0019c,12.63760021,12.33209903,12.39896466,12.24892095,12.63208748,12.16666749,12.12609966,12.21249689,11.63957821,11.52544922,12.04545222,11.59299196,11.61618178,11.12098085,10.62828489,10.50511229,11.16772266,11.17080855,12.1730055,11.82052243,12.10263059
Rv0020c,13.09730569,12.75626998,13.05720373,12.76754838,12.72625381,12.52114146,12.76887448,13.06547571,12.62119344,12.34653033,12.42025534,12.40765304,12.73979566,12.43797212,12.66264564,12.17842714,12.36466681,12.22924365,12.8940779,12.58077084,12.77181467
Rv0021c,8.383275825,7.900556702,7.906736129,8.432505645,8.472445829,8.132779589,8.353916591,8.601837736,8.481910409,8.224664569,8.625347593,8.00663233,7.955424259,8.999723905,9.233238143,8.684261515,8.66649302,9.432659145,8.428668962,9.031249167,9.027622226
Rv0022c,6.679387927,6.73436738,6.555705284,6.6688419,8.256486798,6.653101951,6.894036839,6.399470893,7.096219843,7.088561697,7.235390656,7.387135838,7.610427692,7.121451204,6.772191636,7.5284858,8.30793172,7.925410054,6.685492445,6.941704234,6.504088768
Rv0023,9.691555462,8.766310303,9.189048692,9.16518507,9.993224913,9.399711728,7.938351743,7.615428159,8.779281825,7.886315487,8.131607346,8.09383767,7.780693287,7.339160055,7.729412075,9.076331638,9.144703317,8.549845332,7.809687755,7.542006612,7.944074594
Rv0024,11.44650837,10.73565935,11.29550631,11.08104709,11.42777811,11.99864348,9.52264086,8.328476445,10.62451651,8.114002429,9.124821302,9.143405554,8.922701034,8.928432443,8.025708639,8.797171588,9.057670272,8.71544412,9.017503791,8.665694807,8.620762422
Rv0025,11.4442855,10.46967262,11.00609248,8.766362615,10.40425502,8.854768882,9.448094589,10.16083366,9.384182577,9.928638707,9.647891196,9.983667632,10.68385592,8.252773756,10.33962456,9.011335712,8.076321077,9.946422834,10.84382026,10.64705084,10.45216832
Rv0026,9.862388614,9.376224763,9.613541258,9.617869843,9.766742503,9.798219973,9.865010744,9.439671941,9.690129154,9.686682288,8.834440954,9.863525246,8.6829481,9.023227804,9.159624822,9.581759952,9.289074774,10.04561233,9.462822651,8.935246611,9.475111034
Rv0027,9.363314286,9.033920825,8.859359071,10.1439332,9.425356586,10.3064442,9.760844215,10.13076667,8.845798053,10.72630182,10.25030266,10.10304165,10.78815843,9.677544533,10.58122984,10.16815092,9.79216152,10.35523,10.26146426,10.55572622,11.15045359
Rv0028,10.08233507,9.801583254,9.69839757,9.730520601,9.116459745,8.973990909,10.11629776,10.37966365,9.45212709,10.61999778,10.33289031,9.932390572,10.82353943,10.44048867,10.98857759,10.61957761,9.65703817,10.64735664,10.97385796,10.59245162,11.38065284
Rv0029,10.06830875,9.77985997,9.74363857,8.302552941,8.936993174,7.553600723,10.13318134,10.46529629,10.10945595,9.300168688,8.972827191,9.654156564,10.49995516,9.737968055,10.33551471,9.361304007,9.490072928,9.940790585,10.64442668,9.67180707,10.75650956
Rv0030,9.989232906,9.359980679,10.00134694,8.19184313,9.028177246,7.724176584,10.83877004,10.89514479,10.19980757,10.04449088,9.443572986,10.32463597,10.95202618,9.597292254,10.25104385,9.137900322,10.84569873,10.47648963,10.65057739,10.64376635,11.69555122
Rv0031,8.154562458,8.571987438,8.34425158,8.436571989,9.091928912,8.580290359,9.656417724,8.967522453,9.805980258,9.667299237,10.6771335,10.08115277,9.18694433,10.41244698,10.36896456,10.34290215,10.62708654,10.42963902,8.899672941,7.870989616,9.784970066
Rv0032,7.322798487,7.379952468,7.46300417,7.529110015,7.869720336,7.34757992,7.561224954,7.217856497,7.715872992,7.849059493,7.50497725,7.897804529,7.598359566,7.623609567,7.246207144,8.327115553,8.103979534,8.040768285,7.865832437,7.374911209,7.834506433
Rv0033,7.038940033,6.40312932,7.036471763,7.633845029,7.780793987,7.672255523,6.123004395,7.573740118,6.20132276,7.206841742,7.59574429,7.311888673,6.859216539,7.569398355,6.840475253,7.850143636,8.308145278,7.900229633,8.656727765,8.304650755,7.598324813
Rv0034,7.054637631,6.822308051,7.234466397,7.582975699,7.282508498,7.729284316,7.337724145,7.906515733,7.883426156,7.011739724,7.042664641,7.026593524,7.591312237,7.142099016,7.750378419,8.452160574,8.125702135,7.352194773,7.727652556,9.938244598,7.609137474
Rv0035,7.91881633,7.772194721,7.6592085,7.601156795,7.372937126,7.926705492,7.247439502,7.305263993,7.896410887,7.729968907,7.734677445,7.635205986,7.90158934,7.409644648,8.303785884,7.332990961,7.26642067,7.637651988,9.017098419,8.313647868,8.553338029
Rv0036c,11.72111488,11.52123026,11.6323128,10.3043765,11.10951524,10.71821678,10.57118166,10.53271416,9.714829888,9.640187108,9.825909965,10.03996667,10.62935624,10.47337524,10.41973406,9.485969556,10.89338904,10.09189209,11.90961144,11.20740266,11.76200689
Rv0037c,10.81115845,10.54059151,10.80983844,10.53537684,10.8357466,11.28476074,10.17055933,9.386586612,10.04166021,9.220123352,10.14237446,10.0284513,9.204185754,9.672298184,10.10471889,9.301341618,10.49561256,9.836971075,10.55740988,9.940885342,10.44319944
Rv0038,12.59594654,12.70664223,12.41112789,11.94638195,12.01905273,11.59607633,12.39625554,12.34742926,12.00344232,11.72556642,12.0395392,11.83249471,12.61351892,11.74763072,12.11718437,11.90434518,12.36530503,11.84073685,12.4802748,12.05329575,12.24243481
Rv0039c,10.7016986,10.38431533,11.17597176,9.414697691,8.828602994,9.468161275,9.618744391,9.390703903,10.38904897,9.103679549,9.543685509,9.808295122,10.05933698,10.0525348,9.915691385,8.771445967,9.894247298,9.001485413,9.724614742,10.12758327,9.075030469
Rv0040c,11.16042587,10.8161508,11.13680949,10.72415364,10.2328802,10.01522418,9.927546239,9.758609249,9.915954354,9.709463831,9.795744933,9.896821001,10.44937159,10.25408628,9.672115492,10.43909186,9.705023003,10.98799064,10.88830232,10.17523265,10.26300722
Rv0041,9.523250408,9.368127482,9.204471347,8.880855144,8.41464592,8.579650736,9.215871444,9.431064561,8.818633121,9.616008979,9.214772685,9.357241553,10.04018623,9.709291523,10.39975264,9.479755479,9.185079821,10.55961643,11.66988603,11.13608224,11.44167079
Rv0042c,10.70889142,10.72633233,10.3556659,7.891884185,7.990940752,6.966034362,9.531952674,9.956040524,8.726939068,9.459111673,9.016058136,9.525085627,9.962231271,9.321124147,10.35522858,8.317728117,8.722004911,8.60600421,10.78501455,10.5936749,11.29752278
Rv0043c,10.11678563,9.865083727,9.66557811,8.940802567,8.207275879,8.761771359,9.390679707,9.429449634,9.757490374,8.884392854,8.582883707,8.649082271,8.786618976,9.931983524,9.22106154,8.933561483,8.173043426,8.436134476,10.70127158,10.25322516,10.84943802
Rv0044c,9.637971386,9.300468485,9.487422318,9.501645932,8.558203648,8.506507387,8.25094181,8.775052526,7.619602771,7.492351094,8.32010117,7.641530175,8.461916771,8.126692391,7.855702352,7.318807715,8.860420724,8.12635817,10.33297247,9.656366055,9.761857409
Rv0045c,10.68916834,10.2901767,10.4812636,10.53568929,10.3572853,10.01185063,11.29676098,10.47904533,10.46704741,10.91969904,10.07861235,10.44186446,10.29907712,10.74934534,10.45862777,10.43713132,10.54008057,11.20532124,11.46510655,10.3653563,11.47663551
Rv0046c,12.65086894,12.66702213,12.8930241,13.20618361,12.79841749,12.74043887,13.37807436,13.49429106,13.01553523,13.30984991,13.24132113,13.1970581,13.63909307,13.01679355,13.44134769,12.71471216,13.01308163,13.23468257,13.56564143,13.58998659,13.60800009
Rv0047c,12.0091242,11.5722815,12.09384138,12.10017331,11.87807636,11.33032741,12.60598563,13.04441381,12.34478823,12.59123098,12.44540618,12.3358628,12.98363668,11.74770161,12.32807883,11.85571803,10.78381184,11.59236594,12.3260894,12.06179841,12.67301528
Rv0048c,8.588809412,8.409454732,8.571688841,9.38196499,9.107347677,9.008867674,9.180893898,9.451616535,9.230480115,9.497054115,9.407802738,9.128587181,10.09806274,9.2563184,9.299973236,9.489673051,9.727311323,8.929409856,9.872403077,8.819279804,9.241269674
Rv0049,12.33234374,11.94183254,12.33258692,12.24394042,11.89559055,12.19710091,11.98123183,12.10350906,11.50962825,11.73319382,11.85578579,11.48874688,13.04987938,11.87090432,12.6866143,11.92147648,12.29129928,12.61123531,12.92311111,12.93518984,12.82952647
Rv0050,12.36580621,12.20074986,12.1440531,10.56906865,11.51917983,10.58457892,10.86207408,10.24491014,9.888145733,10.64324506,11.11617281,10.50549854,10.80230911,10.87939477,11.21294052,9.724038899,11.46488678,11.45409992,12.82133432,12.40873493,12.5113498
Rv0051,11.83401196,11.60871497,11.65280313,10.31427094,10.20151509,10.97570412,8.610207006,7.504166105,8.691663513,8.969895273,9.206069674,8.944881567,8.091652521,9.39770455,9.440701461,9.155932195,10.07820277,9.877065879,11.33969263,10.47663544,11.37885172
Rv0052,11.30613928,10.52849484,10.95820375,8.933579269,9.613908271,9.494793549,8.314991879,8.418793058,8.346927036,7.694907993,8.474515894,8.468303281,7.914151383,9.876282636,7.668800863,8.053799712,9.448678922,8.663662961,9.514527802,9.383354674,9.717501026
Rv0053,11.01753915,10.56769363,10.89824862,11.51328834,10.74511407,9.32410006,11.64482594,12.069688,10.60741213,11.21775565,11.46754003,10.97729352,12.37519157,11.8069954,12.25717961,9.917246481,11.26926104,11.32586965,12.66986017,12.50061243,13.67080945
Rv0054,12.11516657,11.4556795,12.10149636,12.26634625,12.20301057,10.9615858,12.11753446,12.92050176,11.69723681,11.97895971,12.28730986,11.78241771,12.43139462,11.68272115,12.40127775,11.7678668,12.44003418,12.51916141,13.41367453,13.1942381,13.75490541
Rv0055,9.938787713,9.485069433,9.225001162,10.04120103,9.291936971,9.214496847,10.09570651,11.42882551,7.530585308,9.693357278,10.09258342,10.02939939,10.83129555,9.949297961,11.04996261,9.495618438,9.899417799,11.56634508,12.12893433,11.84047001,12.41596042
Rv0056,12.07243652,11.688441,12.00994932,12.12236702,11.5556349,10.85688021,11.84098434,12.41562013,10.87447321,11.98691712,11.9418527,11.74106548,12.8796548,11.84308822,12.46559505,11.58987855,12.2749198,12.68491649,13.46266698,13.51648661,13.6503538
