"GENE_ID","H37Rv_hypoxia_4hr_rep1","H37Rv_hypoxia_4hr_rep2","H37Rv_hypoxia_4hr_rep4","H37Rv_hypoxia_4hr_rep5","H37Rv_hypoxia_4hr_rep6","H37Rv_hypoxia_8hr_rep1","H37Rv_hypoxia_8hr_rep2","H37Rv_hypoxia_12hr_rep1","H37Rv_hypoxia_12hr_rep2","H37Rv_hypoxia_1day_rep2","H37Rv_hypoxia_1day_rep3","H37Rv_hypoxia_1day_rep5","H37Rv_hypoxia_1day_rep6","H37Rv_hypoxia_1day_rep7","H37Rv_hypoxia_1day_rep9","H37Rv_hypoxia_4day_rep2","H37Rv_hypoxia_4day_rep4","H37Rv_hypoxia_4day_rep5","H37Rv_hypoxia_4day_rep6","H37Rv_hypoxia_4day_rep7","H37Rv_hypoxia_7day_rep1","H37Rv_hypoxia_7day_rep5","H37Rv_hypoxia_7day_rep6","H37Rv_hypoxia_7day_rep7","H37dosR mutant_hypoxia_4hr_rep1","H37dosR mutant_hypoxia_4hr_rep2","H37dosR mutant_hypoxia_4hr_rep4","H37dosR mutant_hypoxia_4hr_rep5","H37dosR mutant_hypoxia_8hr_rep3","H37dosR mutant_hypoxia_12hr_rep1","H37dosR mutant_hypoxia_12hr_rep4","H37dosR mutant_hypoxia_1day_rep1","H37dosR mutant_hypoxia_1day_rep2","H37dosR mutant_hypoxia_1day_rep3","H37dosR mutant_hypoxia_1day_rep4","H37dosR mutant_hypoxia_1day_rep6","H37dosR mutant_hypoxia_4day_rep1","H37dosR mutant_hypoxia_7day_rep1","H37Rv_dosR mutant_hypoxia_8hour_rep2","H37Rv_dosR mutant_hypoxia_12hour_rep3","H37Rv_dosR mutant_hypoxia_1day_rep7","H37Rv_hypoxia_4hr_rep3","H37Rv_hypoxia_4hr_rep6","H37Rv_hypoxia_8hr_rep3","H37Rv_hypoxia_12hr_rep3","H37Rv_hypoxia_1day_rep4","H37Rv_hypoxia_1day_rep10","H37Rv_hypoxia_4day_rep1","H37Rv_hypoxia_4day_rep3","H37Rv_hypoxia_7day_rep4","H37Rv_hypoxia_7day_rep2","H37Rv_hypoxia_7day_rep3"
"MT0009",-0.175,-0.315,-0.188,0.036,-0.059,0.164,0.675,0.385,-0.175,1.275,0.7,0.071,-0.308,0.352,0.104,-0.068,0.211,0.281,0.236,0.193,1.024,0.09,0.473,0.42,0.451,0.081,0.016,-0.243,-0.029,0.442,-0.168,-0.988,-0.386,0.339,0.587,0.426,1.14,0.4,0.248,0.606,0.756,-0.488,-0.185,-1.594,0.237,-0.314,0.299,1.717,1.214,1.209,2.298,1.5
"MT0012",-0.144,0.134,-0.171,-0.143,-0.445,0.449,0.221,0.99,0.365,1.303,0.767,0.8,0.546,0.648,-0.339,0.414,-0.064,-0.398,-0.111,-0.351,-1.551,0.336,0.027,-0.233,0.911,0.492,-0.199,0.126,0.673,0.548,0.252,0.457,0.608,0.805,0.323,0.773,-0.287,0.003,0.207,0.323,0.527,-0.273,0.188,0.242,0.058,-0.139,0.242,-0.097,0.034,0.083,0.4,0.141
"MT0023",0.996,0.515,0.131,0.197,0.538,0.563,0.225,0.508,0.452,0.603,0.255,-0.464,-0.127,-0.482,0.755,0.199,0.692,1.158,0.997,0.751,0.086,-0.384,-0.17,0.077,0.68,0.254,0.129,0.345,0.393,0.436,0.527,-0.579,-0.603,-0.702,1.062,-0.101,1.11,0.134,-0.548,-1.945,-0.103,0.05,-1.443,-1.54,-1.84,-0.848,-2.015,-1.109,-2.563,-1.028,-2.478,-1.402
"MT0025",0.113,-0.189,0.38,-0.086,0.335,0.54,2.486,0.098,1.335,-0.223,1.073,0.851,1.557,1.107,1.087,1.685,0.913,1.636,0.689,1.672,3.274,0.402,1.099,1.049,0.629,0.35,0.016,0.556,0.188,1.48,0.581,0.862,0.577,0.286,1.166,0.296,1.903,0.722,-0.29,-0.509,-1.495,0.221,0.413,NA,1.91,0.122,-2.886,3.58,1.41,1.462,1.476,0.905
"MT0031",0.621,0.521,0.108,0.483,-0.294,0.682,0.32,0.197,-0.012,0.41,-0.039,-0.269,-0.86,-0.038,0.52,0.236,-0.484,-0.832,-0.398,0.182,-0.218,0.244,0.409,-0.061,-0.31,-0.019,0.32,0.1,0.225,0.123,-0.209,-0.171,-0.179,-0.058,-0.561,0.005,0.329,1.148,1.721,1.396,0.569,-0.204,1.733,1.064,1.362,-0.153,0.719,0.224,-0.109,0.751,0.987,0.752
"MT0032",0.798,0.676,0.019,0.183,0.412,0.459,0.896,0.503,1.103,0.434,0.883,1.176,1.356,0.872,0.078,0.814,0.983,1.039,0.759,0.543,1.115,1.347,0.894,0.254,0.483,0.127,0.087,0.617,0.387,0.475,0.395,1.767,1.724,1.582,0.593,0.524,0.128,1.586,0.437,0.429,1.269,-0.052,0.068,0.577,-0.335,-0.369,0.308,1.035,1.782,2.307,2.376,2.081
"MT0036",0.724,0.635,1.107,-0.485,-0.726,0.801,0.706,1.376,0.818,3.146,0.83,-0.295,1.334,0.001,0.905,-0.017,1.154,2.346,0.112,1.307,3.986,-0.368,-0.1,0.515,1.774,0.352,0.639,0.33,0.401,0.173,0.636,-0.526,0.192,0.755,1.268,1.261,1.428,0.097,0.844,0.852,0.934,-0.814,0.837,0.244,-0.127,0.068,0.483,0.826,1.754,2.772,5.127,4.234
"MT0056",0.355,0.058,0.39,0.15,0.396,0.525,0.562,0.502,0.673,-0.08,0.427,-0.263,0.947,-1.089,0.538,0.658,0.58,1.029,0.952,0.918,-0.426,-0.53,0.245,0.255,0.372,0.115,0.26,0.486,0.555,0.545,0.614,0.762,0.133,0.182,1.201,0.065,0.853,0.241,-0.74,-0.332,0.559,0.275,-1.22,-1.062,-1.588,0.028,-0.561,-0.855,-1.829,-1.182,-4.249,-2.572
"MT0066.1",0.476,0.346,2.917,1.34,1.431,0.385,0.283,0.389,-0.007,0.576,-0.621,0.719,1.343,0.58,0.634,1.006,0.473,0.925,1.001,0.011,0.369,0.676,1.187,0.809,0.342,0.616,0.723,0.09,0.365,0.039,-0.084,-1.169,-0.923,0.785,-0.998,-0.468,0.66,0.013,0.708,0.234,-0.053,-0.198,0.768,0.651,-0.139,-0.215,-0.202,1.227,0.373,0.477,2.162,2.782
"MT0066.2",0.146,0.392,2.71,1.988,1.595,0.138,0.411,0.05,0.055,0.29,-0.118,0.685,1.685,0.677,0.564,1.228,0.515,0.72,1.06,0.579,-0.015,1.21,1.765,1.324,0.234,0.317,0.244,0.47,0.083,0.291,0.01,-0.778,-0.47,0.236,-0.529,0.052,0.453,0.591,0.635,0.028,-0.126,-0.028,0.87,0.426,0.127,-0.378,-0.28,1.169,-0.078,0.028,1.276,1.542
"MT0069",1.005,0.985,-0.593,0.069,-0.119,1.158,0.831,1.267,0.856,1.822,1.13,-0.241,-0.648,-0.046,0.916,0.584,0.173,0.517,0.37,1.97,1.331,0.313,-0.256,0.68,1.489,1.031,1.01,0.636,0.858,0.945,1.126,-0.759,-0.126,0.308,0.393,1.436,1.554,0.332,0.728,1.367,1.246,-0.075,0.751,0.664,0.93,-0.483,1.247,0.853,-0.093,-0.176,-0.312,-0.34
"MT0085.1",0.764,0.309,-0.077,2.742,-0.502,1.014,1.138,1.552,0.918,1.085,1.172,0.8,3.337,0.623,0.559,1.526,0.505,0.516,0.508,0.193,0.9,0.057,0.623,0.616,1.302,0.512,-0.691,0.311,0.591,0.333,0.362,0.547,0.809,1.357,0.576,0.272,0.646,1.529,2.345,2.33,1.589,0.866,1.676,1.913,2.628,0.308,2.492,0.986,0.936,1.25,1.912,1.339
