,policy,mean,std,count,sigma,impurity,num_dim,stdb,clf
0,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,2,0.2,SVM
1,default,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2,SVM
2,augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2,SVM
3,average,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2,SVM
4,ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2,SVM
5,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.025,0.0,2,0.2,SVM
6,default,0.9490799999999999,0.001160215367808795,1000,0.025,0.0,2,0.2,SVM
7,augment,0.958520000000002,0.0010660891830171428,1000,0.025,0.0,2,0.2,SVM
8,average,0.9495599999999996,0.001171485714287116,1000,0.025,0.0,2,0.2,SVM
9,ensemble,0.9497600000000002,0.0011602105362771447,1000,0.025,0.0,2,0.2,SVM
10,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.05,0.0,2,0.2,SVM
11,default,0.887799999999997,0.0014763941681474348,1000,0.05,0.0,2,0.2,SVM
12,augment,0.8947599999999969,0.0015201490891531776,1000,0.05,0.0,2,0.2,SVM
13,average,0.8897199999999972,0.0015122858885173124,1000,0.05,0.0,2,0.2,SVM
14,ensemble,0.8882399999999973,0.0015372916657764315,1000,0.05,0.0,2,0.2,SVM
15,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.08,0.0,2,0.2,SVM
16,default,0.8462799999999964,0.0020680518461679053,1000,0.08,0.0,2,0.2,SVM
17,augment,0.8492799999999969,0.00204461782787447,1000,0.08,0.0,2,0.2,SVM
18,average,0.8485999999999965,0.0020346448780511517,1000,0.08,0.0,2,0.2,SVM
19,ensemble,0.8470399999999964,0.0020752698969399514,1000,0.08,0.0,2,0.2,SVM
20,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.1,0.0,2,0.2,SVM
21,default,0.830319999999996,0.002270738614163653,1000,0.1,0.0,2,0.2,SVM
22,augment,0.8393599999999967,0.0022252510290172115,1000,0.1,0.0,2,0.2,SVM
23,average,0.8389199999999968,0.0021942762926414764,1000,0.1,0.0,2,0.2,SVM
24,ensemble,0.8368799999999964,0.0022296270622767433,1000,0.1,0.0,2,0.2,SVM
25,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.3,0.0,2,0.2,SVM
26,default,0.7289199999999986,0.0027334786455184717,1000,0.3,0.0,2,0.2,SVM
27,augment,0.7388799999999979,0.002573512884865481,1000,0.3,0.0,2,0.2,SVM
28,average,0.7395599999999979,0.0025656166488368477,1000,0.3,0.0,2,0.2,SVM
29,ensemble,0.7379599999999984,0.0026118691123906386,1000,0.3,0.0,2,0.2,SVM
30,plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,2,0.2,SVM
31,default,0.5923199999999997,0.003297011963564575,1000,0.5,0.0,2,0.2,SVM
32,augment,0.6107599999999992,0.0031635154860108084,1000,0.5,0.0,2,0.2,SVM
33,average,0.6131599999999989,0.00311970302223575,1000,0.5,0.0,2,0.2,SVM
34,ensemble,0.6079999999999995,0.003165378274333037,1000,0.5,0.0,2,0.2,SVM
35,plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,2,0.2,SVM
36,default,0.5260800000000004,0.003314878884970306,1000,1.0,0.0,2,0.2,SVM
37,augment,0.5414799999999999,0.0030845622256852174,1000,1.0,0.0,2,0.2,SVM
38,average,0.5419599999999997,0.003226417234048958,1000,1.0,0.0,2,0.2,SVM
39,ensemble,0.5393999999999997,0.0031225294538547227,1000,1.0,0.0,2,0.2,SVM
40,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.84,2,0.2,SVM
41,default,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.84,2,0.2,SVM
42,augment,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.84,2,0.2,SVM
43,average,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.84,2,0.2,SVM
44,ensemble,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.84,2,0.2,SVM
45,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,2,0.2,SVM
46,default,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,2,0.2,SVM
47,augment,0.9526000000000058,0.0004914076530554628,1000,0.025,-0.84,2,0.2,SVM
48,average,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,2,0.2,SVM
49,ensemble,0.9199999999999848,4.847374480100858e-16,1000,0.025,-0.84,2,0.2,SVM
50,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.05,-0.84,2,0.2,SVM
51,default,0.9199999999999848,4.847374480100858e-16,1000,0.05,-0.84,2,0.2,SVM
52,augment,0.9361599999999954,0.000638797669424726,1000,0.05,-0.84,2,0.2,SVM
53,average,0.9199999999999848,4.847374480100858e-16,1000,0.05,-0.84,2,0.2,SVM
54,ensemble,0.9199999999999848,4.847374480100858e-16,1000,0.05,-0.84,2,0.2,SVM
55,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.08,-0.84,2,0.2,SVM
56,default,0.9200399999999848,4.000000000000014e-05,1000,0.08,-0.84,2,0.2,SVM
57,augment,0.9269199999999904,0.000618786309234856,1000,0.08,-0.84,2,0.2,SVM
58,average,0.9200399999999848,4.000000000000014e-05,1000,0.08,-0.84,2,0.2,SVM
59,ensemble,0.9200399999999848,4.000000000000014e-05,1000,0.08,-0.84,2,0.2,SVM
60,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.1,-0.84,2,0.2,SVM
61,default,0.9377999999999967,0.0006289320754704372,1000,0.1,-0.84,2,0.2,SVM
62,augment,0.9564800000000088,0.0004125285199592652,1000,0.1,-0.84,2,0.2,SVM
63,average,0.9438400000000012,0.0006209992270848963,1000,0.1,-0.84,2,0.2,SVM
64,ensemble,0.9380799999999968,0.0006298494346352265,1000,0.1,-0.84,2,0.2,SVM
65,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.3,-0.84,2,0.2,SVM
66,default,0.9188399999999856,0.00035830543225408176,1000,0.3,-0.84,2,0.2,SVM
67,augment,0.9191199999999856,0.0002578606059329214,1000,0.3,-0.84,2,0.2,SVM
68,average,0.9170399999999871,0.0005317152632011977,1000,0.3,-0.84,2,0.2,SVM
69,ensemble,0.9197599999999851,0.00015989986856770023,1000,0.3,-0.84,2,0.2,SVM
70,plurality,0.9199999999999848,4.847374480100858e-16,1000,0.5,-0.84,2,0.2,SVM
71,default,0.9176399999999856,0.00043013418303526407,1000,0.5,-0.84,2,0.2,SVM
72,augment,0.9194399999999848,0.00015909654839659957,1000,0.5,-0.84,2,0.2,SVM
73,average,0.909719999999988,0.0009342346570291533,1000,0.5,-0.84,2,0.2,SVM
74,ensemble,0.9195199999999848,0.00019546817594638964,1000,0.5,-0.84,2,0.2,SVM
75,plurality,0.9199999999999848,4.847374480100858e-16,1000,1.0,-0.84,2,0.2,SVM
76,default,0.9138399999999868,0.0007273124386282541,1000,1.0,-0.84,2,0.2,SVM
77,augment,0.9196399999999848,0.0001545777936648518,1000,1.0,-0.84,2,0.2,SVM
78,average,0.8886799999999907,0.001813710877495952,1000,1.0,-0.84,2,0.2,SVM
79,ensemble,0.9190399999999852,0.00031871614326854983,1000,1.0,-0.84,2,0.2,SVM
80,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2,0.2,SVM
81,default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2,0.2,SVM
82,augment,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.76,2,0.2,SVM
83,average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2,0.2,SVM
84,ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2,0.2,SVM
85,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,2,0.2,SVM
86,default,0.9152799999999864,0.0004082747705752702,1000,0.025,-0.76,2,0.2,SVM
87,augment,0.9275999999999894,0.0004964740541926529,1000,0.025,-0.76,2,0.2,SVM
88,average,0.9173999999999856,0.00031198932247328433,1000,0.025,-0.76,2,0.2,SVM
89,ensemble,0.9166799999999856,0.0003491410882429948,1000,0.025,-0.76,2,0.2,SVM
90,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.05,-0.76,2,0.2,SVM
91,default,0.9131999999999864,0.0004787370773077782,1000,0.05,-0.76,2,0.2,SVM
92,augment,0.9328799999999928,0.000670040711117278,1000,0.05,-0.76,2,0.2,SVM
93,average,0.9155999999999858,0.00039597575278897717,1000,0.05,-0.76,2,0.2,SVM
94,ensemble,0.9139999999999864,0.0004518895929363807,1000,0.05,-0.76,2,0.2,SVM
95,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.08,-0.76,2,0.2,SVM
96,default,0.8937199999999919,0.000619148564518196,1000,0.08,-0.76,2,0.2,SVM
97,augment,0.9246799999999916,0.0007669979699359625,1000,0.08,-0.76,2,0.2,SVM
98,average,0.8984799999999912,0.0006459929619639093,1000,0.08,-0.76,2,0.2,SVM
99,ensemble,0.8930799999999921,0.0005990596568560401,1000,0.08,-0.76,2,0.2,SVM
100,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.1,-0.76,2,0.2,SVM
101,default,0.8882799999999944,0.0005801535815438722,1000,0.1,-0.76,2,0.2,SVM
102,augment,0.9151199999999932,0.0010672040688286914,1000,0.1,-0.76,2,0.2,SVM
103,average,0.8922399999999941,0.0006772304194593193,1000,0.1,-0.76,2,0.2,SVM
104,ensemble,0.8876399999999944,0.0005376983536514895,1000,0.1,-0.76,2,0.2,SVM
105,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.3,-0.76,2,0.2,SVM
106,default,0.8775599999999961,0.0006216372196328259,1000,0.3,-0.76,2,0.2,SVM
107,augment,0.8795199999999959,0.0005028145010065046,1000,0.3,-0.76,2,0.2,SVM
108,average,0.8751999999999961,0.001063056955242809,1000,0.3,-0.76,2,0.2,SVM
109,ensemble,0.880199999999996,0.00040214639339638777,1000,0.3,-0.76,2,0.2,SVM
110,plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.5,-0.76,2,0.2,SVM
111,default,0.8741199999999965,0.0007016537022762155,1000,0.5,-0.76,2,0.2,SVM
112,augment,0.8789199999999961,0.0003495078765289168,1000,0.5,-0.76,2,0.2,SVM
113,average,0.8631599999999968,0.0013307837485427025,1000,0.5,-0.76,2,0.2,SVM
114,ensemble,0.878519999999996,0.00037888408933756606,1000,0.5,-0.76,2,0.2,SVM
115,plurality,0.8799999999999959,1.2996583750995055e-16,1000,1.0,-0.76,2,0.2,SVM
116,default,0.8705999999999967,0.0010122572127007246,1000,1.0,-0.76,2,0.2,SVM
117,augment,0.879559999999996,0.000191423726437041,1000,1.0,-0.76,2,0.2,SVM
118,average,0.8481999999999962,0.0018817813637883442,1000,1.0,-0.76,2,0.2,SVM
119,ensemble,0.878879999999996,0.00030271643040515403,1000,1.0,-0.76,2,0.2,SVM
120,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,2,0.2,SVM
121,default,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,2,0.2,SVM
122,augment,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.68,2,0.2,SVM
123,average,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,2,0.2,SVM
124,ensemble,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,2,0.2,SVM
125,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.025,-0.68,2,0.2,SVM
126,default,0.8400000000000056,1.7914210035155348e-16,1000,0.025,-0.68,2,0.2,SVM
127,augment,0.8675999999999996,0.0009177593814733119,1000,0.025,-0.68,2,0.2,SVM
128,average,0.8400000000000056,1.7914210035155348e-16,1000,0.025,-0.68,2,0.2,SVM
129,ensemble,0.8400000000000056,1.7914210035155348e-16,1000,0.025,-0.68,2,0.2,SVM
130,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.05,-0.68,2,0.2,SVM
131,default,0.8823599999999949,0.000298193426016269,1000,0.05,-0.68,2,0.2,SVM
132,augment,0.9010799999999926,0.0007585571890167586,1000,0.05,-0.68,2,0.2,SVM
133,average,0.882639999999995,0.00031421191754790387,1000,0.05,-0.68,2,0.2,SVM
134,ensemble,0.8821599999999951,0.0002860353408518214,1000,0.05,-0.68,2,0.2,SVM
135,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.08,-0.68,2,0.2,SVM
136,default,0.8570400000000024,0.0007786171361103219,1000,0.08,-0.68,2,0.2,SVM
137,augment,0.9017199999999936,0.0010754525550661011,1000,0.08,-0.68,2,0.2,SVM
138,average,0.8628400000000009,0.0008365609566757434,1000,0.08,-0.68,2,0.2,SVM
139,ensemble,0.8563200000000025,0.0007460658243172724,1000,0.08,-0.68,2,0.2,SVM
140,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.1,-0.68,2,0.2,SVM
141,default,0.8467600000000043,0.0005665892898947397,1000,0.1,-0.68,2,0.2,SVM
142,augment,0.8720399999999979,0.0010598876175150665,1000,0.1,-0.68,2,0.2,SVM
143,average,0.8509200000000032,0.0006630182449926902,1000,0.1,-0.68,2,0.2,SVM
144,ensemble,0.8452800000000047,0.0004778597597098427,1000,0.1,-0.68,2,0.2,SVM
145,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.3,-0.68,2,0.2,SVM
146,default,0.8374000000000024,0.0008865810882406805,1000,0.3,-0.68,2,0.2,SVM
147,augment,0.8400800000000029,0.0006502433516895106,1000,0.3,-0.68,2,0.2,SVM
148,average,0.8339999999999991,0.001312449055210336,1000,0.3,-0.68,2,0.2,SVM
149,ensemble,0.8396800000000032,0.0005826122527350709,1000,0.3,-0.68,2,0.2,SVM
150,plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.5,-0.68,2,0.2,SVM
151,default,0.8333600000000003,0.0013191097188825767,1000,0.5,-0.68,2,0.2,SVM
152,augment,0.8414400000000015,0.0009792268814147675,1000,0.5,-0.68,2,0.2,SVM
153,average,0.8131199999999974,0.0021723223942556433,1000,0.5,-0.68,2,0.2,SVM
154,ensemble,0.8401600000000005,0.001002885925806209,1000,0.5,-0.68,2,0.2,SVM
155,plurality,0.8400000000000056,1.7914210035155348e-16,1000,1.0,-0.68,2,0.2,SVM
156,default,0.8281200000000023,0.0012183390127341262,1000,1.0,-0.68,2,0.2,SVM
157,augment,0.8393600000000053,0.00027652643068406103,1000,1.0,-0.68,2,0.2,SVM
158,average,0.7984799999999987,0.0021546071409730204,1000,1.0,-0.68,2,0.2,SVM
159,ensemble,0.8371200000000043,0.0005291366416962484,1000,1.0,-0.68,2,0.2,SVM
160,plurality,0.7999999999999887,3.582842007031069e-16,1000,0.0,-0.6,2,0.2,SVM
161,default,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.6,2,0.2,SVM
162,augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.6,2,0.2,SVM
163,average,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.6,2,0.2,SVM
164,ensemble,0.9199999999999848,4.847374480100858e-16,1000,0.0,-0.6,2,0.2,SVM
165,plurality,0.7999999999999887,3.582842007031069e-16,1000,0.025,-0.6,2,0.2,SVM
166,default,0.8664399999999994,0.0007401852972562176,1000,0.025,-0.6,2,0.2,SVM
