Locus Tag,Start,End,Strand
Rv0001,1,1524,+
Rv0002,2052,3260,+
Rv0003,3280,4437,+
Rv0004,4434,4997,+
Rv0005,5123,7267,+
Rv0006,7302,9818,+
Rv0007,9914,10828,+
Rv0008c,11874,12311,-
Rv0009,12468,13016,+
Rv0010c,13133,13558,-
Rv0011c,13714,13995,-
Rv0012,14089,14877,+
Rv0013,14914,15612,+
Rv0014c,15590,17470,-
Rv0015c,17467,18762,-
Rv0016c,18759,20234,-
Rv0017c,20231,21640,-
Rv0018c,21637,23181,-
Rv0019c,23270,23737,-
Rv0020c,23861,25444,-
Rv0021c,25913,26881,-
Rv0022c,27023,27442,-
Rv0023,27595,28365,+
Rv0024,28362,29207,+
Rv0025,29245,29607,+
Rv0026,29722,31068,+
Rv0027,31189,31506,+
Rv0028,31514,31819,+
Rv0029,32057,33154,+
Rv0030,33224,33553,+
Rv0031,33582,33794,+
Rv0032,34295,36610,+
Rv0033,36607,36870,+
Rv0034,36867,37262,+
Rv0035,37259,38947,+
Rv0036c,39056,39829,-
Rv0037c,39877,41202,-
Rv0038,41304,41912,+
Rv0039c,42004,42351,-
Rv0040c,42433,43365,-
Rv0041,43562,46471,+
Rv0042c,46581,47207,-
Rv0043c,47366,48100,-
Rv0044c,48233,49027,-
Rv0045c,49043,49939,-
Rv0046c,50021,51124,-
Rv0047c,51185,51727,-
Rv0048c,51828,52697,-
Rv0049,52831,53244,+
Rv0050,53663,55699,+
Rv0051,55696,57378,+
Rv0052,57410,57973,+
Rv0053,58192,58482,+
Rv0054,58586,59080,+
Rv0055,59122,59376,+
Rv0056,59409,59867,+
Rv0057,59896,60417,+
Rv0058,60396,63020,+
Rv0059,63200,63892,+
Rv0060,63909,64967,+
Rv0061c,64991,65416,+
Rv0062,65552,66694,+
Rv0063,66923,68362,+
Rv0064,68620,71559,+
Rv0065,71821,72222,+
Rv0066c,72274,74511,-
Rv0067c,74629,75198,-
Rv0068,75301,76212,+
Rv0069c,76237,77622,-
Rv0070c,77619,78896,-
Rv0071,79486,80193,+
Rv0072,80624,81673,+
Rv0073,81676,82668,+
Rv0074,82748,83983,+
Rv0075,83996,85168,+
Rv0076c,85183,85572,-
Rv0077c,85636,86466,-
Rv0078,86528,87133,+
Rv0078A,87208,87801,-
Rv0079,88204,89025,+
Rv0080,89022,89480,+
Rv0081,89575,89919,+
Rv0082,89924,90403,+
Rv0083,90400,92322,+
Rv0084,92328,93278,+
Rv0085,93289,93951,+
Rv0086,93951,95417,+
Rv0087,95414,96892,+
Rv0088,96927,97601,+
Rv0089,97758,98351,+
Rv0090,98480,99250,+
Rv0091,99684,100451,+
Rv0092,100583,102868,+
Rv0093c,102815,103663,-
Rv0094c,103710,104663,-
Rv0095c,104805,105215,-
Rv0096,105324,106715,+
Rv0097,106734,107603,+
Rv0098,107600,108151,+
Rv0099,108156,109778,+
Rv0100,109783,110019,+
Rv0101,110001,117539,+
Rv0102,117714,119699,+
Rv0103c,119915,122173,-
Rv0104,122317,123831,+
Rv0105c,123980,124264,-
Rv0106,124374,125570,+
Rv0107c,125643,130541,-
Rv0108c,130895,131104,-
Rv0109,131382,132872,+
Rv0110,133020,133769,+
Rv0111,133950,136007,+
Rv0112,136289,137245,+
Rv0113,137319,137909,+
Rv0114,137941,138513,+
Rv0115,138513,139673,+
Rv0116c,140267,141022,-
Rv0117,141200,142144,+
Rv0118c,142128,143876,-
Rv0119,144049,145626,+
Rv0120c,145627,147771,-
Rv0121c,147908,148342,-
Rv0122,148491,148859,+
Rv0123,148856,149224,+
Rv0124,149533,150996,+
Rv0125,151148,152215,+
Rv0126,152324,154129,+
Rv0127,154232,155599,+
Rv0128,155667,156446,+
Rv0129c,156578,157600,-
Rv0130,157847,158302,+
Rv0131c,158315,159658,-
Rv0132c,159700,160782,-
Rv0133,160869,161474,+
Rv0134,161771,162673,+
Rv0135c,162644,163249,-
Rv0136,163366,164691,+
Rv0137c,164712,165260,-
Rv0138,165323,165826,+
Rv0139,165827,166849,+
Rv0140,166910,167290,+
Rv0141c,167271,167681,-
Rv0142,167711,168637,+
Rv0143c,168704,170182,-
Rv0144,170284,171126,+
Rv0145,171215,172168,+
Rv0146,172211,173143,+
Rv0147,173238,174758,+
Rv0148,174833,175693,+
Rv0149,175700,176668,+
Rv0150c,176665,176952,-
Rv0151c,177543,179309,-
Rv0152c,179319,180896,-
Rv0153c,181155,181985,-
Rv0154c,181987,183198,-
Rv0155,183622,184722,+
Rv0156,184723,185055,+
Rv0157,185052,186479,+
Rv0157A,186495,186623,-
Rv0158,186785,187429,+
Rv0159c,187433,188839,-
Rv0160c,188931,190439,-
Rv0161,190607,191956,+
Rv0162c,191984,193135,-
Rv0163,193117,193572,+
Rv0164,193626,194111,+
Rv0165c,194144,194938,-
Rv0166,194993,196657,+
Rv0167,196861,197658,+
Rv0168,197660,198529,+
Rv0169,198534,199898,+
Rv0170,199895,200935,+
Rv0171,200932,202479,+
Rv0172,202476,204068,+
Rv0173,204065,205237,+
Rv0174,205231,206778,+
Rv0175,206814,207455,+
Rv0176,207452,208420,+
Rv0177,208417,208971,+
Rv0178,208938,209672,+
Rv0179c,209703,210812,-
Rv0180c,210892,212250,-
Rv0181c,212277,213011,-
Rv0182c,213028,214140,-
Rv0183,214088,214927,+
Rv0184,214969,215718,+
Rv0185,215715,216224,+
Rv0186,216269,218344,+
Rv0187,218705,219367,+
Rv0188,219486,219917,+
Rv0189c,219996,221723,-
Rv0190,221871,222161,+
Rv0191,222289,223530,+
Rv0192,223564,224664,+
Rv0192A,223607,223909,+
Rv0193c,224724,226571,-
Rv0194,226878,230462,+
Rv0195,230899,231534,+
Rv0196,231647,232231,+
Rv0197,232231,234519,+
Rv0198c,234516,236507,-
Rv0199,236550,237209,+
Rv0200,237206,237895,+
Rv0201c,237892,238395,-
Rv0202c,238392,241292,-
Rv0203,241514,241924,+
Rv0204c,241976,243214,-
Rv0205,243384,244487,+
Rv0206c,244484,247318,-
Rv0207c,247384,248112,-
Rv0208c,248115,248906,-
Rv0209,249038,250123,+
Rv0210,250120,251598,+
Rv0211,251782,253602,+
Rv0212c,253669,254640,-
Rv0213c,254637,255950,-
Rv0214,256064,257677,+
Rv0215c,257783,258856,-
Rv0216,258913,259926,+
Rv0217c,259923,260831,-
Rv0218,260924,262252,+
Rv0219,262254,262802,+
Rv0220,262812,264023,+
Rv0221,264067,265476,+
Rv0222,265507,266295,+
Rv0223c,266301,267764,-
Rv0224c,267863,268627,-
Rv0225,268663,269817,+
Rv0226c,269834,271564,-
Rv0227c,271574,272839,-
Rv0228,273055,274278,+
Rv0229c,274306,274986,-
Rv0230c,274983,275963,-
Rv0231,276058,277764,+
Rv0232,277899,278588,+
Rv0233,278585,279529,+
Rv0234c,279605,281140,-
Rv0235c,281166,282614,-
Rv0236A,286898,287071,-
Rv0236c,282649,286851,-
Rv0237,287186,288352,+
Rv0238,288428,289042,+
Rv0239,289104,289337,+
Rv0240,289345,289782,+
Rv0241c,289812,290654,-
Rv0242c,290665,292029,-
Rv0243,292171,293493,+
Rv0244c,293798,295633,-
Rv0245,296005,296493,+
Rv0246,296809,298119,+
Rv0247c,298116,298862,-
Rv0248c,298863,300803,-
Rv0249c,300834,301655,-
Rv0250c,301735,302028,-
Rv0251c,302173,302652,-
Rv0252,302866,305427,+
Rv0253,305453,305809,+
Rv0254c,305825,306349,-
Rv0255c,306374,307858,-
Rv0256c,307877,309547,-
Rv0257,309699,310073,+
Rv0258c,310294,310749,-
Rv0259c,310774,311517,-
Rv0260c,311514,312659,-
Rv0261c,312759,314168,-
Rv0262c,314309,314854,-
Rv0263c,314864,315766,-
Rv0264c,315783,316415,-
Rv0265c,316511,317503,-
Rv0266c,317525,321154,-
Rv0267,321331,322722,+
Rv0268c,322764,323273,-
Rv0269c,323338,324531,-
Rv0270,324567,326249,+
Rv0271c,326266,328461,-
Rv0272c,328575,329708,-
Rv0273c,329705,330325,-
Rv0274,330422,331003,+
Rv0275c,330933,331658,-
Rv0276,331748,332668,+
Rv0277c,332708,333136,-
Rv0278c,333437,336310,-
Rv0279c,336560,339073,-
Rv0280,339364,340974,+
Rv0281,340998,341906,+
Rv0282,342130,344025,+
Rv0283,344022,345638,+
Rv0284,345635,349627,+
Rv0285,349624,349932,+
Rv0286,349935,351476,+
Rv0287,351525,351818,+
Rv0288,351848,352138,+
Rv0289,352149,353036,+
Rv0290,353083,354501,+
Rv0291,354498,355883,+
Rv0292,355880,356875,+
Rv0293c,356862,358064,-
Rv0294,358171,358956,+
Rv0295c,358945,359748,-
Rv0296c,359758,361155,-
Rv0297,361334,363109,+
Rv0298,363252,363479,+
Rv0299,363476,363778,+
Rv0300,363826,364047,+
Rv0301,364044,364469,+
Rv0302,364605,365237,+
Rv0303,365234,366142,+
Rv0304c,366150,372764,-
Rv0305c,372820,375711,-
Rv0306,375914,376585,+
Rv0307c,376573,377055,-
Rv0308,377113,377829,+
Rv0309,377931,378587,+
Rv0310c,378657,379148,-
Rv0311,379172,380401,+
Rv0312,380556,382418,+
Rv0313,382490,382876,+
Rv0314c,382879,383541,-
Rv0315,383602,384486,+
Rv0316,384535,385149,+
Rv0317c,385173,385943,-
Rv0318c,386305,387099,-
Rv0319,387148,387816,+
Rv0320,387888,388550,+
Rv0321,388582,389154,+
Rv0322,389260,390591,+
Rv0323c,390580,391251,-
Rv0324,391352,392032,+
Rv0325,392039,392263,+
Rv0326,392273,392728,+
Rv0327c,392696,394045,-
Rv0328,394111,394713,+
Rv0329c,394694,395320,-
Rv0330c,395347,396087,-
Rv0331,396201,397367,+
Rv0332,397442,398227,+
Rv0333,398254,398628,+
Rv0334,398658,399524,+
Rv0335c,399535,400050,-
Rv0336,400192,401703,+
Rv0337c,401873,403162,-
Rv0338c,403193,405841,-
Rv0339c,405950,408448,-
Rv0340,408634,409173,+
Rv0341,409362,410801,+
Rv0342,410838,412760,+
Rv0343,412757,414238,+
Rv0344c,414381,414941,-
Rv0345,415050,415460,+
Rv0346c,415502,416965,-
Rv0347,417304,418290,+
Rv0348,418293,418946,+
Rv0349,418949,419608,+
Rv0350,419835,421712,+
Rv0351,421709,422416,+
Rv0352,422452,423639,+
Rv0353,423639,424019,+
Rv0354c,424269,424694,-
Rv0355c,424777,434679,-
Rv0356c,434830,435474,-
Rv0357c,435471,436769,-
Rv0358,436860,437507,+
Rv0359,437518,438297,+
Rv0360c,438302,438739,-
Rv0361,438822,439649,+
Rv0362,439871,441253,+
Rv0363c,441265,442299,-
Rv0364,442395,443078,+
Rv0365c,443067,444197,-
Rv0366c,444222,444815,-
Rv0367c,444844,445233,-
Rv0368c,445314,446525,-
Rv0369c,446531,447046,-
Rv0370c,447147,448043,-
Rv0371c,448040,448633,-
Rv0372c,448630,449385,-
Rv0373c,449404,451803,-
Rv0374c,451800,452279,-
Rv0375c,452294,453154,-
Rv0376c,453230,454372,-
Rv0377,454421,455386,+
Rv0378,455637,455858,+
Rv0379,455977,456192,+
Rv0380c,456268,456819,-
Rv0381c,456915,457823,-
Rv0382c,457841,458380,-
Rv0383c,458461,459315,-
Rv0384c,459456,462002,-
Rv0385,462135,463307,+
Rv0386,463411,466668,+
Rv0387c,466672,467406,-
Rv0388c,467459,468001,-
Rv0389,468335,469594,+
Rv0390,469591,470013,+
Rv0391,470010,471230,+
Rv0392c,471227,472639,-
Rv0393,472781,474106,+
Rv0394c,474122,474841,-
Rv0395,474940,475344,+
Rv0396,475350,475742,+
Rv0397,475816,476184,+
Rv0398c,476679,477320,-
Rv0399c,477327,478556,-
Rv0400c,478566,479753,-
Rv0401,479789,480160,+
Rv0402c,480355,483231,-
Rv0403c,483228,483656,-
Rv0404,483977,485734,+
Rv0405,485731,489939,+
Rv0406c,489887,490705,-
Rv0407,490783,491793,+
Rv0408,491786,493858,+
Rv0409,493851,495008,+
Rv0410c,495062,497314,-
Rv0411c,497314,498300,-
Rv0412c,498300,499619,-
Rv0413,499713,500366,+
Rv0414c,500350,501018,-
Rv0415,501148,502170,+
Rv0416,502167,502373,+
Rv0417,502366,503124,+
Rv0418,503496,504998,+
Rv0419,505086,506582,+
Rv0420c,506561,506971,-
Rv0421c,507132,507761,-
Rv0422c,507758,508555,-
Rv0423c,508582,510225,-
Rv0424c,510377,510652,-
Rv0425c,510702,515321,-
Rv0426c,515373,515816,-
Rv0427c,516017,516892,-
Rv0428c,516895,517803,-
Rv0429c,517803,518396,-
Rv0430,518733,519041,+
Rv0431,519073,519567,+
Rv0432,519600,520322,+
Rv0433,520324,521454,+
Rv0434,521514,522167,+
Rv0435c,522347,524533,-
Rv0436c,524530,525390,-
Rv0437c,525387,526082,-
Rv0438c,526143,527360,-
Rv0439c,527379,528314,-
Rv0440,528608,530230,+
Rv0441c,530296,530724,-
Rv0442c,530751,532214,-
Rv0443,532396,532911,+
Rv0444c,533091,533789,-
Rv0445c,533833,534396,-
Rv0446c,534445,535215,-
Rv0447c,535224,536507,-
Rv0448c,536504,537169,-
Rv0449c,537229,538548,-
Rv0450c,538588,541491,-
Rv0451c,541488,541910,-
Rv0452,542142,542852,+
Rv0453,543174,544730,+
Rv0454,544835,545185,+
Rv0455c,545375,545821,-
Rv0456A,547076,547357,-
Rv0456c,545889,546803,-
Rv0457c,547586,549607,-
Rv0458,549675,551198,+
Rv0459,551198,551689,+
Rv0460,551749,551988,+
Rv0461,552026,552550,+
Rv0462,552614,554008,+
Rv0463,554016,554309,+
Rv0464c,554313,554885,-
Rv0465c,554882,556306,-
Rv0466,556458,557252,+
Rv0467,557527,558813,+
Rv0468,558895,559755,+
Rv0469,559888,560748,+
Rv0470A,561854,562294,-
Rv0470c,560848,561711,-
Rv0471c,562225,562713,-
Rv0472c,562723,563427,-
Rv0473,563564,564934,+
Rv0474,565021,565443,+
Rv0475,565797,566396,+
Rv0476,566508,566771,+
Rv0477,566776,567222,+
Rv0478,567222,567896,+
Rv0479c,567921,568967,-
Rv0480c,568964,569806,-
Rv0481c,569988,570512,-
Rv0482,570539,571648,+
Rv0483,571710,573065,+
Rv0484c,573046,573801,-
Rv0485,573984,575300,+
Rv0486,575348,576790,+
Rv0487,576787,577338,+
Rv0488,577664,578269,+
Rv0489,578426,579175,+
Rv0490,579349,580581,+
Rv0491,580809,581492,+
Rv0492A,583375,583704,-
Rv0492c,581489,583378,-
Rv0493c,583701,584690,-
Rv0494,584695,585423,+
Rv0495c,585424,586314,-
Rv0496,586394,587380,+
Rv0497,587377,588309,+
Rv0498,588325,589167,+
Rv0499,589183,590058,+
Rv0500,590083,590970,+
Rv0500A,591111,591347,+
Rv0500B,591475,591576,+
Rv0501,591654,592784,+
Rv0502,592791,593867,+
Rv0503c,593871,594779,-
Rv0504c,594802,595302,-
Rv0505c,595464,596585,-
Rv0506,596759,597202,+
Rv0507,597199,600105,+
Rv0508,600098,600391,+
Rv0509,600441,601847,+
Rv0510,601857,602786,+
Rv0511,602819,604516,+
Rv0512,604602,605591,+
Rv0513,605604,606152,+
Rv0514,606149,606448,+
Rv0515,606551,608062,+
Rv0516c,608059,608535,-
Rv0517,608746,610056,+
Rv0518,610188,610883,+
Rv0519c,611172,612074,-
Rv0520,612255,612605,+
Rv0521,612598,612903,+
Rv0522,613038,614342,+
Rv0523c,614326,614721,-
Rv0524,614835,616223,+
Rv0525,616223,616831,+
Rv0526,616846,617496,+
Rv0527,617493,618272,+
Rv0528,618305,619894,+
Rv0529,619891,620865,+
Rv0530,620907,622124,+
Rv0531,622329,622646,+
Rv0532,622793,624577,+
Rv0533c,624473,625480,-
Rv0534c,625562,626440,-
Rv0535,626457,627251,+
Rv0536,627248,628288,+
Rv0537c,628298,629731,-
Rv0538,630040,631686,+
Rv0539,631743,632375,+
Rv0540,632372,633034,+
Rv0541c,633055,634404,-
Rv0542c,634416,635504,-
Rv0543c,635573,635875,-
Rv0544c,635935,636213,-
Rv0545c,636210,637463,-
Rv0546c,637583,637969,-
Rv0547c,638032,638916,-
Rv0548c,639012,639956,-
Rv0549c,640228,640641,-
Rv0550c,640638,640904,-
Rv0551c,641096,642811,-
Rv0552,642889,644493,+
Rv0553,644490,645470,+
Rv0554,645467,646255,+
Rv0555,646298,647962,+
Rv0556,647959,648474,+
Rv0557,648536,649672,+
Rv0558,649689,650393,+
Rv0559c,650407,650745,-
Rv0560c,650779,651504,-
Rv0561c,651529,652755,-
Rv0562,652771,653778,+
Rv0563,653879,654739,+
Rv0564c,654924,655949,-
Rv0565c,656010,657470,-
Rv0566c,657548,658039,-
Rv0567,658321,659340,+
Rv0568,659450,660868,+
Rv0569,661003,661269,+
Rv0570,661295,663373,+
Rv0571c,663487,664818,-
Rv0572c,665042,665383,-
Rv0573c,665851,667242,-
Rv0574c,667252,668394,-
Rv0575c,668579,669745,-
Rv0576,669848,671152,+
Rv0577,671166,671951,+
Rv0578c,671996,675916,-
Rv0579,676238,676996,+
Rv0580c,677125,677616,-
Rv0581,677710,677925,+
Rv0582,677922,678329,+
Rv0583c,678389,679075,-
Rv0584,679229,681862,+
Rv0585c,681885,684272,-
Rv0586,684410,685132,+
Rv0587,685129,685926,+
Rv0588,685928,686815,+
Rv0589,686821,688035,+
Rv0590,688032,688859,+
Rv0590A,688808,689062,+
Rv0591,689059,690504,+
Rv0592,690501,692027,+
Rv0593,692024,693232,+
Rv0594,693237,694787,+
Rv0595c,694839,695231,-
Rv0596c,695228,695485,-
Rv0597c,695668,696903,-
Rv0598c,697154,697567,-
Rv0599c,697564,697800,-
Rv0600c,697904,698410,-
Rv0601c,698524,698994,-
Rv0602c,699038,699799,-
Rv0603,699856,700167,+
Rv0604,700239,701189,+
Rv0605,701406,702014,+
Rv0606,702016,702759,+
Rv0607,702813,703199,+
Rv0608,703244,703489,+
Rv0609,703486,703887,+
Rv0609A,703830,704057,+
Rv0610c,704752,705909,-
Rv0611c,705961,706344,-
Rv0612,706324,706929,+
Rv0613c,706948,709515,-
Rv0614,709356,710348,+
Rv0615,710345,710587,+
Rv0616c,710584,710850,-
Rv0617,711006,711407,+
Rv0618,711536,712231,+
Rv0619,712174,712719,+
Rv0620,712716,713807,+
Rv0621,714202,715266,+
Rv0622,715370,716317,+
Rv0623,716410,716664,+
Rv0624,716664,717059,+
Rv0625c,717153,717893,-
Rv0626,718025,718285,+
Rv0627,718282,718689,+
Rv0628c,718761,719912,-
Rv0629c,720005,721732,-
Rv0630c,721729,725013,-
Rv0631c,725013,728306,-
